,x,y,z
inflation,20.015366,-4.287453,5.387758
growth,22.89324,-4.9573503,3.5754597
exhibit,12.820215,-11.94049,8.197385
rate,15.964655,-6.9455323,11.601694
global,6.832737,-4.7167134,13.223412
market,12.747385,-15.755748,3.782283
investment,5.094462,-6.0552583,12.444433
gdp,19.051815,-0.96346265,4.694764
recession,10.262,-11.720623,3.6648576
prices,22.846258,-1.2384706,1.4825686
rates,18.042448,-7.8504186,8.462783
markets,7.353735,-19.295134,5.788748
china,11.512057,1.783736,9.645301
real,16.10258,-14.000563,7.5952806
policy,18.51921,-8.33173,10.607637
jan,18.75471,2.2306378,12.254647
expect,19.030127,-4.4225845,3.7917
energy,22.90022,-1.2500187,1.374089
jun,19.207335,1.5327708,11.466167
strategy,5.2254424,-6.039542,12.696304
economic,7.7735977,-3.0356085,7.9047627
yield,6.069605,-12.200831,11.997206
returns,10.305074,-13.658835,10.991405
risk,11.014982,-16.210176,7.0657988
bloomberg,5.3502374,-5.59609,13.115463
equity,7.809789,-17.164852,11.122412
asset,8.059615,-5.4195433,13.502041
average,8.1103115,-10.666389,10.982722
december,5.389404,-6.577959,12.394683
return,9.812778,-12.638622,11.232188
fed,16.186604,-7.1888175,11.291559
forecasts,6.6099997,-1.9312551,7.4602213
dec,19.1434,1.6181477,11.583221
term,11.753156,-15.8090725,7.027303
economy,23.307814,-6.2396126,3.2936213
time,10.187356,-11.672088,2.8273954
forecast,18.524078,-1.6506441,4.2603183
total,9.783863,-12.510741,11.250206
usd,18.891207,8.632561,9.4955435
price,12.23699,-10.689318,6.0411587
unicredit,9.362291,-3.5684814,14.96416
central,19.517569,-9.123845,9.99001
financial,20.0381,-10.94387,5.677765
eur,18.894854,8.632126,9.49849
current,20.448738,7.8717012,6.8057323
income,15.739699,-14.238637,7.984707
jul,18.909935,1.9871994,11.996243
equities,8.132264,-17.648506,11.300958
june,9.251956,-1.7973123,14.323679
investors,8.354068,-18.834976,10.129568
bonds,6.7407594,-14.834679,10.797811
tightening,18.403341,-8.2888775,10.539078
supply,24.093073,-3.347043,-1.5657243
services,22.010933,-0.8266243,2.4070885
credit,5.853151,-14.068419,10.722167
november,5.5161896,-5.387029,13.254346
cpi,20.343145,-2.2583795,5.8565683
expected,18.621521,-4.279865,3.6959782
earnings,12.118195,-10.969671,6.1311316
remain,21.884363,-8.543594,3.347299
consumer,16.928263,-13.383222,6.1570544
july,14.721101,-4.806039,10.463373
macro,8.519301,-4.3737173,14.333143
months,9.785434,-10.544649,5.1431556
core,20.270138,-2.685627,5.8096676
apr,18.952213,1.9209276,11.926932
labor,24.470806,-5.772537,1.6173553
europe,12.258277,1.8726544,8.184931
levels,24.521778,-4.1856775,4.8604546
risks,15.90187,-0.066022985,9.014662
covid,22.808153,-5.396367,-2.3010392
yoy,20.404753,-1.6829858,5.854727
demand,23.11316,-6.225756,1.5324388
change,7.2679644,-2.6264472,8.076233
note,5.2879086,-6.8693776,12.287868
cycle,17.780968,-8.070645,9.742195
federal,15.890724,-8.349496,11.086112
peak,19.383167,-4.9943933,5.3443565
bond,5.943897,-13.263296,12.166197
oil,23.178753,-1.1879591,0.22142899
analytics,5.635572,-5.0769796,13.676977
economics,9.13574,-3.7852557,14.824719
sector,14.461113,-5.0607758,2.963185
pandemic,24.434078,-4.282031,4.638055
banks,19.531681,-9.134775,9.97109
level,17.562403,-6.053256,3.4381921
month,8.059051,-10.545377,10.645105
russia,11.329048,1.7363391,10.130514
decline,12.083069,-10.788377,6.0218964
bp,16.17679,-6.718688,11.554837
haver,5.629681,-5.106498,13.597576
corporate,5.843788,-13.476966,12.1746645
allocation,8.012029,-5.367941,13.51516
debt,9.806334,-16.262094,9.296236
based,5.2220736,-7.455711,12.000934
balance,17.153349,-3.7368147,8.600846
government,10.111765,-18.405495,-1.677726
continue,18.43801,-14.814421,0.99836445
production,22.163837,1.4091234,4.553531
oct,18.954144,1.9169947,11.920876
ing,16.360733,8.190102,9.987472
reserve,15.899266,-8.339461,11.079397
nov,18.975008,1.8844872,11.882862
conditions,20.07145,-10.978125,5.704148
portfolio,8.018507,-17.614357,11.260862
expectations,19.96462,-4.375741,5.334306
capital,4.752967,-6.0413237,9.547078
key,14.978555,-10.893168,5.0675383
increase,17.568674,-7.837543,4.8276744
eurozone,15.800165,-0.2779751,2.529788
dollar,7.112767,-17.588879,6.442541
performance,5.2922473,-7.8455625,11.36021
mar,18.986639,1.8670825,11.864503
em,6.508053,-14.238471,8.467573
relative,9.825859,-15.764184,8.344631
funds,15.627806,-7.2182713,11.829751
gas,23.168547,-1.1895132,0.34653124
negative,11.594768,-14.345652,10.205257
emerging,7.3520164,-19.294657,5.7529035
analysis,7.7844787,-5.221156,13.486199
wage,22.177681,-5.1495194,3.5623603
japan,11.198973,0.75792134,10.158698
assets,9.094952,-16.298431,9.841572
target,16.467644,-6.815017,8.595482
sep,18.987404,1.8662555,11.862362
euro,20.402357,2.8723376,2.9871063
monetary,18.557533,-8.357948,10.584168
housing,21.248837,-5.807443,3.1973708
basis,6.909768,-10.722799,10.587378
european,9.917164,-0.5958878,3.1609225
positive,11.008868,-14.321746,10.510299
asia,13.009116,0.9732994,8.781386
ukraine,23.628853,-2.6103127,-1.8166707
yields,5.9440966,-13.086055,12.093415
base,8.5462885,-6.1245766,8.447791
ecb,16.318514,-6.915314,11.134961
view,8.915875,-18.669037,7.324238
rise,19.703846,-5.510853,3.455866
fixed,15.531144,-14.361869,8.192414
rising,21.79617,-8.319679,3.2392623
activity,22.913515,-5.3819456,2.5888696
simple,12.841721,-11.974692,8.170719
hike,16.360643,-6.9474683,11.221089
treasury,6.034093,-12.539619,11.870086
remains,23.396011,-6.017945,2.5566027
strong,16.855566,-13.783899,3.2503211
support,22.040071,-6.779514,0.95212394
annual,9.949441,-10.186807,11.157077
percent,18.47855,-2.3933964,4.502826
spending,17.084318,-13.153887,5.3790107
trend,23.364428,-4.9283943,3.58552
nominal,16.277458,-13.870735,7.3830338
food,22.386234,-1.0064127,2.0849845
stocks,7.0533514,-14.811832,10.172649
industrial,22.025023,1.359101,4.586808
trade,20.85408,2.5679936,2.586966
range,16.358831,-6.852123,8.644103
public,4.6886764,-17.551035,1.8587558
october,6.847715,-5.8548946,10.764171
pre,24.455448,-4.265204,4.6603622
aug,18.953236,1.9198835,11.924919
volatility,7.211788,-17.205229,8.407413
consumption,22.160515,1.5765485,2.8077133
january,10.107168,-15.070917,0.43896437
cash,9.524808,-16.264498,9.070185
pressure,21.717546,-7.9267383,3.1555758
including,17.983494,-14.756816,1.0424339
insights,12.838854,-11.966163,8.16103
commodities,8.02971,-19.498837,7.734184
median,7.796759,-10.778133,10.744552
headline,20.294147,-2.4911401,5.8257504
bps,16.003508,-6.759011,11.619022
spreads,5.91571,-13.218378,12.094018
start,10.16631,-11.416731,3.8223941
recovery,21.624342,-10.029944,-1.9881413
manufacturing,21.35473,1.0703697,5.287379
period,8.938243,-9.728209,6.294869
consensus,16.42671,0.66147393,4.1105556
fiscal,20.369804,-8.299755,7.585916
unemployment,18.478218,-2.4813807,4.3683434
ratio,7.457844,-10.978857,10.083867
yr,8.892295,-10.491205,11.148018
major,19.777557,-9.316862,7.614898
feb,18.955425,1.916303,11.918814
impact,21.82587,-8.458029,3.3255312
measures,19.60404,-5.270711,4.9011416
eu,11.25859,-2.395952,13.956729
sales,21.111576,1.9243126,4.216683
prior,8.815214,-6.3766227,8.406129
germany,10.960211,0.5047567,10.975894
companies,16.416992,-15.013037,1.6461601
quarter,10.993588,-9.582107,4.77077
week,11.226716,-4.895977,8.080397
sectors,4.799203,-17.501972,1.4499351
short,11.808643,-15.60021,6.778485
spread,6.2030797,-11.975521,11.748512
war,23.583317,-2.663324,-1.7481054
tax,5.005303,-12.629325,8.183997
valuations,8.029176,-17.607615,11.063908
exports,22.034174,1.4217039,4.3168764
potential,8.994542,-18.219414,6.1712885
probability,10.210914,-14.8428955,5.175031
household,16.686136,-13.585057,6.69631
costs,22.600882,-6.536217,1.2918808
pressures,21.532091,-7.102919,2.9417906
business,22.126856,1.5810556,2.7132664
sources,8.292704,-1.8862005,13.436912
increased,10.909387,-8.941679,2.820299
hikes,16.404245,-7.154067,11.061242
estate,15.407369,-14.424476,8.290228
premium,7.4328065,-16.42568,10.74315
spot,20.034065,7.9256625,6.867802
attractive,8.06921,-17.632534,11.141816
countries,21.167942,-5.1911874,-3.9684076
korea,11.848667,1.3775132,9.090365
commodity,21.185934,-9.335548,0.5637111
cost,21.494358,-8.8232,0.4836764
united,12.149952,1.6786705,8.050779
economist,9.707431,-2.7856667,15.089296
sentiment,20.553783,1.379341,4.3176327
mid,11.395757,-14.400625,10.293384
fwd,16.371286,8.170816,9.98406
hiking,17.819227,-8.087183,9.923196
natural,23.171682,-1.1888663,0.24197547
geopolitical,15.850596,-0.056212556,8.985212
adjusted,10.053147,-10.022185,11.162193
march,15.1625,-6.7753706,10.042738
economies,14.941982,-10.780494,5.145959
uncertainty,22.678896,-8.948113,-1.5995802
gold,8.851987,-16.672615,8.618991
fall,19.702974,-5.5808616,3.3695564
annualized,9.7680645,-10.471448,11.17896
budget,17.073534,2.4967477,5.413473
elevated,21.846207,-8.433052,3.299605
compared,10.999075,-9.8958435,5.0891404
households,17.128143,-12.971574,4.5973115
driven,16.74693,-14.018821,3.1624086
savings,17.119848,-13.069535,4.946876
cap,8.763742,-15.931026,9.785708
pace,19.28425,-8.726021,7.854917
environment,12.108254,-13.334072,-0.16751191
france,10.913332,0.4327334,11.127059
chartbook,9.214813,-3.7155354,14.879009
weaker,23.211853,-5.8908176,2.9038248
september,15.206001,-6.8926926,10.260627
gfc,13.340748,-15.070932,4.05756
chart,16.949503,2.8168452,5.7412925
disclaimer,9.166653,-3.7640169,14.84771
factors,17.77251,-14.514048,1.1646118
management,7.2342796,-5.3468103,12.597814
worst,5.574479,-12.861752,10.603017
meeting,14.787271,-4.8084927,10.229799
record,17.281319,-5.1957216,3.363765
future,6.228734,-7.5158367,9.06601
result,21.775932,-8.430044,0.4752278
russian,23.129908,-1.9382355,-1.2764072
canada,10.458502,-1.3184127,12.58134
job,25.118738,-5.5423903,1.2223788
msci,6.477918,-13.838489,8.6331215
employment,21.355968,0.021798722,3.0081112
chinese,14.313623,-0.44175637,7.0293183
currency,7.155575,-17.650757,6.084292
municipal,6.559513,-14.956527,11.767203
survey,16.637308,0.96707267,3.6124084
grade,6.523855,-14.91425,11.859164
crisis,22.53811,-9.1907625,-1.8384757
developed,7.4364567,-18.198906,5.7314034
terms,10.690701,-16.65711,3.8045866
pmi,20.990023,0.97191185,5.7079444
infrastructure,4.7216563,-17.574108,1.7791065
additional,8.033184,-5.942572,3.7092261
set,19.307423,-6.7032275,3.6813068
output,21.68256,1.1405491,4.721735
country,10.309229,-5.7541285,-4.032461
inflationary,21.096622,-7.3972487,3.0187995
late,17.886713,-8.249358,4.919145
left,8.510621,-10.018667,6.1683207
downside,12.417289,-13.728655,-0.10035046
portfolios,7.7003336,-17.390776,9.864124
recessions,6.3497148,-8.267351,10.200047
percentage,10.95408,-9.719994,4.9121346
effects,21.572678,-6.6772957,2.6926901
reopening,22.513624,-5.5274353,-2.364717
italy,10.903839,0.41646427,11.1589575
share,7.141749,-9.291637,2.558122
april,19.33584,0.841717,2.3314412
brazil,11.574349,1.3004886,9.48028
focus,17.651653,-14.512427,1.0500484
slow,22.95067,-5.3798895,3.1903646
confidence,21.397594,0.27757362,3.3708613
international,8.310087,-1.8968064,4.432237
refinitiv,16.132511,8.703867,9.699413
trough,6.740538,-10.280062,10.225829
curve,6.057438,-12.337806,11.523661
stay,16.241375,-14.629258,3.168332
continued,21.341717,-7.487472,0.00035246531
moderate,11.376765,-14.395731,10.293542
middle,14.931177,-10.747174,5.1680393
stronger,6.9078784,-17.610441,-0.39415205
indicator,16.44543,0.7419499,3.6407833
stock,10.2872305,-15.212633,7.5384593
bear,5.025893,-6.5972857,10.730617
tactical,7.404335,-18.77934,8.937331
backdrop,17.273575,-14.334009,2.000436
history,9.924155,-15.598032,8.048951
india,11.41656,1.3937128,9.87692
cuts,18.915565,-7.6457186,7.7506638
post,17.4824,-14.299764,2.194308
tech,5.0455966,-15.362411,2.1923409
digit,10.979312,-14.338879,10.51561
falling,21.136356,-6.0173826,3.0645514
headwinds,18.168282,-14.883135,0.97937995
weakness,21.554106,-7.8476143,-0.15314321
excess,17.047968,-13.171341,4.126872
bureau,6.1581993,-4.9471235,13.336727
isg,5.12816,-6.708373,10.958405
local,7.3602557,-17.141123,9.759914
retail,21.56966,1.244644,4.724895
provide,7.6240587,-17.622303,9.077052
region,21.29078,-8.490715,-1.8232158
single,11.278457,-14.379299,10.365725
times,15.306899,3.7398908,1.9624122
upside,14.601057,-15.692661,-3.5153978
sheet,17.068586,-3.7924755,8.593606
currencies,8.107465,-18.170189,5.133137
monthly,18.271347,-1.204437,3.635049
estimate,8.584963,-6.100981,8.405479
spain,10.912366,0.43524304,11.140965
america,13.871058,0.809839,8.784197
leading,16.024277,0.13537638,2.6354973
strategic,7.0282,-19.548405,9.05907
periods,6.2166257,-8.35221,10.305797
foreign,5.545859,-10.415725,-6.1463785
deficit,19.424263,1.5854527,2.6097977
estimated,7.438844,-2.860421,7.84179
model,8.459993,-14.430584,6.375447
treasuries,6.3319006,-14.082837,10.197382
national,16.211756,4.4563775,3.245844
decade,8.731804,-17.023542,7.924713
loans,4.479918,-12.5470085,8.532495
avg,9.965594,-10.031364,10.983045
lead,17.346447,-12.960319,-0.9930231
workers,18.807865,3.9951508,-1.0057824
imports,21.92674,1.320694,4.493742
invested,8.007185,-18.908888,9.694874
disposable,16.497822,-13.728329,7.040373
eps,7.829201,-6.1018925,9.108919
inventories,21.196573,2.3007114,2.1222658
pce,20.224674,-2.7421873,5.7722416
lending,15.759341,-10.575731,-0.43001068
day,13.663099,4.8273726,-1.6199527
duration,9.120902,-16.20431,9.244739
south,11.739757,1.3041879,9.220469
wages,19.514214,-5.538004,2.2277603
boe,15.634465,-6.2537966,9.962798
summer,20.776184,-4.0597725,-1.2935066
close,19.208513,-3.0411153,-5.4704957
estimates,8.342632,-6.157899,8.613334
peaked,19.617512,-4.9031463,5.1590877
mkt,16.354366,8.199408,9.9727955
issuance,5.057054,-12.814456,9.85686
account,13.804997,-5.4174504,2.508219
tighter,19.723389,-10.597347,5.479606
slowdown,23.257816,-6.0842285,2.6798205
north,13.679117,0.86128217,8.759956
slowing,22.943552,-5.278104,3.328156
rs,20.482231,0.04781814,5.5122695
default,6.0734,-12.359786,11.612294
finance,6.3031745,-6.208864,11.293998
coming,17.831003,-8.688742,1.494509
force,19.681337,-5.4137607,-1.7913848
clients,7.52717,-18.203785,8.876944
opportunities,7.8017597,-18.845835,8.568027
cee,11.292047,-1.9878298,13.596156
classes,7.1014495,-19.460308,9.099594
chains,24.073736,-3.4390223,-1.6066766
easing,21.810904,-6.8612757,2.1811116
hy,5.1635656,-12.9350395,9.930056
industry,17.873589,4.9000964,1.9586973
hit,15.214118,-6.3636208,1.7476321
weighted,10.678042,-9.551574,4.6476364
scenario,9.943298,-14.521472,5.628478
mortgage,17.360292,-4.5242944,3.3903763
largest,15.4198265,-4.424511,-2.4842951
security,13.429045,-0.124224246,2.0295575
baseline,18.133158,-4.0096693,3.674619
hand,16.915659,-13.662083,0.46175307
indicators,16.06689,0.22621682,2.6558256
chief,9.843227,-2.2691402,15.135982
importantly,10.736746,-16.5395,3.7533593
cut,16.304695,-4.6280594,7.089134
aggressive,18.86255,-9.014837,8.1963215
losses,7.2727227,-16.682695,6.45374
technology,5.020125,-16.215681,1.0189503
pricing,15.56587,-7.4194345,8.738786
drawdown,5.9116964,-8.399458,10.626082
news,11.999348,-15.317266,6.078045
nuclear,11.630934,0.15371068,7.25474
taiwan,11.975308,1.4125327,8.319016
modest,17.826712,-11.52402,2.323946
historical,6.564008,-11.541438,8.662823
cumulative,7.585967,-11.082307,10.27118
indices,6.0646544,-7.7095222,8.897115
moody,5.0326,-6.5453496,10.96241
quality,8.022359,-17.266855,8.839988
increases,18.921398,-6.8816614,3.7014916
yen,14.096092,-15.049921,-3.8396485
domestic,14.190985,-4.4060817,-2.088688
gains,16.15042,-15.002625,1.8632059
neutral,17.897976,-8.12663,8.044837
suggests,13.531792,-13.996299,3.6102765
aggregate,7.9497256,-14.333495,6.3430896
class,7.080913,-19.410992,9.004023
surge,20.841629,-4.2017865,-1.1747062
august,14.912486,-5.3604565,9.53262
margins,16.652046,-14.415879,2.6360633
declined,9.893388,-9.268385,3.080337
increasing,18.53653,-11.117333,0.39689067
path,18.94978,-8.6985235,3.3920069
typically,9.591854,-15.9894705,8.340945
ig,5.1313553,-12.891512,9.9549885
drag,19.390203,-10.256845,5.038432
iran,11.633756,0.4126971,7.252823
reflects,17.435219,-11.644818,2.287319
property,21.948439,-9.366586,-2.033122
hedge,8.455701,-16.945292,8.797773
trading,7.18512,-16.479742,6.371743
resilient,20.578562,-6.4156437,-1.5901836
response,19.455465,-8.036302,7.4704943
taux,17.171082,9.048765,-2.926681
led,18.483473,-9.451782,5.0112586
limited,8.957493,-16.694805,-1.1708976
continues,19.28384,-7.824036,4.3422017
opportunity,6.678585,-15.498759,6.627444
february,15.398357,-6.5470395,9.777742
offset,21.58308,-8.599217,0.3619284
latin,13.948974,0.7791756,8.784116
personal,16.583532,-13.661907,6.922365
medium,19.668482,5.78424,1.3791634
exposure,8.465957,-18.073257,5.048516
direct,7.819526,-13.608192,3.4922621
qoq,19.549017,-0.08493871,4.9127007
deliver,11.786689,-14.639912,6.166019
openings,25.177994,-5.525402,1.1848657
sharp,17.24084,-12.426675,2.8867726
starting,16.962126,-11.838292,2.2682674
benefit,17.10784,-14.151473,1.2154231
overweight,8.163078,-18.788704,9.927848
africa,11.981365,1.3048749,8.834816
chain,24.112307,-3.5267925,-1.5964609
fund,8.047459,-14.33314,1.127926
scotiabank,8.486969,-1.8725361,13.593445
turkey,11.237544,-1.3401254,12.897788
upward,18.353128,-6.734237,3.4011502
historically,11.84232,-15.10242,6.2121677
implied,7.0880427,-10.731248,10.121176
sharply,17.583033,-8.161203,2.1999636
election,12.994978,0.73103946,-4.510593
analyst,6.8158255,-4.8218174,13.187923
transition,19.768179,-8.878987,-2.6253788
jpy,18.71023,8.3220215,8.61828
intermediate,6.5870104,-14.383747,10.237011
construction,20.863111,2.407802,1.1361127
restrictions,22.408354,-5.701344,-2.2860165
poland,11.156593,-1.4718105,13.057344
mexico,11.7042055,1.2880857,9.131406
rose,19.753899,-0.65573746,1.6314548
days,9.006749,-9.680516,8.406369
size,16.270828,-4.273437,8.46247
gain,4.713533,-13.391604,1.384754
favor,8.85372,-18.16116,6.3537107
consistent,17.883955,-6.2728534,2.5678928
head,9.882455,-0.9423561,16.201702
lowest,14.166288,-6.7313333,1.4804884
signal,10.070099,-11.503626,2.4377654
flows,8.508585,-16.733665,8.592299
rebound,21.13979,-5.421554,0.027473934
question,10.469552,-16.069933,3.0961885
statistics,6.4086823,-4.8400483,13.286174
hawkish,15.685305,-5.4111853,9.374865
signs,18.847498,-11.176749,0.4675746
jobs,18.766462,3.7695427,-0.59068555
earlier,16.15413,-13.72258,-2.8831003
rolling,7.870071,-10.65908,10.430871
power,13.638135,-0.8998216,1.26955
purchases,10.37138,-14.763604,0.9138514
surveys,16.66294,-1.0736632,0.9406298
valuation,7.368247,-16.345184,6.075603
consumers,14.233324,-8.001541,2.6552022
momentum,18.411951,-6.676434,1.1463486
shift,21.688017,-7.9682517,-0.62857264
gap,11.909464,-7.0103087,2.4962802
seasonally,10.405089,-9.653415,11.409988
declining,19.143076,-5.6112714,1.996411
shock,17.8962,-9.879285,2.9166207
crude,21.650139,-0.38658407,-0.65255356
tight,23.510714,-6.19129,2.6385245
east,14.643556,0.17521745,8.375213
thinking,11.91083,-16.1103,3.4614363
roughly,17.248432,-11.828892,2.388935
tilts,7.127273,-17.582699,8.979348
turner,16.35565,8.238241,9.9409895
chris,16.358086,8.22331,9.951884
mild,21.477802,-9.89823,-2.3252451
cycles,18.469217,-8.736362,8.132071
loss,5.12046,-13.43643,2.6661685
population,12.039386,-1.0519568,4.6963305
combination,18.709265,-12.616305,-1.1648016
people,12.36743,1.5276757,4.940855
reason,17.164297,-11.8830185,2.3467855
ease,20.020594,-7.6333756,4.2079644
weak,21.433067,-9.878983,-2.3519301
house,18.866825,3.1792772,0.3419098
concerns,11.033221,-16.287308,-1.8786972
stable,18.70424,3.8868837,0.1789764
moving,10.103161,-8.69704,3.30415
tilt,10.737302,-16.445612,4.0200505
table,9.437854,-0.7844504,15.3316965
improve,7.917023,-17.162588,-0.7060219
resilience,21.577356,-9.736753,-2.2176065
weight,10.074558,-8.350087,3.335109
add,5.3170457,-15.073719,0.6939557
products,15.303846,-2.4123595,-3.9607053
declines,17.270664,-4.914344,3.3350434
cyclical,19.06634,-3.5004053,0.78277636
bund,18.014635,5.6133275,8.857976
boost,18.764393,-8.68851,3.1288292
territory,17.86358,-8.471153,5.0863605
double,4.5997677,-13.812104,0.82364833
reached,16.539791,-4.9733214,0.15099964
revision,7.4914227,-2.857279,7.8703203
growing,16.839052,-13.91478,0.57954836
conflict,23.279047,-2.2805376,-1.6380728
assumptions,7.460782,-2.8434515,7.86897
achieved,6.8817253,-2.2087066,7.3506413
finally,21.4874,-8.343847,-0.8795778
reduce,16.672913,-12.645012,1.6805117
bull,5.1957626,-6.4546356,10.16831
downturn,17.037851,-11.268397,-0.61999524
raise,19.413305,-7.903557,7.488428
situation,19.350704,0.99215335,2.3684773
recommend,8.539649,-18.56198,7.642982
weigh,21.093916,-5.257976,-0.096527986
decision,18.161888,-7.083887,-9.244414
tensions,14.709018,0.0865207,8.27583
tend,13.524897,-14.629642,3.9210575
japanese,9.812224,-17.888317,-1.4641516
drivers,19.249977,-6.207478,-4.5762854
contribution,18.306026,-0.34652644,3.9725194
fell,10.455418,-9.025101,2.8406024
german,20.864813,2.258268,0.10640589
strength,6.0796857,-13.640775,-0.9319885
productivity,20.980116,-9.754175,-2.8308518
faster,20.260912,-6.152812,-1.2666967
compelling,8.019476,-16.90898,8.537771
multiple,6.13419,-15.497397,3.7653825
initial,19.366299,2.0198545,-0.7344456
conference,6.8319006,-6.4567556,9.795493
ism,10.749887,-9.975257,-2.4758341
broad,10.629534,-8.455739,0.2397704
improvement,13.498889,-6.2930355,-4.566434
hungary,11.122832,-1.3615113,12.968007
limit,16.219063,-13.177611,0.7927641
scenarios,8.794732,-9.9990635,6.092826
political,14.6518345,-0.63958627,6.8855906
avoid,16.98585,-13.318121,-0.2802934
highs,17.379818,-8.074651,2.2020652
assurance,6.8515697,-2.1821,7.4217787
policies,21.960545,-6.80165,-1.4974558
sustainable,7.8559227,-14.501405,-2.304135
export,19.209597,0.6264029,-2.3822188
main,20.608622,-8.573012,-4.8869023
quarterly,16.494568,0.789239,3.7777843
actual,8.857789,-9.643411,7.0240407
incremental,7.544701,-16.514309,10.171392
stimulus,21.984175,-6.475954,-1.7022345
office,8.04134,-1.4760406,3.627815
measured,10.066984,-10.4220085,0.4707625
brent,17.765905,7.4819117,6.1875644
difficult,19.163692,-8.488762,-3.9449658
gross,10.201141,-9.194277,9.46658
czech,12.108068,0.18830106,13.937598
sheets,17.853281,-8.836464,2.72635
ongoing,22.041979,-6.788657,1.5070032
era,20.619186,-8.567892,-4.9162526
mois,17.160145,8.992718,-2.7930617
payments,11.61106,-5.5705643,1.2314016
odds,11.766453,-15.180292,6.39215
invasion,23.37977,-2.3909466,-1.6698518
restrictive,18.804174,-8.392163,7.9616017
include,13.274845,-0.14837846,2.386441
usa,20.156637,1.3610663,5.289913
reach,15.980865,-13.140659,0.64390486
winter,21.029463,-3.8861115,-3.7896953
continuing,19.556976,-4.599026,-1.3787123
shelter,19.986923,-0.66801304,1.6724056
drop,14.837072,-5.929472,2.3441527
erste,13.998562,4.537958,-1.1337168
australia,11.971424,1.9525694,6.68853
indonesia,11.59838,1.0432091,7.118061
raised,18.34648,-8.432514,6.3549714
correlation,8.711612,-16.36522,8.998976
macroeconomic,15.7933235,-12.507035,-6.4013324
slower,20.224386,-5.4027753,-1.3436875
