,x,y,z
inflation,5.7698894,-4.229626,-2.6771734
growth,5.9205494,-4.9857626,-1.7453455
exhibit,8.570742,-2.2523134,-0.36411393
rate,6.7808113,-1.9393846,-3.2929451
global,8.436852,0.3311233,-1.6638333
market,8.079607,-2.853955,0.49610245
investment,8.645893,0.31900427,-1.3554618
gdp,4.2369037,-4.0275126,-3.6484826
recession,7.8250265,-2.0194004,-0.27424955
prices,4.339924,-5.0459304,-1.8674253
rates,7.1408877,-2.8589406,-2.6111844
markets,9.084559,-2.656543,1.6051446
china,2.329151,-5.1650324,-0.43008405
real,8.580931,-3.0969644,-0.76800895
policy,7.072646,-2.5654912,-2.9973674
jan,2.1767547,-4.366579,-4.6500006
expect,6.4325843,-4.021825,-2.3000245
energy,4.2157207,-5.0624905,-1.7802119
jun,2.3603377,-4.4467254,-4.5410056
strategy,8.6017475,0.3406368,-1.4641443
economic,5.0815983,-0.771728,-3.937205
yield,9.936889,-1.2267145,-0.09565595
returns,9.754818,-2.336099,0.36022243
risk,8.752224,-2.7783809,1.1835489
bloomberg,8.56427,0.37009186,-1.5208362
equity,9.875382,-2.304602,0.80030376
asset,8.791331,0.0031544324,-1.6888434
average,9.259002,-1.0265214,-0.797806
december,8.605926,0.32765967,-1.3061893
return,9.612548,-1.1523027,-0.54266465
fed,6.837738,-2.0337787,-3.258345
forecasts,4.4947104,-1.12174,-4.2965918
dec,2.3279574,-4.4261518,-4.608763
term,8.378722,-3.0192604,1.1459655
economy,5.948586,-5.048249,-1.2256249
time,7.6576905,-2.0733259,0.323806
forecast,4.5532937,-3.6194172,-3.5811331
total,9.569702,-1.0710115,-0.648314
usd,1.4215717,-3.288094,-4.86739
price,5.264589,-4.0373683,-2.4653738
unicredit,1.5023063,-5.6394253,-1.6388731
central,7.2730303,-2.8132913,-2.8575158
financial,7.3373804,-3.3163176,-2.4223208
eur,1.4304938,-3.293907,-4.8645916
current,1.6326344,-3.0158381,-4.834674
income,8.881153,-3.0443478,-0.4578807
jul,2.2219048,-4.387835,-4.6322207
equities,9.863942,-2.4423301,0.95866215
june,1.4909273,-5.4000344,-1.7058939
investors,9.593498,-2.4849057,1.2452942
bonds,10.060758,-1.8586135,0.48859486
tightening,7.0829844,-2.5512798,-3.0204709
supply,4.401077,-5.194366,-0.07863904
services,4.347967,-4.675857,-2.6294858
credit,9.913345,-1.4490701,0.2917603
november,8.527829,0.36225668,-1.592302
cpi,4.5432725,-4.158705,-3.5644662
expected,6.0762486,-3.9563313,-2.3248909
earnings,8.344412,-3.0533278,0.16380472
remain,6.3860664,-4.9731336,-1.0664377
consumer,4.894466,-4.735496,-2.4927683
july,6.3917937,-1.5286984,-3.3059611
macro,1.4624233,-5.9188223,-1.6206187
months,8.33872,-1.3584142,-0.70728934
core,4.9515705,-4.139887,-3.320114
apr,2.243003,-4.4135346,-4.6252484
labor,5.574544,-5.0993495,-1.4830703
europe,2.7129045,-4.962877,-0.030901304
levels,6.4207106,-4.7826176,-1.0017304
risks,4.6343384,-5.0029125,0.89947647
covid,4.75973,-5.145075,-0.28211948
yoy,3.9317265,-4.15245,-3.853711
demand,5.5971026,-5.1692643,-1.0785996
change,4.9657917,-0.9526821,-4.0566955
note,8.742435,0.21776697,-1.2123746
cycle,7.1679354,-2.6625183,-2.9075208
federal,6.925195,-2.0343416,-3.2733426
peak,6.2497544,-3.8360276,-2.542442
bond,9.984741,-1.467069,0.09000748
oil,3.8798985,-5.0267086,-1.4431171
analytics,8.548894,0.3351696,-1.6829247
economics,1.4832665,-5.695988,-1.636027
sector,5.107619,-4.403846,-0.45875922
pandemic,5.877349,-5.2261047,-1.1416713
banks,7.2965264,-2.8691883,-2.8309515
level,6.648433,-3.8920615,-1.3558669
month,9.054274,-1.045661,-0.9041168
russia,2.2143395,-5.288188,-0.6455446
decline,8.244313,-3.1258283,-0.025560614
bp,6.7737255,-1.9313133,-3.314768
haver,8.5218115,0.3584337,-1.6785125
corporate,10.004966,-1.4587891,0.12862523
allocation,8.764764,0.026138205,-1.6988207
debt,9.702478,-2.254181,0.83551234
based,8.878689,0.04356436,-1.0264407
balance,5.9294577,-2.1867428,-2.7910163
government,6.4689894,-2.4885006,2.2496343
continue,6.399241,-4.726628,0.024830433
production,3.1161997,-4.313027,-3.60771
oct,2.2353601,-4.3955193,-4.6341825
ing,1.5600578,-3.536664,-4.9219465
reserve,6.917236,-2.042343,-3.2669775
nov,2.26445,-4.400266,-4.6159735
conditions,7.3067575,-3.3073568,-2.510367
portfolio,9.891375,-2.3074665,0.80436945
expectations,5.8951592,-4.190224,-2.6122684
capital,8.747301,0.29501504,-0.3209045
key,6.5005164,-4.2623167,0.96236295
increase,6.8521085,-3.5002217,-1.837171
eurozone,4.792724,-3.1489582,-2.6238494
dollar,9.431202,-2.3084438,1.2975415
performance,9.152302,-0.2355535,-0.7523391
mar,2.2451932,-4.406793,-4.628571
em,9.775685,-1.1315957,1.1070567
relative,9.504552,-2.2247324,0.90648264
funds,6.930204,-1.885161,-3.253036
gas,3.9245133,-5.0547185,-1.5329163
negative,8.729843,-3.0031183,0.29444122
emerging,9.014223,-2.753596,1.7493441
analysis,8.628693,0.18817778,-1.6945965
wage,5.9612765,-4.8469367,-1.8953778
japan,2.027298,-5.2143607,-0.7896458
assets,9.661353,-2.48572,0.92228305
target,6.221641,-2.4503746,-3.268349
