,x,y,z
inflation,14.392781,-11.817549,-2.7828186
growth,14.159117,-11.140749,-4.6045027
exhibit,20.273647,-7.104044,4.0620546
rate,17.383348,-12.199316,1.1135966
global,14.776226,-2.8726544,9.285388
market,20.009026,-6.270062,2.7291307
investment,15.704966,-3.598476,8.932934
gdp,7.974587,-10.588608,-3.7225652
recession,17.005571,-6.4647584,4.440017
prices,10.924883,-9.200835,-5.832417
rates,17.176674,-11.68403,-0.8856916
markets,22.106358,-3.2823493,2.90085
china,7.7697186,-8.069708,2.9613352
real,20.257275,-6.7105885,6.268841
policy,18.085052,-11.71451,-0.25704518
jan,5.04946,-10.044506,-5.813393
expect,15.152521,-11.53247,-2.3740153
energy,10.93599,-9.1030655,-5.8845525
jun,5.325174,-10.171637,-5.7338057
strategy,15.500786,-3.6327817,9.056752
economic,13.298727,-5.888602,6.8754253
yield,20.129725,-3.5245554,7.4286523
returns,22.176662,-4.6728325,5.743989
risk,21.49865,-4.789031,2.9445472
bloomberg,15.302383,-3.6577141,9.10945
equity,22.118956,-3.3825443,5.7916985
asset,15.268531,-2.155312,9.576935
average,18.61604,-4.7599173,7.5812254
december,15.706039,-3.7126737,8.725114
return,18.785994,-3.946458,8.6209955
fed,17.51239,-12.156314,0.90173215
forecasts,12.721215,-5.5999637,7.1953974
dec,5.221358,-10.194366,-5.7173405
term,21.613232,-5.1672597,2.2307901
economy,14.899489,-10.211634,-5.030356
time,16.908354,-6.118131,4.200784
forecast,8.151811,-10.757852,-3.1961968
total,18.74032,-3.9820163,8.65001
usd,3.2081082,-7.7598047,-5.0283446
price,11.747511,-10.485648,-2.6029644
unicredit,6.1808887,-10.876189,2.318071
central,18.614449,-11.248752,-0.7236767
financial,17.78,-11.207502,-2.5760815
eur,3.2036624,-7.7678256,-5.0189977
current,3.6342616,-7.4060493,-3.5644634
income,20.53299,-6.498452,6.217258
jul,5.1178656,-10.100177,-5.780279
equities,22.413645,-3.2908323,5.545456
june,5.8344345,-10.078549,1.968909
investors,22.383085,-3.2080367,4.47557
bonds,21.292528,-2.966477,6.5868793
tightening,18.014174,-11.806154,-0.22324109
supply,14.174814,-7.5001826,-6.300401
services,10.027437,-9.832784,-5.1544476
credit,20.448534,-3.2257204,6.7354245
november,15.137951,-3.5100315,9.232692
cpi,8.554426,-11.481334,-4.062414
expected,13.986114,-11.179038,-2.1059632
earnings,21.193336,-6.4873853,4.0716853
remain,16.013773,-10.430868,-4.2553315
consumer,11.398481,-10.916422,-4.2756686
july,16.466726,-11.754211,2.0431075
macro,6.2125907,-11.328498,2.1956923
months,17.910892,-5.5249043,6.2727923
core,8.792966,-11.593572,-3.934108
apr,5.138118,-10.126062,-5.7794085
labor,14.382496,-10.709354,-5.4020505
europe,8.126623,-7.5083604,2.8328185
levels,12.807876,-11.259945,-4.523846
risks,16.048887,-6.581933,-5.854042
covid,13.927562,-8.25982,-5.7109256
yoy,8.140366,-11.250634,-4.2309785
demand,14.473634,-9.943137,-5.1813207
change,13.263628,-5.791032,7.116118
note,16.117973,-3.6278114,8.722743
cycle,17.59265,-12.115048,-0.49091467
federal,17.884241,-12.232216,0.8388349
peak,14.483322,-11.663718,-1.9596641
bond,20.521322,-3.5800204,7.14776
oil,10.96524,-8.557914,-6.0860987
analytics,15.025702,-3.3559265,9.453266
economics,6.1646266,-10.989293,2.2561846
sector,12.822031,-9.318508,-5.883056
pandemic,13.009683,-11.194418,-4.7777843
banks,18.631073,-11.226401,-0.76643294
level,14.386292,-10.496168,-1.7257477
month,18.4061,-4.8763638,7.4962993
russia,7.583361,-8.453766,3.0579295
decline,21.316435,-6.433578,4.1988297
bp,17.367147,-12.214151,1.1250532
haver,15.017238,-3.445042,9.401032
corporate,20.526575,-3.5453055,7.114027
allocation,15.238432,-2.2040243,9.574369
debt,21.169703,-4.256859,5.556065
based,16.691227,-3.3952854,8.517521
balance,14.633499,-11.430608,0.50481987
government,17.36124,-3.9406679,-1.1948106
continue,16.540848,-8.622636,-4.5802083
production,7.670462,-9.443696,-5.500693
oct,5.1254697,-10.1185255,-5.7721086
ing,3.7999535,-8.079745,-6.100958
reserve,17.870802,-12.210779,0.8212822
nov,5.156895,-10.125536,-5.7614865
conditions,17.794672,-11.258683,-2.5842817
portfolio,22.2917,-3.21275,5.6954856
expectations,14.440564,-11.765336,-2.7654092
capital,16.246841,-1.9179971,7.822278
key,17.534061,-6.6107016,-4.231745
increase,15.836348,-10.816946,-1.8368844
eurozone,9.6106415,-9.7459,-1.4318204
dollar,21.274889,-3.8366878,4.1748834
performance,17.10518,-3.1050189,8.401803
mar,5.143336,-10.128121,-5.772847
em,20.151527,-1.7419965,5.6888075
relative,21.061829,-4.2176666,5.138894
funds,17.559761,-12.311168,1.2342143
gas,10.944351,-8.657207,-6.0731974
negative,21.750683,-5.659436,4.6146007
emerging,22.086184,-3.2841349,2.764003
analysis,15.103965,-2.5378823,9.469533
wage,14.384175,-11.240694,-4.0627966
japan,7.4619884,-8.483084,2.8247128
assets,22.043705,-3.8407788,5.167065
target,16.153439,-12.225478,0.522293
sep,5.1450987,-10.124376,-5.7709727
euro,7.7667336,-8.018813,-5.6446986
monetary,18.152962,-11.680795,-0.37545398
housing,14.426997,-10.979018,-3.9670422
basis,18.707304,-4.606377,7.152847
european,6.6872177,-7.032762,0.58544636
positive,21.917683,-5.0544724,4.9075255
asia,8.210428,-7.1827188,3.1850605
ukraine,13.901914,-7.3843412,-6.407909
yields,20.375523,-3.7091384,7.04057
base,15.507143,-5.008476,6.8753204
ecb,17.326355,-12.046947,0.9411986
view,21.930626,-3.5016263,3.268232
rise,14.3684225,-11.106516,-2.86769
fixed,20.648802,-6.321249,6.166384
rising,15.814737,-10.346526,-4.2182446
activity,14.209862,-10.114822,-5.1039095
simple,20.371838,-7.0678496,4.014043
hike,17.449183,-12.109107,0.8938143
treasury,20.00397,-3.6935723,7.2805886
remains,14.612795,-10.337672,-4.7019925
strong,17.268232,-9.09517,-3.8813052
support,14.511577,-8.520519,-5.0413485
annual,5.879643,-10.719063,-2.9218552
percent,8.467755,-11.249494,-3.1540155
spending,12.094335,-10.8055315,-4.188789
trend,13.886397,-11.03547,-4.715629
nominal,19.935062,-6.7975206,6.2862654
food,10.255265,-9.661759,-5.461362
stocks,21.294403,-2.8616652,6.01351
industrial,7.643072,-9.526546,-5.4256053
trade,7.8338704,-8.701183,-5.2835383
range,16.252169,-11.907213,0.5508597
public,20.334444,-1.8758185,2.203532
october,15.035306,-3.7338805,8.208007
pre,12.957502,-11.2064495,-4.7867293
aug,5.132067,-10.119792,-5.7833
volatility,21.07475,-2.963067,4.718433
consumption,8.366417,-9.858663,-4.9769206
january,17.798239,-4.975482,1.7338543
cash,21.326656,-4.0315523,5.1010103
pressure,15.495626,-10.452665,-4.2417626
including,17.191177,-8.057117,-4.304627
insights,20.39229,-7.0603137,4.01631
commodities,21.625717,-2.4856484,3.2707405
median,18.670944,-4.4586463,7.4955177
headline,8.675032,-11.524068,-3.968638
bps,17.358719,-12.196268,1.2090325
spreads,20.339172,-3.6095912,7.069102
start,16.926664,-6.231696,4.660775
recovery,15.831768,-7.5191627,-4.562878
manufacturing,7.177036,-9.5978565,-5.2717853
period,16.612206,-5.086406,6.0113807
consensus,7.171901,-10.097267,-1.9723887
fiscal,17.333237,-11.250028,-1.6924244
unemployment,8.664291,-11.182536,-3.104655
ratio,18.51406,-4.061074,7.3230515
yr,18.693731,-4.675567,7.9686246
