,x,y,z
inflation,16.682873,-1.1444458,3.3045945
growth,16.478165,-2.4170625,4.0034313
exhibit,16.008726,-6.1279697,-4.1282496
rate,17.13506,1.0771844,0.34373218
global,8.546999,-7.294072,-4.7911606
market,15.098198,-5.364128,-4.693685
investment,9.195235,-7.5776286,-4.2071266
gdp,11.088739,-3.2186425,6.2691483
recession,16.352022,-3.173317,-1.8653127
prices,13.643161,-2.700133,5.364507
rates,17.472958,-0.5241527,0.85549486
markets,14.671357,-6.745098,-4.7650537
china,7.623086,-5.3186646,2.8780694
real,13.358526,-8.050991,-0.6908381
policy,17.580648,-0.077286094,0.3010505
jan,8.870696,-2.3817463,8.03956
expect,16.992645,-1.286773,2.5865993
energy,13.601803,-2.7888827,5.326038
jun,9.153329,-2.4493406,7.9707417
strategy,8.932559,-7.5858846,-4.2481165
economic,8.005162,-6.86721,-0.9412896
yield,11.9009695,-8.90572,-3.262423
returns,13.74935,-8.890065,-3.4802947
risk,14.753756,-7.1196523,-3.022967
bloomberg,8.791243,-7.5545855,-4.243104
equity,13.596726,-8.552631,-4.244484
asset,9.092475,-7.455899,-5.398683
average,10.823206,-8.440784,-2.0104454
december,9.154938,-7.5210195,-4.014641
return,10.662874,-8.958618,-2.9011943
fed,17.227324,0.9016394,0.3368335
forecasts,7.752239,-6.735908,-0.8163277
dec,9.064654,-2.5184655,7.9940166
term,15.219066,-6.814812,-2.40306
economy,16.213497,-3.075553,3.450064
time,15.052363,-5.451557,-1.6412255
forecast,11.113841,-3.5871167,6.0318136
total,10.547691,-8.963662,-2.8170168
usd,7.2803874,-0.868237,7.3464866
price,14.653527,-1.2698303,4.6627693
unicredit,5.9800296,-5.561793,4.386949
central,17.757757,-0.59997857,0.013355464
financial,17.938202,-1.7830667,0.59783745
eur,7.2890615,-0.8633958,7.3480453
current,6.957234,-1.9363519,6.3635764
income,13.508363,-8.165709,-1.1149893
jul,8.940914,-2.4209657,8.02662
equities,13.851692,-8.481491,-4.4379845
june,5.8993397,-5.0034842,4.2198734
investors,14.196523,-7.8158827,-4.563476
bonds,12.88471,-8.8023815,-4.0686655
tightening,17.604176,-0.007968901,0.34078237
