,x,y,z
inflation,5.7885327,-4.6751842,-0.7444802
growth,6.1469626,-4.7530375,0.07090832
exhibit,8.484025,-1.5784014,-1.2198067
rate,6.4383383,-3.2849746,-2.3018858
global,7.922717,-0.7761214,-2.6523807
market,8.33906,-2.2375958,-0.11165449
investment,8.214811,-0.6543985,-2.4617014
gdp,4.1781178,-4.9993143,-0.9645381
recession,7.9553385,-2.1140714,-0.45581943
prices,4.8638124,-4.818611,0.5905806
rates,7.0984097,-3.6408427,-1.4145275
markets,9.34777,-1.3565313,0.64855754
china,1.8412439,-4.124397,1.4074597
real,8.77159,-2.7662008,-0.05408757
policy,6.874557,-3.583164,-1.7982758
jan,2.471873,-5.6186123,-0.27575263
expect,6.549318,-4.329738,-0.6641575
energy,4.73084,-4.7678113,0.71352404
jun,2.6749253,-5.6379576,-0.37770155
strategy,8.138653,-0.7018724,-2.5575824
economic,5.042706,-2.37549,-2.9390712
yield,9.785388,-0.8875725,-0.96146417
returns,9.814532,-1.3471904,-0.24932022
risk,9.12698,-1.4515412,0.6896097
bloomberg,8.093571,-0.7083215,-2.613107
equity,9.872521,-1.1730716,0.04684015
asset,8.467429,-0.89871484,-2.4205163
average,9.02582,-1.3885474,-1.6361825
december,8.177253,-0.64165896,-2.4417365
return,9.439467,-1.1128076,-1.3950405
fed,6.5362744,-3.3318858,-2.2280505
forecasts,2.579999,-4.2318826,-2.123093
dec,2.635266,-5.6623273,-0.44342548
term,8.82058,-1.672517,0.90508074
economy,6.404608,-4.489515,0.41890448
time,7.9734306,-1.7048163,0.21958064
forecast,4.3000026,-4.71917,-1.231059
total,9.365944,-1.1386688,-1.5478301
usd,2.0940719,-4.887407,0.3899253
price,5.30441,-4.5775146,-0.44806737
unicredit,0.7176053,-4.930516,-0.059893392
central,7.199674,-3.706093,-1.4933513
financial,7.2707143,-3.8228347,-1.2470945
eur,2.1041336,-4.8872204,0.38599
current,2.2233822,-4.669916,0.56504995
income,9.0905905,-2.5075567,-0.0039702184
jul,2.5158508,-5.6322813,-0.33798933
equities,9.8832035,-1.2030224,0.203915
june,0.70005345,-4.768235,-0.09010326
investors,9.681305,-1.1862189,0.3906607
bonds,9.988697,-1.0040497,-0.18879965
tightening,6.887513,-3.5854244,-1.8277307
supply,5.1983275,-4.0555882,1.6786484
services,4.691606,-4.9488115,-0.011518564
credit,9.802547,-0.8477153,-0.52026194
november,8.036009,-0.74707913,-2.6518166
cpi,4.4009113,-5.069993,-0.9458943
expected,6.1845026,-4.3209186,-0.6742437
earnings,8.66442,-2.263546,0.19966681
remain,6.6815195,-4.4395833,0.4712862
consumer,5.1411567,-4.926413,0.01938192
july,6.042558,-3.095127,-2.4926267
macro,0.5971385,-5.108033,-0.23929286
months,8.29596,-1.7005413,-1.1457716
core,4.876817,-4.933468,-0.96181375
apr,2.5363836,-5.6579847,-0.35447693
labor,5.9624176,-4.747344,0.23680758
europe,3.099619,-3.5326843,1.738719
levels,6.5564837,-4.4538403,0.5827646
risks,6.085837,-3.3289628,2.142195
covid,5.5006146,-4.160006,1.4362236
yoy,3.7538764,-5.1958303,-0.84927636
demand,5.974576,-4.581707,0.73125076
change,4.921207,-2.5832105,-2.9842052
note,8.35694,-0.6656226,-2.3111238
cycle,7.0526223,-3.6023824,-1.7291125
federal,6.5896873,-3.3220372,-2.2694614
peak,6.353779,-4.2764764,-0.99171054
bond,9.879057,-0.95995665,-0.636941
oil,4.383809,-4.515325,1.0385337
analytics,8.0547285,-0.7955827,-2.6945095
economics,0.65196246,-4.9734015,-0.113393284
sector,5.4258895,-3.767351,1.2152712
pandemic,6.01785,-4.750851,0.66315544
banks,7.245048,-3.7381997,-1.3897058
level,6.8795986,-3.8232203,-0.07863659
month,8.778671,-1.5422152,-1.6914783
russia,1.3530165,-4.403101,1.0798705
decline,8.502231,-2.4721131,0.18068825
bp,6.3840895,-3.3075593,-2.3238504
haver,8.01171,-0.79030734,-2.7178957
corporate,9.912974,-0.9151908,-0.5828227
allocation,8.424688,-0.90189093,-2.445532
debt,9.756572,-1.1519514,0.16178547
based,8.548316,-0.69825286,-2.0733206
balance,5.8820577,-3.5070896,-1.6705966
government,7.0352254,-1.0075893,1.7583814
continue,6.9503307,-3.8011541,1.0687349
production,3.4444413,-5.0900974,-0.09677355
oct,2.5276816,-5.643944,-0.3600435
ing,2.004534,-5.142949,-0.0046530725
reserve,6.613883,-3.3285758,-2.253033
nov,2.567979,-5.6359324,-0.36948332
conditions,7.197916,-3.8633103,-1.3224374
portfolio,9.888686,-1.1630032,-0.021964952
expectations,5.954269,-4.5962996,-0.7594042
capital,8.543775,-0.15817834,-1.5433995
key,7.440504,-2.9992912,1.1487839
increase,7.0100965,-3.7236574,-0.59260154
eurozone,4.955491,-4.0165787,-0.98042226
dollar,9.5449095,-1.0568774,0.42172986
performance,9.020728,-0.7000513,-1.5791095
mar,2.5479648,-5.653141,-0.35907125
em,9.636006,-0.19115373,-0.10557817
relative,9.592748,-1.1199249,0.18523349
funds,6.5509195,-3.1506436,-2.3499734
gas,4.4102955,-4.6023397,0.9686798
negative,8.911209,-2.1164176,0.26023805
emerging,9.292492,-1.4122635,0.907696
analysis,8.189638,-0.8403327,-2.583091
wage,6.165271,-4.720881,-0.07004233
japan,1.2071564,-4.429967,0.85086125
assets,9.736857,-1.2712203,0.23448186
target,6.030886,-3.6468604,-1.9577523
sep,2.5458462,-5.646316,-0.35647276
euro,3.5175636,-4.4873705,-0.7168724
monetary,6.953483,-3.670372,-1.7009964
housing,5.9799404,-4.702932,0.09412351
basis,9.000714,-1.2639714,-1.3971237
european,2.8624542,-2.773345,-1.7862278
positive,9.553103,-1.5083491,0.28800094
asia,2.9005802,-3.4180508,1.6924747
ukraine,5.00389,-3.9118824,1.8518382
yields,9.809384,-0.9870689,-0.55375695
base,7.456434,-1.1917012,-1.8219088
ecb,6.4469104,-3.3034577,-2.2146947
view,9.300314,-1.3243779,0.6003862
rise,6.2283373,-4.45922,-0.33552325
fixed,9.315106,-2.175405,-0.011851379
rising,6.493828,-4.4077387,0.4904431
activity,5.770576,-4.618503,0.598203
simple,8.831497,-2.0793045,-0.35082904
hike,6.5229845,-3.3500836,-2.2133842
treasury,9.6889515,-0.93232596,-0.9457971
remains,6.1702275,-4.5255637,0.40081373
strong,7.2353935,-3.6318786,0.76576924
support,5.8668056,-3.9837618,1.2548244
annual,3.1768527,-4.837666,-1.7401704
percent,4.789836,-4.663261,-1.3849725
spending,5.7347393,-4.5822372,0.46863505
trend,5.963484,-4.7442975,0.1908698
nominal,8.55205,-2.7726934,-0.13489763
food,4.550893,-5.0028067,0.11798908
stocks,9.843447,-0.9482946,0.054272354
industrial,3.4637547,-5.1196675,-0.14904778
trade,3.446474,-4.8183975,-0.17207251
range,6.3070784,-3.2784383,-1.9813783
public,9.1817665,-0.64315027,0.73483235
october,7.8773637,-0.6613745,-2.5125492
pre,5.9787474,-4.7711043,0.6846703
aug,2.5311375,-5.6545305,-0.3448017
volatility,9.506511,-0.87929696,0.077555485
consumption,3.8875875,-5.041788,-0.30725622
january,7.815365,-0.9094645,0.6403374
cash,9.643032,-1.1451131,0.18684512
pressure,6.3213563,-4.540572,0.43554053
including,7.34048,-3.2955997,1.2076248
insights,8.788653,-2.1299193,-0.29608127
commodities,9.41209,-1.0784556,0.67084664
median,9.09647,-1.1527525,-1.5470504
headline,4.6505246,-4.981504,-0.97034204
bps,6.3800855,-3.2585318,-2.3588085
spreads,9.81286,-0.9024649,-0.62851
start,7.6828055,-2.0343735,-1.0020835
recovery,6.602983,-3.392752,1.4463456
manufacturing,3.236618,-5.1269875,-0.216044
period,7.4349504,-1.1352758,-1.4310477
consensus,3.1100194,-4.408662,-1.7280765
fiscal,6.9254484,-4.0009174,-0.88693106
unemployment,5.354259,-4.415518,-1.2683579
ratio,9.0855465,-0.8313382,-1.4128484
yr,9.161792,-1.3663423,-1.7124124
major,7.1842327,-3.553302,-0.5943596
feb,2.5383914,-5.646161,-0.34801435
impact,6.59403,-4.3905635,0.32078943
measures,6.3381767,-4.314117,-0.3400425
eu,0.8474686,-4.750565,0.010251112
sales,3.3843968,-5.0513926,-0.38893288
prior,7.606804,-1.4683738,-1.913912
germany,0.99898475,-4.610704,0.5364999
companies,7.643769,-2.8641992,1.2106819
quarter,8.096804,-2.1314251,-0.2686059
week,6.302867,-1.6882064,-2.397481
sectors,8.513929,-0.73046833,1.1936513
short,8.731489,-1.7852461,0.8224493
spread,9.515404,-0.9089592,-1.2782
war,5.187929,-3.8919194,1.7621487
tax,9.181884,-0.03944365,-0.59859735
valuations,9.798602,-1.1683718,0.18062837
exports,3.4235091,-5.0577235,-0.15479285
potential,8.990657,-1.2729323,0.7297619
probability,8.968296,-0.9839354,-0.74981976
household,4.674167,-4.9539294,-0.34351003
costs,5.9774966,-4.3573728,0.8505582
pressures,6.0583806,-4.607507,0.31133795
business,3.9266057,-4.946403,-0.40499038
sources,0.869579,-4.6975965,-0.38369727
increased,6.172964,-2.8041434,-0.018670322
hikes,6.6157994,-3.3602362,-2.108164
estate,9.427804,-1.8487101,0.13992582
premium,9.834904,-1.0640174,-0.37223226
spot,2.2047796,-4.579335,0.35231727
attractive,9.83666,-1.1755115,0.19739099
countries,4.952785,-3.382434,1.4892563
korea,1.9667568,-3.9541018,1.3598887
commodity,5.8233395,-4.1010995,0.9358598
cost,6.5262737,-3.96604,0.9553662
united,2.7973325,-3.486077,1.531662
economist,0.6959808,-4.813335,-0.023216153
sentiment,3.3488364,-4.9611635,-0.24628425
mid,9.21432,-1.7468265,0.359119
fwd,2.1013963,-5.206049,-0.039014086
hiking,6.9338,-3.548392,-1.8557914
natural,4.3818045,-4.521367,1.0246488
geopolitical,5.8602123,-3.3593967,2.148473
adjusted,3.1287782,-4.7728214,-1.5883045
march,6.38962,-3.0138006,-2.2006352
economies,6.679705,-2.9118059,1.866138
uncertainty,6.689554,-3.7100632,1.2463031
gold,9.561,-1.2598753,0.27795777
fall,6.2013392,-4.396193,-0.2435658
annualized,8.9532995,-1.2270874,-1.7964711
budget,3.1703637,-4.222957,-1.1402829
elevated,6.5487323,-4.468756,0.47950792
compared,8.321178,-2.0820556,-0.43203223
households,6.5359645,-3.9834077,0.5365569
driven,7.502813,-3.3539436,0.837815
savings,6.3444614,-4.3321476,0.512999
cap,9.737632,-1.1545486,0.241306
pace,6.934425,-3.6210802,-1.3041474
environment,7.9030757,-1.2686074,0.023571646
france,0.9437289,-4.670917,0.41290027
chartbook,0.67152095,-4.9480004,-0.08550366
weaker,6.2841215,-4.474206,0.39984056
september,6.449436,-3.1188788,-2.2660685
gfc,8.748566,-1.8721377,0.42427915
chart,2.6904497,-4.186488,-0.9122729
disclaimer,0.659134,-4.981251,-0.107259415
factors,7.3038487,-3.3392608,1.0158099
management,8.20375,-0.7365188,-2.4647603
worst,9.642707,-0.73739517,-0.9377196
meeting,5.8377585,-3.078617,-2.3411014
record,6.616067,-3.5878112,-0.33431727
future,8.383128,-0.45581228,-1.8410429
result,6.4863386,-4.0833416,0.9927642
russian,4.65121,-4.086535,1.3611445
canada,0.7959052,-4.638777,0.06078238
job,5.3246765,-3.867525,-0.4042843
msci,9.506526,-0.17562434,-0.6522622
employment,4.0820208,-4.8274183,-0.25161856
chinese,4.8407865,-2.8019278,1.8635627
currency,9.40599,-0.88052094,0.4339196
municipal,9.931876,-1.0079526,-0.53095883
survey,3.2801242,-4.4258394,-1.0854256
grade,9.828242,-0.93243575,-0.8503389
crisis,6.686052,-3.382852,1.4908303
developed,9.346058,-1.0261366,0.5414316
terms,8.902285,-0.7101963,-0.47071674
pmi,2.8711035,-5.230415,-0.317003
infrastructure,9.103213,-0.843865,0.8352499
additional,6.5158086,-2.38619,-1.9511416
set,6.356585,-4.233562,-0.119214736
output,3.3853452,-5.106365,-0.16407003
country,5.857483,-0.8111176,-1.0298072
inflationary,6.3896456,-4.321606,0.29857668
late,6.894128,-3.688883,-0.5000895
left,8.189056,-0.53668207,-1.2407655
downside,6.8523583,-2.154585,1.8378005
portfolios,9.698789,-1.1026273,0.103910275
recessions,8.367466,-0.8890118,-1.8341128
percentage,8.073507,-2.111658,-0.49333262
effects,6.1205235,-4.521844,0.2853652
reopening,5.19912,-3.8678834,1.399771
italy,0.9314081,-4.6893954,0.38163215
share,8.020664,0.38593176,-1.0371345
april,3.9597092,-4.292854,-0.43525514
brazil,1.468775,-4.244146,0.98761535
focus,7.4311976,-2.9975479,1.1828427
slow,6.2131286,-4.5831504,0.23298673
confidence,3.8063757,-4.9823837,-0.11258873
international,2.1313314,-3.2457733,-1.8048065
refinitiv,2.0800488,-4.9877725,0.028016036
trough,8.660889,-1.3691714,-1.3720154
curve,9.520129,-0.8159483,-1.0571555
stay,8.729432,-2.020794,0.626439
continued,6.2195396,-3.9915812,0.62478924
moderate,9.298206,-1.6462991,0.28576773
middle,6.5735984,-2.870838,1.9271971
stronger,8.027657,-1.4357722,0.7644774
indicator,3.1682763,-4.3318853,-1.3001157
stock,9.159434,-0.7773782,0.16018786
bear,8.515345,-0.69665843,-2.0565732
tactical,9.57673,-1.0657116,-0.040320404
backdrop,7.4469333,-3.165981,0.92044973
history,9.441659,-0.9906725,-0.036049597
india,1.2479572,-4.4165397,0.8345097
cuts,6.8204646,-3.697223,-1.2963899
post,7.5251036,-3.3366346,0.7404616
tech,8.912154,-0.06310376,0.27294153
digit,9.602091,-1.4571837,0.28729713
falling,5.9420314,-4.6158376,0.15329368
headwinds,6.9039426,-3.4937062,1.424092
weakness,6.542583,-3.9065316,0.76274097
excess,7.559734,-3.3044915,0.639928
bureau,7.9681263,-0.7665747,-2.6644967
isg,8.442328,-0.6539053,-2.136958
local,9.711202,-0.9911528,0.07979375
retail,3.3189967,-5.131644,-0.26491448
provide,9.567486,-1.046186,0.05880996
region,6.011779,-3.3782396,1.472543
single,9.367008,-1.6440581,0.34940434
times,2.9432292,-3.919728,-1.0871798
upside,7.6653323,-1.0250725,1.47653
sheet,6.0087676,-3.3900256,-1.7553585
currencies,9.055429,-0.9706437,0.71472466
monthly,4.00719,-4.5340104,-1.0020498
estimate,7.449874,-1.5577732,-1.3695956
spain,0.9375398,-4.6698484,0.40361837
america,3.5945892,-3.2064502,2.006932
leading,3.6474433,-3.9954133,-1.1491323
strategic,9.412261,-1.1123273,-0.5467157
periods,8.645777,-0.7281733,-1.6887691
foreign,7.082605,0.862653,-0.73390174
deficit,3.3958912,-4.4286394,-0.33468276
estimated,4.9967017,-2.2171109,-3.0321958
model,9.118677,-0.7511554,-0.39944553
treasuries,9.695923,-0.7571958,-0.49517897
national,2.5276062,-4.254599,-0.60718364
decade,9.403655,-1.1212407,0.3146612
loans,8.877273,0.4701685,-0.81797844
avg,3.0103009,-4.811852,-1.5297068
lead,6.8612742,-2.641686,1.1309308
workers,4.3676147,-3.3203287,0.60055596
imports,3.3283732,-5.0735106,-0.12686789
invested,9.658036,-1.166007,0.16596621
disposable,4.6815243,-4.96941,-0.5329976
eps,8.113119,-0.67899734,-2.2192814
inventories,3.446065,-4.7688804,-0.3417884
pce,4.976508,-4.849545,-1.0208392
lending,7.000711,-2.5004094,-0.28144497
day,2.9897141,-2.9001708,-0.9187159
duration,9.636253,-1.1767031,0.19349365
south,1.6563195,-4.113281,1.1159503
wages,5.961673,-4.3549385,-0.091515176
boe,6.3250947,-3.1775963,-2.122676
summer,5.2157483,-4.066281,0.5691842
close,4.536123,-3.1492891,0.115867496
estimates,7.7298164,-0.9292275,-2.0916665
peaked,6.1551037,-4.338818,-0.7506132
mkt,2.0615299,-5.19526,-0.045125067
issuance,9.466079,-0.5109748,-1.1050376
account,4.982493,-3.3370647,-0.33115628
tighter,7.065265,-3.7107399,-1.2233887
slowdown,6.28707,-4.3427677,0.5424905
