,x,y,z
inflation,4.2576275,-0.9282848,-1.5285599
growth,4.131019,-1.0272162,-1.7782435
exhibit,3.783087,-1.859824,0.3932011
rate,4.719694,-1.2094477,-0.99640536
global,3.8722196,-1.516345,1.1972039
market,3.4599164,-2.141847,-0.36753803
investment,3.8630097,-1.7199143,0.8925985
gdp,4.285398,-0.36498642,-1.3359522
recession,3.4427621,-1.8659077,-0.35436076
prices,4.1002936,-0.48171735,-1.8275062
rates,4.367212,-1.2690213,-1.3398409
markets,3.537759,-2.5291348,-0.05590296
china,3.6020908,0.2706342,-2.3205302
real,3.9241843,-1.9846776,-0.8302867
policy,4.6788526,-1.3303396,-1.3336582
jan,2.1955502,4.6337914,0.096497014
expect,4.2105117,-1.0889174,-1.4476913
energy,4.089528,-0.4598519,-1.8549515
jun,2.196396,4.627662,0.09550215
strategy,3.8834293,-1.6776488,0.98274267
economic,4.217714,-0.9545835,0.13657138
yield,4.002792,-2.1550322,0.3205843
returns,3.9879782,-2.236277,-0.06244167
risk,3.5992744,-2.500659,-0.007764767
bloomberg,3.8940196,-1.6069784,1.1119485
equity,3.7985373,-2.574967,0.22261292
asset,3.846392,-1.6012931,1.1995821
average,4.036721,-1.7127665,0.058505103
december,3.875465,-1.6844486,0.9377925
return,4.1430163,-1.734096,-0.03305814
fed,4.704232,-1.2035465,-1.0185889
forecasts,4.2179294,-0.8759292,0.27311856
dec,2.1949673,4.631145,0.09590447
term,3.5673697,-2.3829284,-0.21220988
economy,4.1323533,-1.1428105,-1.7354256
time,3.3596659,-1.832184,-0.5074866
forecast,4.2147317,-0.55553246,-1.2755194
total,4.166295,-1.6659217,-0.05094599
usd,4.4679694,1.311621,-1.3516772
price,3.8311775,-1.6053987,-0.7287214
unicredit,3.7444701,-0.6052828,2.1085925
central,4.6132574,-1.3551433,-1.4075965
financial,4.1912704,-1.3460013,-1.3801179
eur,4.4697065,1.3103607,-1.3512493
current,4.2848787,1.0454876,-1.2645667
income,3.8230355,-2.2360222,-0.5065418
jul,2.194909,4.630226,0.097316675
equities,3.8003008,-2.594322,0.20128508
june,3.6462188,-0.22156453,2.2018406
investors,3.7306244,-2.6030767,0.18209583
bonds,3.8581328,-2.4186592,0.33650053
tightening,4.6762123,-1.3262231,-1.328662
supply,3.6350954,-0.6336616,-2.0439467
services,4.203456,-0.23335351,-1.6460446
credit,3.8435214,-2.4067621,0.31119663
november,3.892918,-1.5882617,1.1435924
cpi,4.575498,-0.21191786,-1.5049257
expected,4.1444526,-1.0010768,-1.4114935
earnings,3.7619064,-1.8762459,-0.5353986
remain,4.2037745,-1.1291378,-1.9024127
consumer,3.910326,-1.6611054,-1.1937978
july,4.374796,-0.8480475,-0.8695119
macro,3.804722,-1.026213,1.736948
months,3.5364375,-1.8039808,-0.2654923
core,4.571719,-0.30733743,-1.5189903
apr,2.1950157,4.6324105,0.09717938
labor,3.8990676,-0.8961359,-1.7352144
europe,3.503291,0.2119591,-2.1097496
levels,3.882773,-1.3548634,-1.4841921
risks,3.440781,-0.8405448,-1.9848542
covid,3.6631567,-0.67594993,-1.9492906
yoy,4.5381374,-0.057076074,-1.4624876
demand,3.9220648,-1.0404487,-1.8024453
change,4.2317467,-0.94032204,0.18945031
note,3.878729,-1.70224,0.93063945
cycle,4.5932083,-1.3029305,-1.3153557
federal,4.7270603,-1.219864,-1.0283481
peak,4.179827,-1.0651207,-1.4138058
bond,3.9783509,-2.2749586,0.3639129
oil,3.975655,-0.2576715,-1.9822553
analytics,3.8988948,-1.5673405,1.2060822
economics,3.7691965,-0.7638133,1.9745929
sector,3.4732783,-0.9726966,-1.3618859
pandemic,3.965132,-1.2803849,-1.6752782
banks,4.6059995,-1.3564056,-1.4103632
level,3.9164805,-1.2485859,-1.4542986
month,3.998167,-1.6965472,-0.0033711367
russia,3.628539,0.17520988,-2.314542
decline,3.7960625,-1.7888151,-0.5800764
bp,4.7253523,-1.2023125,-1.0089861
haver,3.8971705,-1.5705711,1.2023765
corporate,3.9668863,-2.3013616,0.36314324
allocation,3.8483362,-1.5741696,1.2246736
debt,3.7289758,-2.5527513,0.10187645
based,3.8742335,-1.7273467,0.8938866
balance,4.133365,-0.83370376,-1.1685771
government,2.9279459,-1.9948438,-0.43478125
continue,3.5140557,-1.5619835,-1.5061593
production,4.431617,0.2573629,-1.4276861
oct,2.1947997,4.630396,0.0954576
ing,3.2305076,3.9174955,0.53558093
reserve,4.726957,-1.2184794,-1.0284232
nov,2.1945846,4.629242,0.097951405
conditions,4.2022595,-1.3456107,-1.3607299
portfolio,3.8193417,-2.540025,0.1663318
expectations,4.2410665,-0.94634604,-1.5169566
capital,3.6524172,-1.9195111,0.46235725
key,3.3652985,-1.1987352,-1.6286623
increase,4.138879,-1.2353659,-1.4320452
eurozone,3.9805386,-0.06411853,-1.1364539
dollar,3.5940607,-2.542708,0.027990084
performance,3.8579829,-1.7853537,0.7791129
mar,2.1948595,4.628754,0.09697475
em,3.7393277,-2.3981183,0.24033205
relative,3.6593783,-2.5054617,0.02488725
funds,4.707738,-1.2231264,-0.97562176
gas,3.9890811,-0.27391604,-1.9767786
negative,3.9169796,-2.1259263,-0.29252544
emerging,3.5389748,-2.5375817,-0.0560942
analysis,3.848697,-1.4958223,1.2827873
wage,4.1235533,-1.0513226,-1.7919282
japan,3.6394832,0.34035113,-2.400307
assets,3.7326806,-2.4883409,-0.018070644
target,4.393685,-1.0383848,-1.1483753
sep,2.195083,4.6331105,0.09738796
euro,4.064152,0.29621768,-1.2790078
monetary,4.673499,-1.3308378,-1.3416187
housing,4.10636,-0.8851355,-1.7335751
basis,3.9431894,-1.8615024,0.106425785
european,3.4972386,-0.2790211,-0.14637871
positive,3.971431,-2.2581859,-0.12795492
asia,3.5142405,0.15063435,-2.2120001
ukraine,3.677853,-0.3133505,-2.1267953
yields,3.9764805,-2.2565298,0.34753525
base,3.5873647,-1.6308405,-0.063976154
ecb,4.6561136,-1.169976,-1.0147517
view,3.5853553,-2.4911745,-0.038011335
rise,4.088375,-1.0366789,-1.593626
fixed,3.7825675,-2.3026137,-0.395972
rising,4.182441,-1.1121916,-1.8809733
activity,4.0964365,-1.0783145,-1.8094312
simple,3.7802603,-1.9253374,0.35419944
hike,4.690847,-1.1926714,-1.024979
treasury,3.989605,-2.1724482,0.32149404
remains,3.995728,-1.0521116,-1.7768915
strong,3.5529883,-1.7878988,-1.1570872
support,3.7899342,-0.94559485,-1.8170683
annual,4.3155384,-0.8326792,-0.42524993
