,x,y,z
inflation,13.277896,-12.18655,-1.574156
growth,12.7828455,-11.80823,-3.3414412
exhibit,19.84772,-6.2947173,4.7927537
rate,16.722315,-12.334178,1.7074907
global,19.147184,-4.6539555,6.887822
market,19.550901,-6.672188,2.913829
investment,19.402681,-3.4254582,6.7286105
gdp,6.9765024,-10.232604,-1.6508992
recession,18.306124,-7.394272,1.1517684
prices,9.647716,-9.789801,-4.316538
rates,16.2485,-12.0676565,-0.23859675
markets,20.89147,-6.034048,2.7912772
china,7.1901255,-6.1577506,4.485688
real,22.264652,-7.481967,0.7205066
policy,17.181911,-12.115493,0.17749444
jan,3.8873913,-9.628147,-3.2048497
expect,14.090777,-11.945257,-1.3705926
energy,9.666235,-9.691343,-4.3999715
jun,4.138297,-9.764714,-3.160089
strategy,19.29847,-3.5790174,6.966619
economic,14.769562,-4.4488645,6.668397
yield,22.258083,-1.791115,4.17448
returns,23.341305,-4.6244597,2.0541096
risk,21.438618,-4.870624,0.7987028
bloomberg,19.18174,-3.672941,7.0998325
equity,22.816683,-4.2149277,3.380507
asset,20.010902,-4.997027,6.1731753
average,20.965696,-0.63430804,4.9083004
december,19.237078,-3.2049816,6.7114687
return,21.263277,-1.2031435,5.888824
fed,16.806887,-12.332192,1.483146
forecasts,2.0491052,-7.3782635,-3.0703602
dec,4.04129,-9.768267,-3.1206977
term,21.277088,-5.0052433,0.01467686
economy,13.464212,-11.0644,-4.021639
time,18.109472,-6.7833676,0.9955885
forecast,7.218846,-10.33031,-1.149654
total,21.221836,-1.1418084,5.920652
usd,3.3924046,-6.900586,-4.2708554
price,10.762251,-10.45751,-1.1958886
unicredit,4.4460096,-7.58996,4.974008
central,17.551218,-11.79593,-0.36733803
financial,16.517313,-11.89588,-1.9551462
eur,3.3995461,-6.907946,-4.2799687
current,4.798455,-6.19665,-4.4396234
income,22.493633,-7.1625853,0.8920091
jul,3.9479501,-9.678281,-3.179615
equities,22.878366,-4.5430045,3.34521
june,4.444704,-6.943874,4.3811584
investors,22.165966,-5.181893,3.2451417
bonds,22.734589,-3.0930336,3.5418613
tightening,17.114826,-12.194198,0.2479453
supply,12.76194,-8.583225,-5.576944
services,8.820619,-10.108578,-3.4480352
credit,22.21145,-2.4106154,3.6327252
november,19.17754,-3.9527829,7.1366773
cpi,7.417768,-11.229068,-1.8615074
expected,13.023463,-11.433355,-0.97349834
earnings,20.692184,-7.0056047,0.5884015
remain,14.657187,-11.242901,-3.4511585
consumer,10.221119,-11.206212,-2.5500183
july,16.030937,-11.739681,2.66773
macro,4.2443295,-8.014495,5.0073333
months,19.349026,-7.788396,1.0097706
core,7.656497,-11.347225,-1.7553455
apr,3.9620347,-9.705158,-3.1758265
labor,12.858412,-11.551055,-4.1721225
europe,7.734821,-5.9738107,4.1633987
levels,11.481902,-11.695484,-2.8444533
risks,14.765829,-7.7777057,-5.5941925
covid,12.547455,-9.168018,-4.834936
yoy,6.9985948,-10.965055,-2.006474
demand,13.060252,-10.790972,-4.138811
change,14.842341,-4.35369,6.757993
note,19.561327,-3.1219704,6.468184
cycle,16.684263,-12.482758,0.14204423
federal,17.119822,-12.43146,1.3785976
peak,13.50983,-11.937423,-0.83381927
bond,22.493258,-2.166032,3.9931808
oil,9.727885,-9.178386,-4.7148695
analytics,19.264917,-4.229404,7.2079406
economics,4.3740444,-7.6992283,4.9491806
sector,11.461872,-10.141669,-4.529075
pandemic,11.616743,-11.724641,-3.2179952
banks,17.551985,-11.774505,-0.42558098
level,13.526118,-10.778445,-0.8104883
month,20.734215,-0.5619088,4.982559
russia,6.850761,-6.311409,4.7177577
decline,20.700489,-7.1907835,0.5244129
bp,16.70819,-12.349038,1.7246008
haver,19.203909,-4.1440597,7.243807
corporate,22.531664,-2.1192122,3.8571103
allocation,19.959854,-4.984254,6.225218
debt,22.532406,-3.805958,2.0992534
based,19.914366,-3.0640087,5.9392824
balance,14.035336,-11.429798,1.4516022
government,16.953663,-4.701912,-1.8341451
continue,15.288275,-9.637604,-4.0918827
production,6.515204,-9.45622,-3.4574165
oct,3.9533057,-9.694891,-3.1687243
ing,2.6069016,-7.3550134,-3.297659
reserve,17.106096,-12.412678,1.3610713
nov,3.984639,-9.704132,-3.1635222
conditions,16.52717,-11.960458,-1.9564548
portfolio,22.822388,-4.3828917,3.4788604
expectations,13.332338,-12.139374,-1.5769411
capital,19.328468,-4.201858,4.814331
key,16.450829,-7.787777,-4.2290645
increase,14.889489,-11.206238,-1.0834663
eurozone,8.849299,-9.257065,0.15038726
dollar,21.754213,-4.397765,1.8950279
performance,20.325752,-3.1487098,5.5166407
mar,3.9686332,-9.706374,-3.1713257
em,21.629765,-2.3002465,2.2567108
relative,22.168346,-3.895724,1.919419
funds,16.914034,-12.430105,1.7886255
gas,9.697188,-9.271812,-4.6814113
negative,22.65203,-5.3363833,0.97235453
emerging,20.921549,-6.1305866,2.6004605
analysis,19.633951,-4.7838826,6.557594
wage,13.076029,-11.834351,-2.880342
japan,6.694236,-6.3171086,4.5552516
assets,22.600664,-4.708869,2.687429
target,15.448474,-12.331782,1.328446
sep,3.9714475,-9.702728,-3.1710715
euro,6.782996,-8.116081,-3.792798
monetary,17.22443,-12.103969,0.044970065
housing,13.137847,-11.566465,-2.8588407
basis,21.063986,-1.1688138,4.7180405
european,6.587751,-5.7101398,1.9229728
positive,22.806526,-4.922691,1.4646171
asia,8.073664,-5.8004255,4.3197923
ukraine,12.361636,-8.432664,-5.6570325
yields,22.386902,-2.0529444,3.947146
base,17.687084,-4.793913,5.211356
ecb,16.640198,-12.208895,1.5409985
view,21.122614,-5.6767178,2.5847836
rise,13.280708,-11.532106,-1.759352
fixed,22.548267,-6.9772544,1.0040686
rising,14.47129,-11.134252,-3.3972213
activity,12.811344,-10.91916,-4.0073366
simple,19.961632,-6.4235644,4.6852
hike,16.749348,-12.286773,1.481839
treasury,22.130463,-1.785986,4.1692514
remains,13.2335415,-11.110203,-3.6449795
