,x,y,z
inflation,3.2839682,-0.49040416,-0.08178706
growth,3.2813158,-0.5524118,-0.07829332
exhibit,3.1954272,-0.94603634,-0.03495439
rate,3.2716103,-0.6216481,-0.072453976
global,3.1108565,-0.735819,-0.035603452
market,3.207491,-0.87187684,-0.045967113
investment,3.1516783,-0.87783265,-0.029987693
gdp,3.1792743,-0.26942417,-0.083973736
recession,3.1780264,-0.8482495,-0.04654342
prices,3.2326906,-0.3688774,-0.08581068
rates,3.296614,-0.6955424,-0.07013128
markets,3.2381423,-1.0757644,-0.02900708
china,2.9749608,0.050595235,-0.07470016
real,3.2250235,-0.689922,-0.05932273
policy,3.302994,-0.6451695,-0.07480413
jan,3.1100261,0.23983765,-0.10510975
expect,3.303884,-0.61336344,-0.076436
energy,3.209926,-0.33334222,-0.08632025
jun,3.1348534,0.18750742,-0.10393416
strategy,3.1499279,-0.8407892,-0.03145858
economic,3.125348,-0.5375035,-0.06413739
yield,3.2478633,-1.1122887,-0.02385051
returns,3.2643678,-1.1265619,-0.02480705
risk,3.2372713,-1.0726655,-0.030348526
bloomberg,3.14308,-0.8062746,-0.032741625
equity,3.2763648,-1.1732924,-0.021996513
asset,3.1986344,-0.9501131,-0.027865844
average,3.185523,-0.8203383,-0.041915502
december,3.1399858,-0.8483621,-0.031581495
return,3.2201455,-1.0202743,-0.02869195
fed,3.2814133,-0.628995,-0.073123865
forecasts,3.0064745,-0.124470845,-0.07458167
dec,3.1348288,0.1457877,-0.10122466
term,3.2099442,-1.0137343,-0.034217536
economy,3.3012328,-0.5937002,-0.07826094
time,3.1439228,-0.8536714,-0.044451445
forecast,3.1607625,-0.30501518,-0.08019705
total,3.197486,-0.95235366,-0.032077894
usd,2.948725,0.3256518,-0.100846946
price,3.2046015,-0.5608223,-0.06950117
unicredit,2.980132,0.27473378,-0.074144065
central,3.2945921,-0.66972476,-0.07245692
financial,3.2547243,-0.6694145,-0.068045236
eur,2.9530754,0.3228974,-0.10100266
current,2.9416027,0.06065216,-0.08581413
income,3.2250845,-0.8286289,-0.04786867
jul,3.1169133,0.22429901,-0.10469037
equities,3.2811537,-1.1829169,-0.021682383
june,2.9474764,0.2874999,-0.07372171
investors,3.2675622,-1.1553862,-0.023578497
bonds,3.271686,-1.1738108,-0.021231953
tightening,3.3078258,-0.65165627,-0.074598275
supply,3.1997867,-0.43224198,-0.07987507
services,3.2208197,-0.295038,-0.08835911
credit,3.2484567,-1.1330005,-0.022910262
november,3.1410155,-0.7849934,-0.033573095
cpi,3.2056172,-0.2065458,-0.08971909
expected,3.2606323,-0.5709587,-0.074957035
earnings,3.233769,-0.93738085,-0.04196754
remain,3.3161714,-0.6294619,-0.076579906
consumer,3.2450473,-0.42127693,-0.08239359
