,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
rates,0.25093877,0.18895565,0.27939412,-0.18972409,0.14685558,-0.47668937,-0.07889174,0.45085287,-0.0024869037,-0.16645515,0.2580203,0.004970889,-0.21714413,-0.09936559,-0.045426134,0.06556883,0.118677735,-0.30990353,-0.34495062,-0.2924616,0.09851028,0.05068998,0.2893612,-0.04887668,-0.11408369,-0.050642163,-0.031570338,0.004068154,-0.11280677,0.04500386,-0.061158456,-0.2516215,0.31966314,-0.271181,-0.001435374,-0.051365517,0.061233465,0.12290304,-0.35772088,-0.12009225,0.21385492,-0.14009435,0.0618752,-0.08214359,0.02022879,-0.37985176,-0.21210249,-0.09178397,0.0976426,0.24545364,0.18638815,-0.16733168,-0.17033303,0.044916786,-0.25477532,-0.07982222,0.25700015,-0.066893615,-0.07210413,0.30465332,0.0075405124,-0.18329346,-0.048799355,-0.05215529,-0.32841158,0.3738338,-0.02091872,-0.028704904,-0.18179569,-0.12945344,-0.12940927,-0.004506519,0.02122952,0.026221162,0.07373988,0.06515858,0.1391474,0.13991585,-0.45172986,0.32147568,-0.11044961,0.30457714,0.13602851,0.12663975,-0.28747347,0.23437452,-0.1116499,0.49155316,0.16439722,-0.06683403,0.38747662,0.20406483,0.051626176,0.03322831,0.42093143,0.09974629,-0.1406941,-0.047873754,-0.17720775,-0.115573056
markets,0.153054,0.12961291,0.15111035,-0.33616355,0.008225188,-0.048626177,0.02701745,0.15501331,0.016505186,-0.1954598,0.059088517,-0.13775663,0.042788483,-0.1523168,-0.16107105,-0.08941408,-0.042447034,0.006984716,-0.24508259,-0.38847834,0.17786579,0.05824206,0.29018193,-0.19501497,-0.2180112,-0.13966697,-0.028581657,-0.20897692,-0.14523362,-0.11165942,0.016001755,0.12910677,-0.08630012,0.03621773,-0.057330865,0.15861312,0.0075511253,-0.16608344,-0.22565533,-0.28345793,0.3056971,-0.09157646,-0.04072248,-0.06316673,0.029825892,-0.3634339,-0.17250897,0.051573467,-0.077874355,0.15165226,0.18676956,-0.16419803,0.11574888,-0.08838965,-0.37818027,-0.1794381,0.11604193,-0.025184585,-0.18642436,-0.06359858,0.08157035,-0.1638608,0.12383187,-0.28297657,-0.041004613,0.39700603,0.020573556,-0.08198335,-0.54326123,0.01109003,-0.36641774,0.12029501,0.12978032,0.07127648,-0.06461796,0.11271771,0.0707544,0.100691006,-0.325919,0.45732108,-0.0022917637,0.11152265,-0.20669986,0.27856025,-0.28503412,0.034639817,0.07970208,0.13799612,0.08094697,0.1863529,0.3851112,0.23920006,-0.10228957,-0.034276675,0.45660904,0.025001569,-0.07086288,-0.25245765,0.012902184,0.07288642
china,-0.23858245,0.050130483,0.16470048,-0.37303916,0.40624654,0.2091638,0.2003628,0.31125152,-0.15006731,-0.11068473,-0.1856936,-0.41508594,-0.20820111,-0.10784788,0.1088423,-0.051354464,-0.07124128,0.102147214,0.15343517,-0.0889825,0.35372466,0.17368683,0.33345717,-0.17157893,-0.18121156,-0.19286041,-0.13491483,-0.04938237,-0.33960232,0.19162337,0.19400908,0.10028511,-0.3307733,-0.06551443,-0.0040446403,0.14772396,-0.2946716,-0.12092464,0.1688462,-0.46057782,0.14824162,-0.25950202,-0.029106231,0.11464998,-0.019685697,-0.451231,-0.28997377,0.17640172,0.012683624,0.20854366,0.13788344,-0.017502503,0.04141074,-0.3444309,-0.13757749,0.061433364,0.13263318,-0.03009082,-0.2469625,-0.14943074,-0.37086695,0.22794126,0.090980515,-0.30765575,-0.058122333,0.4499969,0.083292946,0.17307782,-0.34669632,-0.05367369,0.19577251,0.14222245,0.34709716,-0.02853648,0.33013338,0.19212183,0.012684412,-0.208964,-0.19800462,0.048549138,0.0043202634,-0.04818621,-0.23360233,0.3129783,0.16034597,-0.05455076,0.070063815,0.10447556,0.013377487,0.27271035,0.45811114,0.0023771354,0.1311506,0.023437157,0.17214972,0.14270434,0.51039296,-0.308556,0.34434623,-0.026681053
real,0.3929182,0.12244581,-0.20588434,0.046214145,0.12729119,-0.025919259,0.051781125,0.3916785,-0.31956416,0.003436711,-0.27005517,0.22044404,-0.26689076,0.039266296,0.08595404,0.20939955,0.28080836,-0.11509368,-0.34125477,-0.27368093,0.07424557,0.11360278,0.2871829,-0.07552808,0.020959768,-0.010193875,-0.17398651,-0.15899645,-0.33820978,0.20535906,0.26477632,-0.21791126,0.50674623,-0.23883688,0.041641925,0.16928774,-0.31191263,0.06149464,-0.09406419,-0.38561246,0.36517787,-0.0017107329,0.24509089,0.24390462,0.030309036,-0.043710433,-0.27954105,-0.20396094,0.338188,0.054121245,0.34329987,-0.31865773,-0.2444796,0.070928715,-0.10872199,0.18962692,0.15775351,0.14314961,-0.060972296,0.14763711,0.16043843,0.04956232,0.067487225,0.041922625,-0.14368612,0.527662,-0.024294928,0.12181629,-0.26629484,0.14925861,-0.13296922,0.14231208,-0.15051313,0.05625497,0.28863248,0.08045317,0.14324932,0.13717225,-0.3825746,-0.05770481,-0.35388482,-0.081652865,-0.04270746,0.31995332,-0.22903864,0.09756439,0.22548434,0.4965312,0.23302484,-0.3256516,0.28152022,0.2270578,-0.16734158,-0.020636018,0.027118383,-0.16765966,0.084098406,-0.13472833,-0.223098,-0.069646075
policy,0.13313906,0.22729695,0.40810025,-0.31823838,0.4244885,-0.6775987,-0.0799566,0.41396135,0.20153402,-0.1483717,0.35328326,-0.24485017,-0.32910803,-0.101598606,0.029270796,0.0452154,0.06748459,-0.10917106,-0.10199112,-0.24820633,0.20754227,0.002352654,0.44467458,-0.0051032687,-0.03011628,-0.17990322,0.09840322,0.093301386,-0.097879365,0.13739409,-0.09983929,-0.18868321,0.11057734,-0.19426697,-0.034245335,0.06734714,0.14628874,0.111529805,-0.07503819,-0.16603032,0.30818468,-0.39038986,0.0067470097,-0.071965866,0.06976425,-0.41100782,-0.3578616,0.0041016527,0.018614316,0.23952274,0.04147102,0.15929675,0.096018404,-0.21196002,-0.3646761,0.00988431,0.23034894,-0.16081542,-0.14407773,0.24926957,-0.28398272,-0.10958362,-0.08933865,-0.112306386,-0.1779821,0.5047681,0.17338859,0.07941833,-0.083614945,-0.10824526,0.050393086,-0.2769353,0.24488948,0.017824842,0.2406776,0.28533638,0.16846958,0.16750245,-0.29511613,0.29091617,-0.15916187,0.31054676,0.04144054,-0.026956692,-0.23529181,0.20886192,-0.12787925,0.21741448,0.050785564,0.024693334,0.5458553,-0.0026123964,0.2826323,0.03613837,0.5223665,0.048571046,0.19283552,-0.08107148,-0.15290444,-0.11020413
jan,-0.2340817,0.4000773,-0.017879365,0.30083543,0.13569468,-0.59969693,-0.14534087,1.0288534,-0.6657298,0.47810033,-0.3379591,-0.69560975,-0.25828543,0.33299667,0.20008391,-0.39247614,-0.20148659,-0.23356764,-0.13657048,-0.398038,-0.022977678,0.58476573,0.03970946,-0.20664676,-0.41911507,-0.003807948,-0.37019902,0.21207432,-0.45902082,-0.24957281,0.47960067,-0.33850068,0.31726483,0.23603788,-0.3522312,0.6363125,0.13062441,-0.4354667,-0.29692325,-0.65619624,0.15994999,-0.105352916,-0.4020411,0.29858762,0.43647796,0.14686857,-0.35312736,-0.53739625,0.15871449,0.017494757,-0.23184986,-0.24114496,0.3441786,0.44140837,0.2610843,0.21995029,0.5415481,0.15369184,-0.06804481,0.44138893,-0.2048847,0.13020341,-0.35564157,-0.2625809,0.03132382,0.43452707,-0.22501631,0.69914645,-0.16939276,0.46553698,-0.4623009,0.067429364,0.55471545,-0.29737177,0.55993485,0.4478366,0.111089386,-0.3279134,-0.31067714,-0.4890575,-0.5843808,0.2314496,-0.54327154,0.27925625,-0.33793223,0.09366213,-0.17757387,0.08405723,0.52619636,0.27053744,0.23965907,0.06879141,-0.15095922,0.012957869,0.11446671,0.5204688,0.5845611,0.36527905,0.46007842,-0.04494575
expect,0.11968915,0.12698177,0.2435324,-0.1279107,0.25145215,-0.35663852,-0.011966762,0.3133824,-0.043985948,-0.24654861,0.14673586,-0.06706031,-0.33395398,-0.16638106,0.089449316,0.13437663,-0.05812881,-0.21418738,-0.21494938,-0.2179015,0.24963574,0.07361255,0.1751885,-0.08737956,-0.10261721,0.057106398,-0.014849276,-0.020540258,-0.25655365,0.034491766,0.0067702862,-0.3236487,0.050187595,-0.2697048,0.02709397,-0.023855656,-0.0067450963,0.106477536,-0.1799428,-0.28603244,0.1293822,-0.1823121,0.05558564,-0.072765626,0.030762814,-0.3118084,-0.25896454,0.020661227,0.12374323,0.23959194,0.13708925,-0.17680113,-0.11867016,-0.08683455,-0.20398533,-0.10933296,0.0711734,-0.023562107,-0.16480991,0.17799224,-0.05370955,0.03113828,0.012870317,-0.19476457,-0.20266137,0.3786091,-0.016716434,0.094965346,-0.09384889,-0.23320284,-0.15375726,0.06107912,0.016888037,-0.026398359,0.19335197,0.052849747,-0.03972356,0.073667556,-0.46131358,0.21586303,-0.16120659,0.2102578,0.11377397,0.106346756,-0.053559814,0.033754922,-0.11507717,0.33695936,0.08545572,-0.13907154,0.24896154,0.2156258,0.098758265,0.13529749,0.5010627,0.10519767,-0.085699596,-0.24097985,-0.16999169,-0.105899855
energy,-0.04288453,-0.10856995,-0.069014564,0.04153152,0.18422556,0.062486272,0.1043028,0.30228472,-0.45218375,-0.31453198,-0.2162472,-0.24342656,-0.26273492,-0.02387048,0.17596585,0.04808825,-0.066830285,-0.15199181,0.105799295,-0.15449192,0.5455234,0.111732155,-0.1198594,-0.16061987,-0.07052803,-0.21793704,-0.26533648,-0.026766468,-0.27383086,0.17650704,0.062461473,-0.16230252,0.043781705,0.007961612,-0.023836227,0.43264332,-0.1577791,-0.17563605,-0.13349697,-0.542241,0.22290193,-0.2314502,0.09852299,0.108636,0.09870501,-0.09327536,-0.3260387,-0.04535819,0.1721797,0.044595115,0.2551289,0.09665055,0.15650111,-0.11135252,0.052885666,-0.23772343,0.17196894,-0.115890026,-0.25277504,-0.05895839,-0.07587456,0.26075333,-0.12507209,-0.3754412,-0.19994009,0.2881817,-0.050466128,-0.037197325,-0.14416921,0.0012086569,-0.30665192,0.078321725,-0.14514899,-0.23670653,0.28524452,0.09863462,0.055148497,-0.13349439,-0.12345181,0.0010236555,-0.11474461,0.14746188,-0.008928295,0.42456254,0.16457017,0.1240122,0.14646293,0.3161656,0.18360867,-0.07549416,0.21195172,0.12450832,-0.028659021,-0.0599031,0.38525167,0.08983512,-0.22499144,-0.37831312,0.22344998,-0.25786307
jun,0.34143397,-0.14840831,-0.28144008,0.1544058,0.41816515,-0.84591556,0.28896874,1.2143453,-0.7542601,-0.19253144,-0.2604669,-0.43924853,-0.19944242,0.3537589,0.53005004,0.004232821,0.111151196,-0.29089817,0.087250054,-0.06628042,0.027001785,0.11662123,0.16365972,-0.40845975,0.06405029,0.039863206,-0.28907853,0.025324384,-0.31040156,0.021905825,0.8366017,-0.44303098,0.2501929,-0.19149813,-0.20317475,0.5363758,-0.13252148,0.14010663,0.17310597,-1.2448707,-0.22959156,-0.35926905,0.11621355,0.21876629,0.23188265,-0.044601213,-0.29195306,-0.12556498,0.14196521,0.038208254,-0.3761736,-0.2887627,-0.2907946,0.24208114,0.2931864,0.5690948,0.15473443,-0.01067827,0.018342476,0.32825637,-0.3970952,0.49872753,0.020581344,0.36801845,-0.1873162,0.88609046,0.23712538,0.8383435,-0.1072446,0.41046497,0.30160773,-0.07117408,0.46289977,-0.1955643,0.794899,0.3141588,-0.1487635,-0.082905404,-0.34743145,-0.6771845,-0.45821226,-0.0078893,-0.38692772,0.098885655,0.30033627,-0.11439099,0.14491266,0.65934366,0.2297182,-0.25438583,0.3250398,-0.23171516,0.25664657,0.45516527,0.36660373,0.5259521,0.6262485,-0.15395948,0.45459017,-0.2887353
strategy,0.3787829,0.18114433,-0.16675834,-0.19676737,-0.15189068,-0.044136014,0.5484104,0.3327266,-0.031306315,-0.32115075,-0.0936448,-0.35315028,0.16025302,-0.05110238,0.13101791,0.021922046,0.20314378,0.010801536,-0.138335,-0.5989975,0.2564703,0.23483092,0.3351006,0.01624465,-0.41951716,0.27004546,-0.092584565,-0.2538133,-0.105160445,0.15244213,0.4007999,0.24166335,0.13831718,0.089487135,-0.33738986,0.21701132,-0.2062719,-0.44172212,-0.030350732,-0.7249324,0.09391934,0.033100788,0.040250726,-0.25039575,0.23026125,-0.038521957,-0.0732402,-0.17028075,0.053720288,0.14496249,-0.17262925,-0.15837316,-0.07217861,-0.21425852,0.04439514,0.104171894,0.104039885,0.19797292,-0.034563076,-0.049697466,-0.0700153,-0.26104635,0.00070778315,-0.13038501,-0.12089165,0.5601566,-0.22481419,0.09204424,-0.4468826,0.43982723,-0.02504865,-0.02726731,0.32442683,-0.028588783,0.054914836,0.025110913,0.15724364,0.28356874,-0.4280595,0.11804847,0.00087004306,-0.14438237,-0.4071598,0.45975575,0.053882826,-0.2596849,0.38275746,-0.025991634,-0.045154504,-0.17884241,0.3634357,-0.18751574,0.0816738,0.18252996,0.11936443,-0.07939593,0.2430517,-0.15885235,0.008375657,0.18485786
