ngram,frequency
"('jan', 'jan', 'jan')",103
"('global', 'macro', 'asset')",65
"('macro', 'asset', 'alloc')",65
"('asset', 'alloc', 'analysi')",61
"('decemb', 'invest', 'strategi')",59
"('jun', 'jun', 'jun')",59
"('invest', 'strategi', 'bloomberg')",53
"('june', 'macro', 'econom')",51
"('macro', 'econom', 'chartbook')",51
"('unicredit', 'disclaim', 'june')",47
"('disclaim', 'june', 'macro')",47
"('insight', 'simpl', 'exhibit')",39
"('refinitiv', 'ing', 'forecast')",38
"('apr', 'apr', 'apr')",37
"('invest', 'strategi', 'haver')",34
"('strategi', 'haver', 'analyt')",34
"('jan', 'jul', 'jan')",34
"('haver', 'analyt', 'global')",34
"('ing', 'forecast', 'ing')",34
"('forecast', 'ing', 'forecast')",34
"('ing', 'forecast', 'mkt')",34
"('forecast', 'mkt', 'fwd')",34
"('dec', 'jun', 'dec')",33
"('jun', 'dec', 'jun')",31
"('jul', 'jan', 'jul')",30
"('strateg', 'asset', 'alloc')",26
"('haver', 'analyt', 'exhibit')",26
"('ub', 'asset', 'manag')",24
"('alloc', 'analysi', 'exhibit')",24
"('global', 'econom', 'analyst')",24
