,x,y,z
inflation,3.016141,-0.17325167,-0.024504267
growth,3.049297,-0.18083476,-0.024866004
exhibit,3.142537,-0.20349717,-0.025909245
rate,3.025133,-0.17579697,-0.024609203
global,2.9675956,-0.16470312,-0.024009828
market,3.1301467,-0.20014498,-0.025764814
investment,3.0553508,-0.1842983,-0.024966266
gdp,2.8657103,-0.14019202,-0.022876937
recession,3.1152873,-0.19673246,-0.02560225
prices,2.94686,-0.15785173,-0.023750437
rates,3.1078,-0.19430205,-0.025507975
markets,3.2013087,-0.2171517,-0.026551643
china,2.6681879,-0.09721121,-0.020749154
real,3.073101,-0.18705256,-0.025139544
policy,3.0590553,-0.18309212,-0.024974193
jan,2.6110988,-0.08393334,-0.020120954
expect,3.0848062,-0.18882771,-0.02525262
energy,2.9135675,-0.15039459,-0.023389298
jun,2.6580825,-0.09408759,-0.020626415
strategy,3.0325096,-0.17922626,-0.024718542
economic,2.9461677,-0.15840998,-0.023754703
yield,3.2089996,-0.21887669,-0.026642479
returns,3.233267,-0.22442226,-0.026905186
risk,3.2090397,-0.21863678,-0.026635483
bloomberg,3.0065176,-0.17338544,-0.02443613
equity,3.250728,-0.22836116,-0.02709542
asset,3.1276224,-0.20052695,-0.025754815
average,3.0617251,-0.18530129,-0.025027895
december,3.0332773,-0.17937636,-0.02472485
return,3.1655986,-0.20900458,-0.026168255
fed,3.037864,-0.17870393,-0.024746098
forecasts,2.6948159,-0.103373796,-0.021041878
dec,2.6943033,-0.10240121,-0.021021677
term,3.1744487,-0.21047649,-0.02625523
economy,3.069187,-0.18524157,-0.02508036
time,3.1087706,-0.19549611,-0.025533976
forecast,2.8571608,-0.1384519,-0.02278678
total,3.1113117,-0.19687706,-0.025574405
usd,2.5060222,-0.06167449,-0.018998448
price,2.99405,-0.16883521,-0.02427242
unicredit,2.5477111,-0.07200732,-0.019467616
central,3.0747983,-0.18684673,-0.02514879
financial,3.0707262,-0.18605714,-0.025104117
eur,2.5063727,-0.061664842,-0.018999536
current,2.6751966,-0.098793834,-0.020825243
income,3.1168842,-0.19735485,-0.025623845
jul,2.6225712,-0.08646918,-0.020244293
equities,3.2535107,-0.22896156,-0.027127013
june,2.5510962,-0.07297198,-0.019508252
investors,3.2350876,-0.22464935,-0.026924334
bonds,3.2494552,-0.22805429,-0.02708229
tightening,3.0708873,-0.18575943,-0.025103169
supply,2.951903,-0.15899874,-0.023806375
services,2.9044693,-0.14851059,-0.023292463
credit,3.2233994,-0.22211549,-0.026797757
november,2.9923842,-0.17023225,-0.024281632
cpi,2.8364718,-0.13354684,-0.02255792
expected,3.0449984,-0.18010034,-0.024822967
earnings,3.1756592,-0.21063472,-0.026265578
remain,3.099899,-0.19227475,-0.025416713
consumer,2.9667988,-0.16235977,-0.023968628
july,2.835875,-0.13418686,-0.02256366
macro,2.8386385,-0.13632514,-0.022617888
months,3.10549,-0.19481498,-0.025499512
core,2.9297755,-0.1542333,-0.02356787
apr,2.6345387,-0.08901966,-0.020374173
labor,3.032077,-0.1769716,-0.024678431
europe,2.7775507,-0.120930135,-0.021925742
levels,3.0635958,-0.18426105,-0.025024777
risks,3.0306556,-0.17706265,-0.024669731
covid,2.9838154,-0.16609834,-0.024151659
yoy,2.7585182,-0.116508454,-0.021714984
demand,3.0394793,-0.17855254,-0.024757829
change,2.9156728,-0.15192735,-0.023427833
note,3.078789,-0.1895939,-0.025222376
cycle,3.109948,-0.19477959,-0.02553182
federal,3.0483403,-0.18092541,-0.024860078
peak,3.0698678,-0.18578753,-0.025096148
bond,3.2329733,-0.22429052,-0.026902817
oil,2.8150213,-0.12871164,-0.022322917
analytics,3.0134847,-0.17490123,-0.024510607
economics,2.613848,-0.08665279,-0.020184875
sector,2.9666162,-0.16270228,-0.02397259
pandemic,3.0319362,-0.17695193,-0.024676846
banks,3.0922184,-0.19066055,-0.025336185
level,3.069575,-0.18566316,-0.025091559
month,3.0090203,-0.17310983,-0.024449902
russia,2.6264944,-0.08832675,-0.02030286
decline,3.130805,-0.20020969,-0.025770547
bp,3.0172884,-0.17398253,-0.02452465
haver,2.9813356,-0.16769819,-0.024159579
corporate,3.2297063,-0.22346069,-0.026867686
allocation,3.1171372,-0.19827744,-0.02563996
