,x,y,z
inflation,4.0325108,-0.7364466,0.0647772
growth,4.022945,-0.7935988,0.005436158
exhibit,3.2538128,-1.4380798,0.33725867
rate,4.049603,-0.9650931,0.08175213
global,3.088298,-1.1827729,0.6773944
market,3.4213386,-1.3621197,0.1367898
investment,3.0945911,-1.3200032,0.6248403
gdp,3.9191658,-0.4532922,0.16551483
recession,3.381138,-1.3135102,0.0731029
prices,4.013467,-0.5265451,0.021549445
rates,4.0261793,-1.0252359,0.009520525
markets,3.241096,-1.6408895,0.3215924
china,3.301235,-0.20689285,0.6838433
real,3.6574335,-1.0642179,0.20458452
policy,4.111115,-1.0073143,0.033183858
jan,4.2498016,0.39821905,0.54362935
expect,4.0166154,-0.8990654,0.0010236589
energy,4.004524,-0.49632332,0.016060049
jun,4.242086,0.34456456,0.5281888
strategy,3.0899408,-1.2865506,0.6626855
economic,3.6002815,-0.78887445,0.14039993
yield,3.2006733,-1.6513593,0.4996704
returns,3.2552793,-1.6584224,0.45203847
risk,3.2648814,-1.6358558,0.28436637
bloomberg,3.0858037,-1.2522423,0.6837295
equity,3.2020633,-1.7591096,0.47892466
asset,3.104109,-1.3768774,0.66467327
average,3.3524704,-1.261497,0.4074147
december,3.1003137,-1.2871699,0.6094826
return,3.2575014,-1.4931562,0.470683
fed,4.063466,-0.967676,0.07227769
forecasts,3.5731099,-0.34159192,0.3449455
dec,4.23964,0.34460974,0.5340463
term,3.2946553,-1.5713576,0.20932072
economy,4.0447607,-0.8854268,-0.032032065
time,3.3637147,-1.2965822,-0.0075632725
forecast,3.8585415,-0.5254919,0.15158047
total,3.2761505,-1.4200501,0.46374455
usd,3.9774354,0.5687561,0.3818627
price,3.7458992,-0.90362465,0.058488823
unicredit,3.0448391,-0.30729,1.1838254
central,4.0959706,-1.027005,0.0154867135
financial,3.8957806,-0.995672,0.0367991
eur,3.9777236,0.5674333,0.38154355
current,3.8076258,0.35111558,0.24533582
income,3.5289285,-1.2612084,0.2646094
jul,4.2541914,0.38705853,0.5442805
equities,3.2044303,-1.7729572,0.47873473
june,3.0362573,-0.23480079,1.15044
investors,3.2063203,-1.7451408,0.44155592
bonds,3.1837687,-1.7362704,0.4897729
tightening,4.110895,-1.0101633,0.038065553
supply,3.9174826,-0.63050437,-0.0360363
services,4.0044966,-0.4357401,0.074617185
credit,3.1810524,-1.6926186,0.46643156
november,3.084026,-1.238576,0.70076764
cpi,4.0244746,-0.4123932,0.20256537
expected,3.937772,-0.834143,0.01292686
earnings,3.452542,-1.3838413,0.18401632
remain,4.0430245,-0.9181495,-0.027446609
consumer,3.926759,-0.6931883,0.069709115
july,3.902893,-0.73057,0.04306599
macro,3.0605807,-0.8167562,0.95816916
months,3.3726807,-1.2903384,0.18070032
core,4.0270944,-0.5430652,0.15462565
apr,4.2579155,0.38371024,0.5459362
labor,3.9538107,-0.7599837,-0.06630681
europe,3.3971696,-0.31057036,0.3951523
levels,3.906113,-0.9242365,-0.045110278
risks,3.7755704,-0.81557846,-0.029608777
covid,3.9434595,-0.68972164,-0.07631684
yoy,4.006177,-0.26598445,0.25524017
demand,4.0091677,-0.7937974,-0.041656494
change,3.538616,-0.69931716,0.2694696
note,3.1038072,-1.3326068,0.6030786
cycle,4.067956,-1.0307758,0.038799148
federal,4.0770454,-0.9808458,0.06891913
peak,3.9069328,-0.91677946,0.05560258
bond,3.194271,-1.6953435,0.49847353
oil,3.9409387,-0.36218858,-0.0011278987
analytics,3.079823,-1.2410746,0.7286134
economics,3.0434072,-0.4029179,1.1465495
sector,3.6936316,-0.8610893,-0.114238374
pandemic,3.9955058,-0.8448545,-0.03369351
banks,4.090794,-1.0310072,0.01405996
level,3.864708,-0.9493182,-0.04978078
month,3.420649,-1.1796697,0.3453924
russia,3.3393323,-0.2328754,0.7149691
decline,3.536524,-1.2613319,0.14874806
bp,4.076532,-0.9523912,0.07239193
haver,3.080281,-1.2320566,0.72406745
corporate,3.188957,-1.7062912,0.49377328
