,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
equity,-0.10184778,-0.17718424,0.05465929,0.18915918,0.37451783,-0.27061695,0.1317402,0.3160593,-0.30090722,-0.7335809,0.2742987,-0.3879219,-0.16510022,0.1285441,0.25502455,-0.024624744,0.004583118,0.019954804,0.20893463,-0.2482837,0.170389,-0.30511355,0.40691018,-0.15735129,0.08499749,-0.18721485,-0.12646982,0.37668055,0.1177854,-0.1431799,0.44736895,-0.3155566,0.38475433,-0.19452906,0.03629996,0.53069735,0.3848733,-0.32672468,-0.24503183,-0.012096812,0.17860776,-0.30968013,-0.23493394,0.14238887,0.094976924,-0.29417515,-0.19664422,0.15351993,0.4074914,0.027598385,0.27062613,-0.03149589,0.010164976,-0.20671983,-0.5116638,0.24769951,-0.062032115,-0.36204326,0.042324908,0.04781353,-0.20359245,0.25228816,0.06075257,0.41280106,-0.20392469,0.33674723,0.20918794,0.29649383,-0.089641556,0.66983527,0.210987,0.5722969,0.016132591,0.6371126,0.5814707,-0.07499699,0.0011835317,-0.42756662,-0.23730594,0.10866133,0.0359022,-0.01960773,-0.03568884,0.12021493,-0.15558484,0.45623422,-0.24383692,-0.684895,0.114670284,-0.18345965,0.48588312,-0.15988702,-0.093685,0.0897211,0.0402109,0.0025266274,-3.8957398e-05,-0.14076409,-0.16704413,0.08377741
real,0.013587687,0.05214523,0.30408415,0.058457673,0.3205563,-0.23982196,-0.029860578,0.2746876,-0.35960168,-0.44736123,-0.035855636,-0.2732279,-0.19289365,-0.08902059,-0.009080312,-0.3646908,0.10447192,-0.21382657,0.075895354,-0.5618562,0.034905784,-0.42016792,0.5422605,-0.25355732,-0.24625792,0.00021522219,-0.42357603,0.2909156,0.11052851,0.056744758,0.21052358,-0.2936772,0.39061776,-0.29404548,0.107351385,0.08114341,0.15714978,-0.1443822,-0.2624413,-0.18243188,-0.23792246,-0.079081915,0.17879534,0.058509555,-0.19219083,-0.41540313,0.12694028,-0.15888597,0.3285462,0.19265223,0.15645258,-0.1867532,0.4113621,0.10559632,-0.48508006,-0.12269196,-0.19912536,0.027946286,-0.011289667,0.020628413,0.175527,0.10072678,0.2700661,0.44296697,-0.1544608,0.28466058,0.21132202,0.6139051,-0.3339995,0.5196905,0.009083103,0.41373742,0.05490398,0.3601025,0.564103,-0.004964243,-0.095396325,0.13115285,-0.24277954,-0.09238937,-0.17943484,0.20229265,-0.37118158,0.2478941,-0.028410427,0.18091995,-0.13882466,-0.21100417,0.31572714,0.054021847,0.3472901,-0.20150556,-0.30970055,-0.20281863,0.42632324,-0.024189588,-0.39561796,0.081863046,0.073003314,-0.1417955
gdp,-0.28795663,-0.08130147,0.48347178,-0.2090943,0.3053936,-0.091008134,0.08078211,0.51254344,-0.081462316,-0.38823044,-0.44320074,-0.4936084,-0.40078402,-0.45758724,-0.11981078,-0.3732038,0.026165145,0.16079414,0.37122527,-0.24258403,0.0005414484,-0.53098357,0.88300085,0.01623432,-0.11728832,0.29569912,-0.51160043,-0.24464957,-0.12899064,-0.015715368,0.24651307,-0.16400817,0.5099644,-0.11071442,-0.051608488,-0.27504498,-0.18776932,-0.37563017,-0.29917228,-0.022267755,-0.06637451,-0.03671278,0.10822169,-0.18252027,-0.39497983,-0.32514602,0.32210693,-0.29010823,0.07387751,0.10737423,0.29931113,-0.37781534,0.24331447,0.14475214,-0.20503865,-0.23414153,0.09240683,-0.17795533,-0.2577784,0.14708531,0.039426174,-0.09698291,0.47784886,0.25067556,-0.23126133,-0.16129285,0.2208747,0.34210178,-0.34570605,0.32123974,-0.041235887,0.24289739,0.093422696,0.09654234,0.1935102,0.04165255,0.009527577,-0.08364434,-0.38312176,0.046249587,-0.35858864,0.034670167,-0.08431445,0.36559132,-0.6292355,-0.16631185,0.25739715,0.093537636,-0.15049465,-0.25970015,0.3806581,-0.101172104,-0.21894053,-0.045135107,0.77937114,0.30735013,-0.15525892,0.13577345,0.18894261,-0.11882073
rates,-0.39350638,0.19429003,-0.07887163,-0.008848927,0.06124243,-0.10697552,0.18447053,0.025923083,-0.3980333,-0.23928031,0.12670144,-0.18363564,-0.20456234,0.13289112,0.1355058,-0.2449501,-0.037591834,0.007085472,-0.07473816,-0.5520034,0.11632904,-0.15845978,0.5437135,0.27765834,-0.24061291,-0.27528983,-0.067010164,-0.15923402,-0.096652955,0.21198714,0.6769307,-0.2632435,0.447832,-0.20497291,-0.034843195,0.07431475,0.13493954,-0.21708728,-0.22206831,-0.25421163,-0.12082745,-0.3956719,0.19468103,0.10930378,0.11804484,-0.100164995,-0.05243815,-0.052135922,0.22084892,0.15111159,0.010579329,0.07766575,0.08307421,0.15866321,-0.07902312,0.23065083,0.07560519,-0.07130624,-0.30451733,0.31001487,0.21487983,0.11551944,0.0526082,0.15022099,-0.11434986,-0.05505929,0.21101841,0.1594121,-0.10718188,0.43037316,-0.055362493,0.10443008,-0.11818211,0.46548998,0.41223237,0.15824167,0.054643434,0.208465,-0.18884175,-0.013318699,0.120147645,-0.18559562,-0.15593076,0.17787902,0.07327117,0.28474128,-0.08904799,-0.12642464,0.039065663,-0.061211523,0.36966875,-0.20518407,-0.025460163,0.011366481,0.19434321,-0.23298655,0.10427119,-0.3512537,0.076172985,0.02757071
returns,-0.35156602,0.0075902864,0.19672745,-0.026458763,0.33239007,0.015579015,0.36652446,0.09365043,0.14890297,-0.79732794,0.2891419,-0.56720686,-0.46792215,-0.12417276,0.07746577,-0.22877981,0.13881733,-0.24232014,0.21674973,-0.06028334,0.27424595,-0.054264985,0.1022074,-0.017149044,0.24522372,-0.22896108,0.09066077,0.18640368,0.14773145,-0.12580472,0.22453558,-0.20206812,0.33915555,-0.14682044,0.064977415,0.30686614,0.5740066,-0.32555628,-0.3331616,0.10670032,0.24964184,-0.35847706,0.2476105,-0.010436903,-0.07147212,-0.5151285,-0.17332023,-0.09496525,0.37761348,-0.005262203,0.3221891,-0.14856815,0.16249794,-0.050490852,-0.47925046,0.3472541,0.10051151,-0.20602997,0.028537786,0.2821118,-0.18879683,0.17573005,0.2856995,0.45149,-0.011649371,0.2505867,-0.09157949,0.4035716,0.06085578,0.5607663,0.12003851,0.17946167,0.04253669,0.15152097,0.41391572,-0.36102608,0.24165094,-0.36262572,-0.10530157,0.11495515,-0.13394073,-0.18550798,-0.1752122,-0.059845306,-0.11904295,0.3877887,-0.19988567,-0.39160916,0.027884344,-0.26097977,0.43575376,-0.45067328,-0.10512011,-0.20312619,-0.030009909,0.066436745,0.06957083,0.0041733827,-0.020115823,0.30413932
risk,-0.21715091,0.07633608,-0.017218316,0.023599738,0.070864335,-0.05225828,0.15514693,0.314098,-0.0010502889,-0.5259052,0.17147732,-0.00064952025,-0.32030925,0.19323713,-0.02023259,-0.015599194,-0.30691049,0.0024989587,0.0005833015,-0.39760375,0.3991093,0.03404283,0.16187657,0.17936905,-0.032483682,-0.021302806,0.12689306,0.12950714,-0.027809363,0.082279354,0.28644323,-0.40931055,0.2851508,-0.21899034,0.092560664,0.06945971,0.33449963,-0.2710924,-0.27979425,-0.0012380793,0.30142254,-0.16585205,0.23669508,0.09915771,0.25869384,-0.3141719,-0.38660362,-0.26524392,0.429991,0.031394526,-0.18190877,-0.16146995,-0.0033408368,0.060927246,-0.110590875,0.38611045,-0.001996524,-0.15651934,0.09116068,0.14442042,0.06924238,0.19291888,-0.16292916,-0.0013252028,-0.09030063,0.14715655,0.04841981,0.28644446,0.1029785,0.27986062,-0.10918775,0.116128094,-0.055644646,0.16215704,0.41505086,0.009632747,0.17935494,0.06349743,-0.2659471,0.21299829,-0.121969715,-0.15961452,-0.27418366,0.18121926,0.064054355,0.33481306,-0.3880799,-0.39741516,0.024714347,-0.16393183,0.1051393,-0.14314449,-0.12452953,-0.2297445,0.038350992,0.047149688,0.17630199,-0.16726114,0.18602282,0.3735073
recession,-0.20179206,-0.3117206,-0.064885736,-0.14861017,0.16442096,0.15098096,0.25963417,0.3986685,0.07286356,-0.4073048,0.07046276,-0.18594612,-0.31650475,0.04468123,-0.43210113,0.24694078,-0.046361562,0.30552873,-0.09290717,-0.31535956,0.5366376,-0.09267737,0.4546374,0.30430314,0.023084095,0.027507495,0.20069315,-0.1506497,-0.25068656,0.0018898367,0.52961963,-0.3233148,0.45003328,-0.3495158,0.13258222,-0.13586637,0.22002506,-0.5413332,-0.26282844,-0.06672097,0.24473614,-0.36027288,0.1826253,0.116211794,0.21247365,-0.03912253,-0.25059772,-0.2609629,0.32821846,-0.016123587,0.05287601,-0.34195668,0.1424634,0.030049087,0.26060423,0.4021551,0.14077133,-0.3163613,0.025079884,0.47893307,0.1638253,-0.04774044,0.15191145,0.07942336,-0.02314635,0.015779939,0.37540895,0.1568139,0.045783985,0.37088796,0.05760881,-0.008383104,-0.21740302,0.31975222,0.21256427,-0.05865705,-0.019472288,0.057135973,-0.009810138,0.22917032,-0.26202565,-0.1830942,-0.18627995,-0.08832149,-0.41074702,0.08484331,-0.25784144,-0.4031961,-0.23554692,-0.36536485,0.29415447,0.048532184,0.07508001,-0.15838487,0.04405028,0.027786186,0.118990146,-0.2186387,0.22769336,0.11731026
prices,0.21140072,0.29371697,0.086596854,0.086647674,0.26293814,-0.2730301,0.47963983,0.3367147,-0.089080244,-0.19429183,0.01042424,-0.38754228,0.17237477,0.10953842,0.037274674,0.14866215,0.26172525,-0.24226205,0.048526887,-0.58267796,0.5096214,-0.13944581,0.09372327,-0.0022167126,0.07531117,-0.39875156,-0.11711201,-0.2297545,-0.11843946,0.1719993,0.39125505,-0.030626697,0.0821776,-0.2975057,-0.05681473,0.15925369,-0.013894591,-0.19742589,-0.44526783,-0.39681044,-0.13929084,-0.31512663,0.0795656,0.038683984,-0.055821933,-0.04708733,-0.43488392,-0.49713525,0.3460123,0.31144667,0.023817128,0.062426623,0.08510857,0.21314788,0.10882384,0.04439426,-0.051112752,-0.023637129,-0.26815572,0.3411209,0.108645715,-0.06748007,-0.15805896,0.2800756,-0.32589287,-0.05521111,-0.08496983,0.27805537,0.057722654,0.25395802,-0.14277762,-0.17988816,-0.04278384,0.06384745,0.50931466,-0.20392382,0.22369285,0.17801014,0.01820698,0.255236,-0.003769935,0.07913952,-0.080393806,0.32827702,-0.09610746,0.3834481,0.139951,0.018213453,0.32880744,-0.41455302,0.22359467,-0.040506348,-0.06538584,-0.06873365,0.4549176,0.23038386,-0.2755762,-0.3626048,0.2735663,0.22442277
strategy,0.0018383987,-0.24110083,-0.121596836,0.17968458,0.29726014,-0.1202582,0.17304687,0.38753393,-0.03590311,-0.29086447,-0.29701692,-0.39217696,-0.2571841,0.23785941,-0.1840623,-0.06718288,0.20276642,0.24623258,0.04983525,0.24949639,0.1660519,-0.36409965,0.24177247,-0.16171595,0.12909673,-0.12526232,-0.31116438,0.27901357,0.0044745672,-0.05031424,0.6127163,-0.28002125,0.17817336,-0.00849675,0.10787897,-0.28133684,0.24385865,-0.30966786,0.26543668,-0.22252117,0.17174612,-0.47578925,0.24433394,-0.14573829,-0.3499654,-0.1123199,-0.08217859,-0.012013015,0.5287308,-0.052592866,0.3011058,-0.59871536,-0.02530306,-0.076325,-0.3512042,0.50733256,0.18706886,-0.06207265,-0.07546464,0.05638715,0.040229123,0.16744035,0.31464347,0.0046564243,0.016904172,0.36883542,0.34890342,0.4853497,-0.29866728,0.20111947,0.32453534,0.016008247,0.44150046,0.30611604,0.468352,0.14854223,-0.20234284,0.046175864,-0.042945802,-0.21138182,-0.5799503,0.066780314,-0.107504286,0.12422143,-0.06866016,-0.091260545,0.08945897,-0.3236413,-0.20565307,-0.4058899,0.14817628,0.0679612,0.19571474,-0.18333428,0.14374825,0.04758138,0.20940734,0.081725486,0.013323703,-0.26080838
investors,-0.26420486,0.16087037,-0.013021676,0.16280961,0.19319351,-0.039703988,0.08194934,0.08192021,-0.10129239,-0.37787023,-0.02943262,-0.04297098,-0.3649519,0.38187924,0.1280286,-0.14505519,-0.11923471,-0.007335096,-0.20553496,-0.3759917,0.060396068,0.036107305,0.13324444,-0.048662968,0.0710139,-0.04449076,-0.077034004,0.13558823,0.043296315,0.105537206,0.3951905,-0.2719678,0.05758554,-0.041051414,0.091125816,0.17404427,0.17101967,-0.18884973,-0.13941294,-0.16897877,0.2914966,-0.08676274,0.18122151,0.10459579,0.29847765,-0.18534127,-0.3265408,0.059003137,0.432423,0.12916939,0.057456817,-0.3191877,-0.116489545,0.02735066,-0.40846747,0.5912123,-0.1507881,-0.20356153,0.0012273154,0.074533485,-0.15096965,0.32822114,-0.1127303,0.24947882,-0.06150666,0.22102526,-0.11801955,0.07578994,0.008851349,0.30582127,0.056016337,0.19375227,0.08121133,0.19008757,0.19238639,-0.08700943,0.25399745,-0.104529925,-0.14103137,0.029392729,-0.095979534,-0.17563067,-0.1282244,0.12630771,0.1924836,0.3392821,-0.28704792,-0.390822,0.017957596,0.06234301,0.20742239,-0.21309158,0.011674733,-0.22176558,-0.1084442,0.0752627,0.12299167,-0.106681176,0.12899858,0.40719643
