,x,y,z
inflation,21.92152,-10.09159,-3.0798242
growth,23.258135,-8.73467,-1.2581584
exhibit,12.61281,-16.502037,-2.9630065
rate,18.609753,-14.981036,-5.5305357
global,7.269832,-11.290985,-6.718169
market,12.82634,-16.075228,-0.6068538
investment,5.846638,-11.743397,-5.751688
gdp,20.849388,-1.8464874,-4.3354073
recession,12.032333,-12.773076,-2.9925008
prices,22.548801,-3.7561727,-0.43037194
rates,20.015404,-13.846048,-3.5690117
markets,11.890976,-17.490477,-0.40348178
china,11.724362,-2.1961343,-7.0954103
real,9.847903,-16.807646,-5.0985155
policy,19.54426,-15.300769,-3.5783184
jan,22.089254,2.4440782,-5.006345
expect,21.179672,-11.267247,-2.85903
energy,22.534586,-3.7807567,-0.28641796
jun,22.140902,1.8665535,-4.9350395
strategy,5.875422,-11.496021,-6.0572624
economic,9.951819,-9.209264,-5.617494
yield,6.0229125,-17.319105,-2.7577868
returns,9.593503,-20.453114,-0.15507676
risk,10.367558,-18.253712,1.8849381
bloomberg,5.968345,-11.249491,-6.2581162
equity,8.692014,-19.221144,-1.7849786
asset,7.7444787,-12.355708,-6.8502293
average,6.2036996,-15.5781555,-3.8270602
december,5.764197,-11.541391,-5.5387425
return,4.4518166,-15.236571,-3.363046
fed,18.69159,-15.064603,-5.1988344
forecasts,9.214208,-8.223738,-6.0064106
dec,22.129042,1.9883041,-5.034633
term,10.75435,-18.256622,2.6996646
economy,23.172264,-9.238507,0.0074602454
time,12.313279,-12.226851,-2.7970355
forecast,20.417875,-2.3698127,-4.9165535
total,4.453201,-15.212392,-3.3796885
usd,20.38009,5.0210905,-2.381747
price,20.147877,-6.2925487,-2.858521
unicredit,10.903226,0.5983346,-10.421081
central,19.575867,-15.500463,-2.6257193
financial,21.19367,-13.711877,-1.2372458
eur,20.388168,5.0187345,-2.3768687
current,19.133293,3.827943,-0.78989375
income,9.880241,-17.232115,-4.936193
jul,22.111729,2.2483096,-5.0120163
equities,9.088732,-19.473528,-1.7499089
june,11.612207,1.0084325,-9.270436
investors,10.168626,-18.866764,-1.6151438
bonds,7.106711,-18.496286,-1.4961668
tightening,19.578096,-15.2315855,-3.717312
supply,22.624397,-6.1984487,2.2936604
services,22.181358,-3.2609015,-1.6120682
credit,6.667629,-17.586475,-1.7500823
november,6.2002735,-11.243038,-6.4970284
cpi,22.069124,-2.5037677,-5.1350074
expected,20.703354,-9.13874,-3.2602794
earnings,12.091627,-20.01715,0.88661766
remain,22.297575,-10.979139,-0.07778693
consumer,22.266445,-5.6293035,-2.9268725
july,17.592901,-13.58689,-6.315983
macro,11.064492,0.5795913,-11.013038
months,8.241176,-14.753941,-3.6324773
core,22.073969,-2.7832491,-5.1984715
apr,22.125051,2.2012994,-5.01441
labor,23.606762,-8.369783,0.18106784
europe,12.157454,-2.7238457,-6.2778034
levels,22.879498,-7.1505947,-2.192986
risks,13.427233,-5.464443,-6.260172
covid,21.629559,-6.967626,2.1256456
yoy,21.993752,-2.0328681,-5.0222063
demand,22.704926,-8.442401,0.45189545
change,9.6755495,-8.993519,-5.986697
note,5.6379585,-12.012822,-5.4301167
cycle,20.037775,-14.644411,-4.0610046
federal,18.418287,-15.625775,-4.785595
peak,21.126518,-10.205898,-3.4907784
bond,6.3566422,-17.793713,-2.5541282
oil,22.29442,-3.8706803,0.5104109
analytics,6.3581,-11.289614,-6.853581
economics,10.989335,0.6188556,-10.603806
sector,17.541565,-6.886606,-2.4978225
pandemic,23.152533,-7.29678,-1.8473713
