,x,y,z
inflation,2.763617,-0.26980498,-0.02953717
growth,2.7948666,-0.27940792,-0.030046055
exhibit,2.8808331,-0.30474576,-0.0314423
rate,2.771681,-0.2713033,-0.029654702
global,2.7170153,-0.25270572,-0.028741559
market,2.8696678,-0.30149692,-0.031257927
investment,2.7988305,-0.27839947,-0.030088414
gdp,2.6236854,-0.22579628,-0.027241534
recession,2.8559127,-0.2970805,-0.031029062
prices,2.6994565,-0.24961798,-0.028480727
rates,2.8492205,-0.29598972,-0.030933483
markets,2.9358747,-0.32204464,-0.032347642
china,2.4391673,-0.16656679,-0.024188563
real,2.8166897,-0.28555146,-0.030399755
policy,2.8036668,-0.2815857,-0.030180879
jan,2.385767,-0.15254647,-0.023367835
expect,2.827914,-0.28977254,-0.030589618
energy,2.6683698,-0.23966865,-0.027966116
jun,2.4299111,-0.16646592,-0.024092901
strategy,2.777445,-0.27181917,-0.029739965
economic,2.6983774,-0.24756621,-0.028435428
yield,2.9426277,-0.32406795,-0.032463904
returns,2.9655454,-0.33142325,-0.032842614
risk,2.9431555,-0.32441536,-0.032467775
bloomberg,2.7531986,-0.26429126,-0.029343521
equity,2.9819705,-0.33658656,-0.033111315
asset,2.8662703,-0.29997495,-0.031206192
average,2.8047566,-0.28102115,-0.030196698
december,2.7780135,-0.2717856,-0.029744275
return,2.9020183,-0.31121632,-0.03179289
fed,2.7836456,-0.27513182,-0.029851396
forecasts,2.4635134,-0.17446098,-0.024599819
dec,2.4638188,-0.17677255,-0.024644574
term,2.9109745,-0.31424507,-0.031935465
economy,2.8135035,-0.28523389,-0.03034987
time,2.8498375,-0.29484096,-0.030922782
forecast,2.615555,-0.22295636,-0.027104072
total,2.8510578,-0.2950975,-0.030951688
usd,2.287696,-0.11993767,-0.021721166
price,2.7428286,-0.2625214,-0.029183524
unicredit,2.325328,-0.13282543,-0.022376454
central,2.8185196,-0.28610814,-0.030422108
financial,2.8145194,-0.2847893,-0.030356292
eur,2.2880619,-0.12016311,-0.021729203
current,2.4456527,-0.16825752,-0.024287738
income,2.8570318,-0.29776442,-0.031056954
jul,2.3964036,-0.15586743,-0.02354267
equities,2.984535,-0.3373986,-0.03315303
june,2.3284075,-0.1335279,-0.022421865
investors,2.967415,-0.33196098,-0.03286865
bonds,2.9806123,-0.3360903,-0.03308942
tightening,2.8147824,-0.28517348,-0.030365951
supply,2.704035,-0.2502283,-0.028538138
services,2.660185,-0.23760521,-0.027843459
credit,2.9563553,-0.32834533,-0.032687552
november,2.7398312,-0.26015565,-0.02912472
cpi,2.5964181,-0.21781671,-0.02680555
expected,2.7910268,-0.2779727,-0.029980168
earnings,2.9121988,-0.31499013,-0.03196202
remain,2.8420324,-0.29429746,-0.030822346
consumer,2.7180793,-0.25563395,-0.028791422
july,2.5941508,-0.2152974,-0.026737163
macro,2.5964842,-0.21628064,-0.026795696
months,2.8464906,-0.294059,-0.030876447
core,2.683407,-0.24478461,-0.028225126
apr,2.4077861,-0.15948299,-0.023730095
labor,2.7785268,-0.27393323,-0.02977073
europe,2.5416036,-0.19784354,-0.025848227
levels,2.808147,-0.28320268,-0.030257672
risks,2.7778423,-0.27280185,-0.02974204
covid,2.7338977,-0.25981435,-0.029032893
yoy,2.523649,-0.19513205,-0.025616486
demand,2.7860088,-0.2766663,-0.029899303
change,2.66957,-0.23896693,-0.027976997
note,2.8208146,-0.28538898,-0.030451344
cycle,2.8510456,-0.29656917,-0.030965162
federal,2.7933996,-0.27810565,-0.030011749
peak,2.81386,-0.28503314,-0.03035581
bond,2.9651585,-0.33122647,-0.03283483
oil,2.5764854,-0.20991251,-0.026439063
analytics,2.7593977,-0.2664274,-0.02944943
economics,2.3874164,-0.15174644,-0.023384962
sector,2.7181027,-0.25401658,-0.02875978
pandemic,2.778809,-0.27434817,-0.029780116
banks,2.834775,-0.29135448,-0.030692557
level,2.813772,-0.28476056,-0.030346792
month,2.7561429,-0.2659797,-0.029398631
russia,2.3997986,-0.15487133,-0.023559073
decline,2.8704991,-0.30220187,-0.031279236
bp,2.7644796,-0.26903722,-0.029536095
haver,2.729404,-0.25706637,-0.028957123
corporate,2.9622626,-0.33028692,-0.032786068
allocation,2.8565102,-0.29693973,-0.031046065
debt,2.9665632,-0.33173272,-0.032855533
based,2.8586478,-0.29737568,-0.0310743
balance,2.72566,-0.2566298,-0.028888896
government,2.755763,-0.26433983,-0.029353214
continue,2.8347201,-0.29157102,-0.030694332
production,2.4490008,-0.17135644,-0.024381435
