,x,y,z
inflation,14.085613,-12.173505,-2.051884
growth,13.606106,-11.571434,-3.8522596
exhibit,20.700369,-5.8696604,4.0706844
rate,16.399086,-11.705802,2.3933432
global,19.68855,-4.679334,6.23509
market,20.432049,-6.22775,1.972715
investment,19.871866,-3.398919,6.2596807
gdp,7.2701206,-10.59929,-2.303067
recession,18.811928,-7.171828,0.75278234
prices,10.047808,-9.612853,-4.7768292
rates,16.456146,-11.683051,0.29545757
markets,21.73127,-5.383661,1.9479775
china,7.1848426,-6.42718,4.7421093
real,23.746414,-2.9437592,5.431892
policy,17.226458,-11.641979,0.9802943
jan,4.215097,-10.087144,-3.7437882
expect,14.769853,-11.843537,-1.5470117
energy,10.062685,-9.500807,-4.8457546
jun,4.4937515,-10.213638,-3.7140262
strategy,19.767986,-3.5999331,6.4801073
economic,15.46707,-4.648551,6.5896297
yield,22.665031,-1.0279852,3.714094
returns,24.021324,-3.436828,1.5123878
risk,22.046947,-4.16946,0.15220499
bloomberg,19.652811,-3.7204375,6.5971045
equity,23.451513,-3.361809,2.737577
asset,20.60922,-4.854082,5.5118093
average,21.394072,-0.32828167,4.9458885
december,19.682383,-3.1852198,6.2783356
return,21.3238,0.59727174,4.2597013
fed,16.542448,-11.715241,2.1954582
forecasts,2.3792884,-8.361376,-4.0856414
dec,4.393859,-10.230559,-3.6701374
term,21.821041,-4.4141574,-0.62966484
economy,14.294943,-10.694886,-4.3793836
time,18.746138,-6.419324,0.4926716
forecast,7.5245976,-10.748838,-1.7882123
total,21.27373,0.62901217,4.2986093
usd,2.9868248,-7.302569,-3.0778453
price,10.999634,-10.602595,-1.8681952
unicredit,4.696507,-8.387249,5.0113487
central,17.72715,-11.376637,0.49825305
financial,17.304747,-11.402504,-1.3972523
eur,2.9865377,-7.304379,-3.0671709
current,4.6487756,-6.55626,-4.080367
income,23.788235,-3.1285229,5.104229
jul,4.285181,-10.139797,-3.7218485
equities,23.542711,-3.7018495,2.6919525
june,4.6517067,-7.767579,4.365498
investors,22.879133,-4.445499,2.5011244
bonds,23.241796,-2.1909406,2.9241865
tightening,17.147293,-11.714482,1.0386878
supply,13.534051,-8.020765,-5.739525
services,9.192553,-10.091382,-4.009863
credit,22.634895,-1.6184692,3.1258414
november,19.66706,-4.008279,6.5920677
cpi,7.7906613,-11.529069,-2.6219058
expected,13.574391,-11.53997,-1.4267778
earnings,21.818861,-6.424872,0.0864852
remain,15.514714,-10.920046,-3.6250355
consumer,10.807511,-11.270831,-3.203067
july,15.426016,-11.115339,3.1156914
macro,4.5848465,-8.848499,5.03376
months,21.567297,-1.0828905,5.583542
core,8.034615,-11.649093,-2.5247464
apr,4.3036337,-10.167059,-3.722284
labor,13.786951,-11.241816,-4.6346745
europe,7.7314806,-6.1667433,4.4466863
levels,12.247124,-11.585515,-3.4269276
risks,15.366491,-7.058997,-5.5217447
covid,13.266844,-8.775622,-5.081095
yoy,7.3517,-11.26953,-2.7445543
demand,13.916084,-10.462798,-4.503763
change,15.533472,-4.5340643,6.6904645
note,20.00677,-3.0491343,6.047719
cycle,16.773539,-12.030623,0.8459105
federal,16.90084,-11.772065,2.191084
peak,14.134748,-11.983728,-1.257022
bond,22.930622,-1.3610388,3.4853003
oil,10.087967,-8.939638,-5.089801
analytics,19.773287,-4.29082,6.625499
economics,4.650207,-8.512108,4.980259
sector,12.054111,-9.8912525,-4.905067
pandemic,12.406657,-11.563486,-3.8105118
banks,17.742222,-11.36167,0.44089127
level,13.984268,-10.901832,-1.2019198
month,21.17808,-0.3280531,5.0693717
russia,6.8497515,-6.626829,4.9564095
decline,21.891985,-6.4611874,0.03154668
bp,16.371048,-11.731431,2.4024327
haver,19.703663,-4.2146606,6.6722546
corporate,22.947006,-1.2957073,3.351455
allocation,20.555498,-4.8527765,5.563139
debt,23.036419,-2.8030891,1.581448
based,20.374071,-2.893014,5.5145984
balance,13.867446,-11.194289,1.3971627
government,17.250723,-4.1241527,-2.3073258
continue,16.07904,-9.163107,-4.107248
production,6.820311,-9.566346,-4.0541015
oct,4.292734,-10.15794,-3.712589
ing,2.907814,-8.214483,-3.8238971
reserve,16.889305,-11.759641,2.167671
nov,4.3260117,-10.165018,-3.7081757
conditions,17.323496,-11.46554,-1.3931212
portfolio,23.493809,-3.5468712,2.80924
expectations,14.116451,-12.116883,-2.0286648
capital,19.933832,-3.8934324,4.260397
key,17.027882,-7.178508,-4.0356145
increase,15.416984,-11.063327,-1.1066359
eurozone,8.95298,-9.762268,-0.35921764
dollar,22.32096,-3.5639715,1.2353227
performance,20.770363,-2.8963692,5.0633006
mar,4.3103247,-10.168091,-3.7167692
em,21.98472,-1.420993,1.7449045
relative,22.70505,-2.9730995,1.3688496
funds,16.600958,-11.756607,2.5427473
gas,10.067081,-9.037136,-5.071939
negative,23.575808,-4.032059,0.43830463
emerging,21.770012,-5.452775,1.7364696
analysis,20.20549,-4.7239323,5.907984
wage,13.895016,-11.662947,-3.3635914
japan,6.720481,-6.6848674,4.77274
assets,23.277275,-3.6883066,2.3168743
target,15.304089,-11.847121,1.6962487
sep,4.3124976,-10.164208,-3.715786
euro,7.0503078,-8.134904,-4.296945
monetary,17.303669,-11.642851,0.8593077
housing,13.99274,-11.433957,-3.294646
basis,21.581757,-0.8234493,4.780529
european,6.687317,-6.263683,2.0323298
positive,23.57402,-3.7602124,0.9050686
asia,8.020632,-5.906478,4.629968
ukraine,13.107332,-7.903137,-5.8442307
yields,22.804068,-1.2756915,3.4857469
base,18.28007,-4.797463,4.593994
ecb,16.343132,-11.611524,2.1934938
view,21.897976,-4.9909954,1.7971711
rise,13.978426,-11.509153,-2.1866188
fixed,23.740541,-3.1797974,4.9025817
rising,15.316474,-10.836871,-3.5908525
activity,13.638961,-10.626119,-4.404382
simple,20.838446,-5.9811263,3.9433045
hike,16.471212,-11.686853,2.170234
treasury,22.541292,-1.0654484,3.7488928
remains,14.053745,-10.831608,-4.0308986
strong,16.89105,-9.593747,-3.3873067
support,13.925934,-9.02417,-4.462833
annual,5.4326735,-10.550255,-1.126641
percent,7.82388,-11.258996,-1.7526834
spending,11.56296,-11.14598,-3.1778204
trend,13.337309,-11.440582,-3.9148004
nominal,23.62104,-2.7308035,5.6438775
food,9.429588,-9.951587,-4.364729
stocks,23.053596,-2.5318503,2.501065
industrial,6.7971997,-9.633244,-3.9653828
trade,7.0946984,-8.796379,-3.8896773
range,15.409779,-11.546979,1.6626815
public,20.991804,-2.4891133,-0.7221978
october,19.054249,-3.217122,6.2747407
pre,12.356528,-11.573103,-3.8057935
aug,4.2974677,-10.160773,-3.725362
volatility,22.013168,-3.4854026,2.448642
consumption,7.5457706,-9.972298,-3.6047235
january,18.20805,-4.858977,-0.17073858
cash,22.833277,-3.2191768,1.7081678
pressure,15.003386,-10.937196,-3.6090293
including,16.732704,-8.6126375,-3.9264586
insights,20.822197,-6.0005507,3.9505875
commodities,22.207733,-4.991878,2.2269099
median,21.407368,-0.48878238,4.6966395
headline,7.918658,-11.574371,-2.5454085
bps,16.364824,-11.687299,2.4791956
spreads,22.770044,-1.2542033,3.4329355
start,18.401901,-7.4274187,0.9269611
recovery,15.299461,-8.04557,-4.2647314
manufacturing,6.369343,-9.65609,-3.7219498
period,19.039005,-0.4451411,4.6879025
consensus,6.800114,-10.006986,-0.6183858
fiscal,16.723248,-11.458964,-0.49798414
unemployment,8.033323,-11.207137,-1.7344714
ratio,21.140707,-0.6362759,4.3846273
yr,21.371895,0.043511644,4.8614306
major,17.214869,-10.503481,-0.37435865
feb,4.302814,-10.157982,-3.721177
impact,15.357242,-10.907032,-3.4931867
measures,14.301654,-11.476798,-1.9260197
eu,5.139913,-7.5272665,5.046098
sales,6.678211,-9.544042,-3.6385639
