,x,y,z
inflation,12.6336,-11.573152,-1.6993551
growth,12.018276,-11.183362,-3.3234792
exhibit,20.143358,-5.3473706,0.63369805
rate,16.291817,-11.360688,1.1881511
global,16.329487,-2.4284167,7.247618
market,19.14362,-4.793691,-0.1439908
investment,16.742273,-1.486318,6.7415996
gdp,6.739435,-10.5392685,-1.2872301
recession,17.001904,-5.289901,2.830564
prices,8.972485,-9.594556,-4.0580993
rates,15.621657,-11.173723,-0.6479611
markets,20.417225,-3.5649738,0.02314542
china,6.936957,-7.0315323,4.5661674
real,20.48635,-4.0056887,3.7285073
policy,16.532963,-11.158456,-0.25719032
jan,3.6700337,-10.366648,-2.790227
expect,13.374292,-11.273118,-1.5666885
energy,8.968903,-9.50409,-4.1252327
jun,3.91287,-10.462505,-2.7371137
strategy,16.616673,-1.5879564,6.9205213
economic,13.603312,-5.817574,5.7566504
yield,20.27522,-0.65928745,3.3942704
returns,21.410624,-0.85011923,0.31326324
risk,19.741539,-2.3176315,-1.1120616
bloomberg,16.463343,-1.6553966,7.028736
equity,21.326859,-1.5220118,1.3632582
asset,17.02859,-2.8426223,7.334484
average,19.392925,-1.457551,4.651711
december,16.659893,-1.4459946,6.5845227
return,19.247715,-0.23493315,4.9089637
fed,16.3421,-11.36274,0.9754806
forecasts,1.7470064,-8.651035,-3.0036697
dec,3.8273132,-10.479895,-2.7020872
term,19.547192,-2.4825644,-1.7429041
economy,12.540639,-10.375498,-3.9911284
time,16.841621,-4.9586253,2.6093817
forecast,6.96814,-10.603889,-0.82018656
total,19.220205,-0.2362755,4.954715
usd,2.931969,-7.8139668,-3.8238418
price,10.211405,-10.347582,-1.1119043
unicredit,4.9644685,-9.321135,4.6604805
central,16.878119,-10.838601,-0.86441886
financial,15.751246,-10.990422,-2.3340483
eur,2.9408407,-7.818545,-3.8314078
current,4.165256,-7.086122,-3.8938613
income,20.661901,-3.860584,3.521068
jul,3.7295182,-10.405694,-2.7627633
equities,21.488811,-1.7270645,1.1637219
june,4.7687488,-8.664059,4.265598
investors,21.129248,-2.510699,0.74682903
bonds,20.87478,-0.85123575,2.1466794
tightening,16.48827,-11.233616,-0.19743769
supply,11.341558,-8.15951,-5.283145
services,8.287019,-10.085429,-3.1528645
credit,20.251255,-0.7682582,2.6582131
november,16.417374,-1.8544027,7.160225
cpi,7.1880493,-11.400275,-1.4772497
expected,12.457782,-10.935446,-1.1157676
earnings,19.462341,-5.060425,-1.0578557
remain,13.699998,-10.485614,-3.5830472
consumer,9.543646,-10.936927,-2.4989743
july,15.753997,-10.803699,2.1656995
macro,4.916434,-9.754711,4.6486506
months,18.576946,-2.9796376,4.2122746
core,7.452455,-11.488038,-1.3802872
apr,3.7459807,-10.430132,-2.7578497
labor,11.965098,-10.882435,-4.0718436
europe,7.3509097,-6.634141,4.3355994
levels,10.84835,-11.302301,-2.857406
risks,13.1361065,-7.142484,-5.4994164
covid,11.411645,-8.731167,-4.6407995
yoy,6.7426276,-11.19609,-1.6100657
demand,12.099867,-10.186741,-4.0644507
change,13.631705,-5.765158,5.895121
note,17.043827,-1.379114,6.439912
cycle,16.093002,-11.520619,-0.3024335
federal,16.599928,-11.461148,0.8635072
peak,12.926357,-11.340243,-1.0195577
bond,20.515337,-0.72133327,3.025011
oil,8.942105,-9.016161,-4.377489
analytics,16.43994,-2.0283642,7.3597393
economics,4.9287148,-9.429104,4.6302876
sector,10.759388,-8.697178,-0.05064106
pandemic,10.956478,-11.272164,-3.168312
banks,16.882034,-10.826134,-0.91580576
level,12.865318,-10.264035,-0.9619659
month,19.267866,-1.6113753,4.7150164
russia,6.6894836,-7.3206544,4.725964
decline,19.45169,-5.123516,-1.1580541
bp,16.299854,-11.364341,1.208732
haver,16.391064,-1.963075,7.3293247
corporate,20.481255,-0.63576686,2.9638386
allocation,16.986086,-2.8143635,7.341964
