,x,y,z
inflation,3.7146647,-0.6228904,-1.5434781
growth,3.6309385,-0.71719664,-1.7016734
exhibit,3.1231375,-1.7157432,0.72385263
rate,4.0890875,-1.0412992,-1.4870676
global,3.0273035,-1.3071436,1.5066248
market,3.0214589,-1.9269102,-0.0754676
investment,3.0814383,-1.5520369,1.2302083
gdp,3.7600002,-0.008384852,-1.2829521
recession,3.0640416,-1.6974986,-0.12102355
prices,3.6671593,-0.11606054,-1.6552646
rates,3.7765357,-1.0512835,-1.5294864
markets,2.9204376,-2.2852168,0.30112967
china,4.274618,0.60074115,-0.8524505
real,3.3344898,-1.8070872,-0.5287391
policy,3.986189,-1.1211364,-1.6989298
jan,1.5758886,3.9527478,0.25867683
expect,3.6752715,-0.824843,-1.4877759
energy,3.667325,-0.09375884,-1.6655291
jun,1.5781655,3.9477737,0.25604925
strategy,3.0761442,-1.5073618,1.3218918
economic,3.7804115,-0.7167317,0.5871688
yield,3.1595626,-2.0031416,0.77253854
returns,3.217661,-2.084343,0.3991268
risk,2.9446735,-2.270607,0.3573271
bloomberg,3.055765,-1.4212229,1.4465067
equity,2.9716935,-2.344692,0.6587418
asset,2.9753492,-1.3636099,1.4984576
average,3.3301182,-1.604296,0.4749102
december,3.082864,-1.517717,1.2765136
return,3.417384,-1.6235857,0.4219272
fed,4.0737586,-1.0322433,-1.4919884
forecasts,3.7728243,-0.64141417,0.7011008
dec,1.575608,3.951824,0.25792402
term,2.983435,-2.1671174,0.12515563
economy,3.6323705,-0.86184275,-1.6974111
time,3.040133,-1.6538353,-0.2903177
forecast,3.7098215,-0.23184918,-1.239612
total,3.4448104,-1.5614057,0.40010226
usd,3.8396916,1.9647988,-0.61122614
price,3.3008718,-1.5032127,-0.38600796
unicredit,2.7308934,0.060885157,2.2737525
central,3.9258335,-1.1363554,-1.7171078
financial,3.642845,-1.1240101,-1.4849366
eur,3.8396616,1.9656934,-0.61012506
current,3.7752244,1.5980722,-0.69518584
income,3.1854556,-2.0454807,-0.1543882
jul,1.5756633,3.951043,0.25828713
equities,2.9713411,-2.3625443,0.6432628
june,2.6692288,0.5495815,2.268329
investors,2.941043,-2.3584142,0.60221356
bonds,3.0224566,-2.2141101,0.7655087
tightening,3.9858067,-1.1191067,-1.6933197
supply,3.5508063,-0.35444528,-1.6031153
services,3.7074854,0.15133701,-1.5272793
credit,3.023715,-2.2042816,0.7343775
november,3.0517964,-1.3989434,1.4744396
cpi,3.9534438,0.2843379,-1.516601
expected,3.6384728,-0.72666156,-1.4070476
earnings,3.2222073,-1.7327566,-0.1996653
remain,3.645402,-0.7941208,-1.8565724
consumer,3.4037323,-1.4735214,-0.9407695
july,3.8752675,-0.69133645,-1.172145
macro,2.8445,-0.4970151,2.0041327
months,3.1128783,-1.6538144,-0.0053103673
core,3.955264,0.18853533,-1.5448207
apr,1.575385,3.9525175,0.25814414
labor,3.4964664,-0.61682165,-1.5948828
europe,4.109019,0.47722086,-0.82439125
levels,3.449663,-1.1035191,-1.3371686
risks,3.57045,-0.6317498,-1.3260118
covid,3.4678233,-0.40294388,-1.6274315
yoy,3.9287326,0.42601576,-1.441717
demand,3.528912,-0.74936086,-1.6350515
change,3.7901313,-0.7063348,0.6337985
note,3.0823627,-1.5359875,1.271705
cycle,3.933774,-1.0939922,-1.6355523
federal,4.0935125,-1.0505617,-1.5105078
peak,3.6625206,-0.7805787,-1.4441305
bond,3.1073759,-2.106683,0.81807935
oil,3.663678,0.09443823,-1.6861624
analytics,3.036638,-1.3709395,1.5346862
economics,2.7761285,-0.14842333,2.1829534
sector,3.2341375,-0.76199794,-1.1464057
pandemic,3.5144074,-1.0056242,-1.5287478
banks,3.9201598,-1.1357036,-1.7148851
level,3.4756727,-0.99315065,-1.3467875
month,3.310071,-1.5991553,0.40694648
russia,4.225582,0.53758514,-0.9414619
decline,3.2533858,-1.6570638,-0.24303287
bp,4.091013,-1.0365257,-1.4962412
haver,3.0386324,-1.3723583,1.5309265
corporate,3.0956192,-2.1294062,0.8159811
allocation,2.973803,-1.3311908,1.520584
debt,2.9721098,-2.3234499,0.5100163
based,3.085684,-1.564395,1.2367259
balance,3.646318,-0.6614758,-1.3163607
