,x,y,z
inflation,28.74144,-5.529606,6.4672456
growth,31.764044,-7.8456635,6.678666
exhibit,17.853209,-15.594049,10.034318
rate,24.656914,-7.6718054,15.585831
global,12.08376,-4.7188826,15.449055
market,17.809486,-19.539856,5.4012346
investment,10.592503,-7.3011966,15.465048
gdp,27.890997,-1.2345147,6.379391
recession,15.1180935,-14.332583,6.1614575
prices,32.783237,-3.337869,2.2832208
rates,26.706495,-9.810016,11.14476
markets,12.210219,-24.87201,7.4129214
china,15.86469,5.162963,11.305192
real,22.07921,-17.012888,10.997141
policy,27.718666,-9.176008,14.011466
jan,28.137762,5.3175793,16.629978
expect,26.603302,-8.106937,7.2953753
energy,32.850193,-3.3913014,2.1819205
jun,29.309156,3.4893754,16.145977
strategy,10.953481,-7.3655996,15.634027
economic,10.400127,-2.2257159,9.75463
yield,9.546466,-15.642845,15.163324
returns,14.747844,-18.06763,14.323583
risk,15.863887,-21.300205,9.258187
bloomberg,11.544109,-6.9298377,16.17118
equity,11.869747,-21.91085,14.1866
asset,13.70528,-4.3109164,14.438255
average,11.823426,-13.916902,14.145057
december,11.248154,-8.089533,15.045764
return,14.131601,-16.745543,14.597635
fed,24.954187,-8.134058,14.961274
forecasts,9.463513,-0.74622136,7.7951427
dec,28.436712,3.5296943,15.899243
term,17.020966,-20.88708,9.420421
economy,31.348627,-9.929055,7.736273
time,15.201082,-14.367031,5.0630765
forecast,27.241947,-1.9860196,5.89236
total,14.0986185,-16.613531,14.618067
usd,29.928185,11.341003,10.617989
price,19.01855,-12.974919,8.13989
unicredit,14.87029,-1.9451995,16.941383
central,29.306637,-10.150239,13.434938
financial,28.879349,-15.350764,9.162485
eur,29.931982,11.341574,10.621445
current,30.853453,9.783392,6.700283
income,21.545868,-17.40756,11.496575
jul,28.431843,4.7014556,16.460901
equities,12.576317,-22.715403,14.495585
june,12.858152,-0.42948568,17.201262
investors,13.034847,-24.11114,12.955113
bonds,10.138621,-18.964647,13.430771
tightening,27.57608,-9.195005,13.923584
supply,34.527264,-7.07781,-0.24412881
services,31.734549,-2.3858695,3.1380582
credit,8.613335,-18.132772,13.12216
november,11.580929,-6.5756297,16.26437
cpi,29.745708,-3.1676135,6.952455
expected,26.052937,-7.7096953,6.5987477
earnings,18.417894,-13.541062,8.156197
remain,30.936954,-13.01646,5.130409
consumer,23.340364,-16.43433,9.036534
july,23.275608,-4.862295,14.171606
macro,14.121237,-3.2918844,15.968309
months,14.963882,-13.089105,7.2997904
core,29.4864,-3.8071723,6.9190707
apr,28.83232,4.522762,16.528645
labor,34.069077,-9.821777,5.1692734
europe,17.15635,4.803854,9.549185
levels,23.834967,-10.412343,6.006056
risks,22.460829,4.133511,11.608165
covid,32.55138,-8.825193,-1.6636084
yoy,29.97166,-2.3825703,6.9086566
demand,32.669724,-9.760965,4.2977653
change,9.42431,-1.3176947,9.347443
note,10.977869,-8.39182,14.97541
cycle,26.529297,-9.556726,12.78943
federal,24.426426,-9.631178,14.825066
peak,27.458193,-6.114193,6.37273
bond,8.715959,-17.066727,15.022244
oil,33.32568,-3.7183826,0.67415905
analytics,11.726418,-5.961904,16.987267
economics,14.636024,-2.4316769,16.609661
sector,21.353851,-7.169664,4.7309976
pandemic,33.50987,-6.9269853,5.159424
banks,29.321218,-10.1623335,13.422214
level,24.482069,-9.898987,5.633578
month,11.932272,-13.287366,13.415352
russia,15.314537,5.0302663,11.998117
decline,18.561728,-13.227202,8.054357
bp,25.0496,-7.1969366,15.4325695
haver,11.705505,-6.014807,16.860548
corporate,8.346199,-17.473581,14.886967
allocation,13.63777,-4.316635,14.534386
debt,13.255259,-19.60344,11.519105
based,10.56659,-9.028228,14.686484
balance,25.40004,-3.2825296,11.7253065
government,16.036171,-24.39063,-1.7842603
continue,26.045496,-20.177774,3.2678125
production,32.936222,1.1585256,4.8236303
oct,28.355661,4.3740296,16.288965
ing,26.519613,11.413405,11.468175
reserve,24.435064,-9.620824,14.816379
nov,28.381046,4.257537,16.236946
conditions,28.916279,-15.392406,9.204427
portfolio,11.934088,-22.886307,14.568843
expectations,28.646078,-5.6295514,6.437339
capital,9.244819,-6.6204643,11.594497
key,21.562302,2.03428,13.401887
increase,25.773857,-10.729494,7.7230396
eurozone,23.244669,-0.75437313,2.9670372
dollar,11.381985,-22.737005,8.230791
performance,9.842791,-9.248054,13.869751
mar,28.662128,4.2647724,16.337503
em,10.80655,-17.754395,10.493172
relative,14.285272,-20.169378,10.546591
funds,24.205326,-8.133585,15.927109
gas,33.30294,-3.685566,0.8083049
negative,16.859983,-19.06107,13.381429
emerging,12.212899,-24.871666,7.3791647
analysis,13.368914,-4.3917265,14.784885
wage,30.815182,-8.149143,6.4096875
japan,15.388913,3.5256195,12.274674
assets,13.657488,-20.983498,12.633177
target,24.40494,-8.132598,11.420258
sep,28.63074,4.268831,16.326443
euro,30.435259,2.5757751,2.606402
monetary,27.758913,-9.204335,13.991663
housing,29.90623,-8.906862,5.2557054
basis,10.215763,-13.669806,13.302091
european,14.976954,-0.8774841,4.7146235
positive,15.620904,-18.916569,13.803766
asia,18.05365,3.687153,10.91676
ukraine,34.047256,-6.350975,-1.328395
yields,8.678994,-16.767128,14.849985
base,14.377895,-8.576231,9.857583
ecb,25.20207,-7.6809163,14.628265
view,13.798597,-24.0238,9.630793
rise,27.798197,-8.584508,5.721166
fixed,21.255707,-17.59883,11.74797
rising,30.743824,-12.4796505,4.9884973
activity,32.49108,-8.969287,7.3938365
simple,17.894974,-15.640823,10.002151
hike,25.28884,-7.6878047,14.739825
treasury,9.043091,-16.048496,14.651155
remains,32.45152,-9.637558,5.903868
