,x,y,z
inflation,3.5768082,-0.57300174,-0.07293952
growth,3.5676873,-0.6379235,-0.072766505
exhibit,3.3862891,-1.079547,-0.065629356
rate,3.5466762,-0.7138241,-0.072098464
global,3.3173003,-0.86108166,-0.06184713
market,3.423063,-0.9886639,-0.06731838
investment,3.3375633,-1.014651,-0.06304217
gdp,3.4823275,-0.33747387,-0.068313405
recession,3.3957493,-0.96009487,-0.0662331
prices,3.5353756,-0.43664283,-0.070966914
rates,3.564691,-0.79368824,-0.0730383
markets,3.4100206,-1.2211903,-0.06687188
china,3.2940404,0.019112894,-0.058971595
real,3.4694424,-0.796082,-0.0687535
policy,3.5817719,-0.73819053,-0.07367047
jan,3.4543946,0.20023614,-0.06550174
expect,3.5848975,-0.7046213,-0.073652305
energy,3.5155582,-0.39756724,-0.07008922
jun,3.4765465,0.14399692,-0.066514865
strategy,3.3405015,-0.97695225,-0.062978186
economic,3.3895085,-0.616402,-0.06528648
yield,3.4061034,-1.2671292,-0.066552274
returns,3.4238358,-1.2822466,-0.06735526
risk,3.4119604,-1.2151728,-0.067053095
bloomberg,3.3381643,-0.9407642,-0.0627788
equity,3.428312,-1.3332222,-0.06761518
asset,3.3763251,-1.0952789,-0.06471309
average,3.391205,-0.9458707,-0.06549316
december,3.3308988,-0.98176944,-0.062699534
return,3.3921356,-1.1665231,-0.06581621
fed,3.5582025,-0.7212878,-0.07259126
forecasts,3.2965438,-0.17827193,-0.060204145
dec,3.4699535,0.10102551,-0.06637983
term,3.39595,-1.1472011,-0.066386886
economy,3.5860956,-0.68087214,-0.073730275
time,3.3585987,-0.96276337,-0.0648321
forecast,3.4572923,-0.37298256,-0.06739064
total,3.379061,-1.0929679,-0.065178305
usd,3.290519,0.30771333,-0.059107944
price,3.4743786,-0.64819646,-0.068875715
unicredit,3.3125896,0.24224511,-0.05830433
central,3.568361,-0.7637231,-0.07319455
financial,3.5205443,-0.76313084,-0.071127154
eur,3.2949526,0.3043177,-0.059395958
current,3.2546337,0.03962675,-0.05842111
income,3.4431672,-0.95252216,-0.067854375
jul,3.4599566,0.18349361,-0.065797046
equities,3.431992,-1.343715,-0.06777287
june,3.280924,0.25923753,-0.05716829
investors,3.4239433,-1.3118721,-0.06745804
bonds,3.4221027,-1.3341353,-0.06734046
tightening,3.585718,-0.7457087,-0.07383882
supply,3.4968565,-0.49952352,-0.069598615
services,3.5303206,-0.36133367,-0.07049968
credit,3.4044561,-1.2880373,-0.0665714
november,3.3388338,-0.91848373,-0.06275091
cpi,3.5183923,-0.27139688,-0.06957172
expected,3.5401,-0.65800446,-0.07170111
earnings,3.4387186,-1.064181,-0.06795764
remain,3.5961163,-0.72183144,-0.07419002
consumer,3.5397575,-0.49817842,-0.071222335
july,3.4497075,-0.5139545,-0.06762253
macro,3.3466878,-0.43057653,-0.061379574
months,3.3918464,-0.96857154,-0.06587411
core,3.5410607,-0.41586372,-0.07095181
apr,3.4661267,0.17560188,-0.06601082
labor,3.5314217,-0.6266806,-0.07133278
europe,3.2917774,-0.21049276,-0.05996963
levels,3.5326157,-0.711478,-0.0715691
risks,3.454971,-0.6707557,-0.06827006
covid,3.515653,-0.54635966,-0.07049531
