,x,y,z
inflation,3.6719682,-0.5074471,-0.09297758
growth,3.6642303,-0.57022405,-0.08706863
exhibit,3.4960191,-1.0369521,-0.049231686
rate,3.6489778,-0.6532619,-0.08019452
global,3.4195247,-0.8225949,-0.063179225
market,3.5306492,-0.93923086,-0.05403265
investment,3.4446218,-0.9695565,-0.05488077
gdp,3.569569,-0.28099948,-0.103370495
recession,3.5010245,-0.91228104,-0.051922973
prices,3.6239202,-0.3676596,-0.09815382
rates,3.6683474,-0.73222774,-0.07600114
markets,3.5250053,-1.1771044,-0.04275771
china,3.3613932,0.07981067,-0.12232876
real,3.5710442,-0.7454676,-0.071683034
policy,3.683949,-0.67458767,-0.080600165
jan,3.5153677,0.2664409,-0.1435747
expect,3.6851075,-0.64034325,-0.08372894
energy,3.604398,-0.3315859,-0.09886755
jun,3.539864,0.21045697,-0.14156318
strategy,3.445575,-0.93741244,-0.05797207
economic,3.4860415,-0.56210774,-0.07354028
yield,3.5236447,-1.2253935,-0.04258814
returns,3.541546,-1.2392838,-0.042754464
risk,3.5276227,-1.1688515,-0.04234323
bloomberg,3.4427068,-0.9019631,-0.060600802
equity,3.547835,-1.2904686,-0.04037541
asset,3.4860718,-1.0519333,-0.053925205
average,3.4971704,-0.89873695,-0.05966426
december,3.4367266,-0.9426644,-0.055413995
return,3.5056398,-1.1247106,-0.04719781
fed,3.6608822,-0.6595471,-0.08044894
forecasts,3.3732147,-0.121774495,-0.10198097
dec,3.5358663,0.16711383,-0.13815354
term,3.5089488,-1.1040479,-0.04318169
economy,3.6866791,-0.6165583,-0.08471537
time,3.4632852,-0.9195664,-0.04704072
forecast,3.5435774,-0.31383562,-0.09861234
total,3.4896472,-1.050911,-0.05026118
usd,3.345974,0.3692505,-0.13357961
price,3.5711904,-0.5955175,-0.07882893
unicredit,3.3692703,0.30249017,-0.1543252
central,3.6674042,-0.7032242,-0.07714932
financial,3.6216054,-0.70196295,-0.07424536
eur,3.3504264,0.36578,-0.13374452
current,3.3186905,0.10094138,-0.108891636
income,3.5507386,-0.9008123,-0.061079103
jul,3.5218515,0.24973875,-0.14304626
equities,3.552056,-1.3009584,-0.03997537
june,3.336322,0.32037023,-0.15180448
investors,3.5424953,-1.2690356,-0.04032202
bonds,3.5418646,-1.2921727,-0.039983083
tightening,3.6886146,-0.6821044,-0.08067133
supply,3.585768,-0.4282245,-0.08945286
services,3.6162872,-0.29459286,-0.10402135
credit,3.5225694,-1.2463411,-0.040639315
november,3.442542,-0.87908006,-0.06254785
cpi,3.6012409,-0.20657916,-0.11197863
expected,3.6388264,-0.5960813,-0.08329823
earnings,3.5485954,-1.0175095,-0.052184977
remain,3.698199,-0.6582049,-0.08345249
consumer,3.631615,-0.4330455,-0.0953016
july,3.5429847,-0.45625046,-0.0858483
macro,3.431199,-0.388904,-0.10517226
months,3.4975724,-0.9217681,-0.05358811
core,3.630106,-0.3518601,-0.102343075
apr,3.5278986,0.2421968,-0.14298113
labor,3.627852,-0.5639855,-0.083252385
europe,3.3668196,-0.15032841,-0.09749634
levels,3.6345305,-0.6479223,-0.07843134
risks,3.554107,-0.61190945,-0.07390964
covid,3.6100335,-0.48278114,-0.08726403
yoy,3.5644255,-0.0820248,-0.11951359
demand,3.6666477,-0.55045253,-0.08780789
change,3.4670594,-0.4891369,-0.08152745
note,3.451466,-0.9919017,-0.053217996
cycle,3.674844,-0.7379529,-0.076661825
federal,3.6566272,-0.67646694,-0.07896399
peak,3.63425,-0.66663814,-0.07913658
bond,3.5329297,-1.2559747,-0.041404452
oil,3.5205839,-0.23322931,-0.09804354
analytics,3.452477,-0.8914485,-0.06323784
economics,3.3754346,0.20221867,-0.14757963
sector,3.5038688,-0.58544356,-0.070330076
pandemic,3.6643212,-0.57259506,-0.086194865
banks,3.6724198,-0.7179545,-0.076785915
level,3.6143765,-0.6779428,-0.07456085
month,3.5047169,-0.7944857,-0.0655796
russia,3.381483,0.13781236,-0.13163805
decline,3.5633097,-0.89439386,-0.06023178
bp,3.6560438,-0.63719994,-0.08147091
haver,3.4471147,-0.8631484,-0.06457288
corporate,3.5314808,-1.2593155,-0.040879987
