,x,y,z
inflation,24.35949,-6.894069,-10.973491
growth,19.812988,-11.627652,-18.506708
exhibit,20.218468,-9.743218,11.676074
rate,26.78062,-6.5200124,1.3184259
global,17.46648,-11.218033,18.63006
market,14.5791855,-18.917437,-4.973885
investment,16.844454,-14.040424,14.845092
gdp,23.305092,-1.3189383,-9.644774
recession,17.296555,-12.100839,-0.029938715
prices,24.246506,0.8715139,-15.942475
rates,22.739182,-9.3028555,-4.079412
markets,12.865648,-23.158527,3.5667799
china,14.689535,5.3521447,-23.604677
real,19.766644,-17.212584,-3.4081564
policy,27.387112,-10.353876,-2.4099865
jan,2.814283,28.014212,-1.8012252
expect,23.071392,-3.7063968,-8.704015
energy,24.22966,0.8672793,-16.049578
jun,4.064558,28.5117,-2.8972654
strategy,17.810331,-13.98554,16.136314
economic,27.330057,-2.4817803,7.6609254
yield,23.899134,-11.249636,6.7877984
returns,23.888596,-17.580618,0.55166334
risk,14.468477,-19.264278,4.9039865
bloomberg,17.286716,-13.219786,18.024517
equity,21.200058,-20.518236,4.299051
asset,18.734514,-9.011049,18.108656
average,21.673403,-9.856475,5.799058
december,18.061485,-13.969135,15.979326
return,25.080433,-6.468883,5.7392683
fed,25.85286,-7.19158,0.80189383
forecasts,27.213022,-0.86372006,10.184145
dec,4.0755796,27.212954,-3.1558716
term,15.649459,-23.82021,-2.6842656
economy,20.9532,-10.606138,-16.76923
time,17.017338,-12.399875,-0.9819022
forecast,22.731472,-1.7580165,-9.585415
total,25.082195,-6.4634686,5.737254
usd,24.74209,15.266335,-4.2563667
price,22.49862,-13.30415,1.3955008
unicredit,19.853598,-5.9884415,19.133032
central,26.773586,-12.299376,-3.2342412
financial,20.597488,-12.692731,-9.770617
eur,24.740992,15.270427,-4.2551193
current,23.786222,11.960164,-6.890288
income,19.029543,-17.717413,1.7707695
jul,3.1379087,28.054968,-1.9404628
equities,21.694798,-21.164366,3.862534
june,19.780382,-3.6094375,17.275604
investors,19.980595,-22.688354,1.8891132
bonds,20.952108,-16.576773,5.9658685
tightening,27.338964,-10.278679,-2.4272025
supply,19.279732,-1.382789,-21.845942
services,24.165848,1.0606807,-14.342188
credit,20.82555,-17.098665,7.544902
november,17.260948,-13.057103,18.189735
cpi,27.170532,-2.6819491,-9.004777
expected,22.790838,-3.5020742,-8.96544
earnings,22.37843,-13.6618185,1.5190017
remain,24.848484,-4.945105,-15.4042015
consumer,19.024319,-16.871504,-5.358447
july,23.234621,-3.1282883,0.402472
macro,19.4335,-7.478714,18.910984
months,17.199364,-11.788217,1.0213219
core,27.180832,-3.1451023,-8.839748
apr,4.3004203,28.551756,-1.556497
labor,20.438744,-8.467581,-18.831284
europe,11.488442,6.72976,-23.602243
levels,22.870651,-9.505963,-12.723491
risks,10.539342,0.57593536,-26.708853
covid,15.535003,-4.5025477,-21.442905
yoy,27.121273,-1.6851183,-9.401146
demand,21.220837,-7.665832,-16.661505
change,27.673033,-1.8226776,8.010829
note,18.172781,-14.054088,15.871178
cycle,26.304981,-8.952737,-2.8621244
federal,25.62409,-8.966547,1.4362811
peak,23.809984,-7.533729,-10.802979
bond,24.533636,-13.096432,7.339981
oil,22.508543,1.1426228,-18.148975
analytics,16.753391,-13.131177,19.542196
economics,19.703802,-6.723837,19.093916
sector,16.869171,-4.735232,-13.796574
pandemic,23.437944,-11.10242,-13.477746
banks,26.767675,-12.308392,-3.2401588
level,22.720167,-8.971918,-12.585627
month,20.962616,-9.675177,5.290074
russia,15.034407,5.125346,-23.343979
decline,22.235361,-13.530054,1.5156854
bp,26.454626,-6.202009,0.84573424
haver,16.777092,-13.103498,19.491497
corporate,24.69005,-13.401211,7.472037
allocation,18.741781,-8.986559,18.128683
debt,17.686678,-18.015978,4.5038567
based,18.457552,-14.170641,15.521337
balance,21.930838,-5.5338764,-3.9095373
government,9.058263,-20.384674,-4.1619697
continue,13.444377,-18.021828,-10.979679
production,28.632069,-0.020227471,-10.635805
oct,3.803634,27.073587,-2.993427
ing,16.263178,25.123585,-1.0282642
reserve,25.621775,-8.962517,1.4326701
nov,3.8660676,27.123589,-3.0173094
conditions,20.641603,-12.757077,-9.7724695
portfolio,21.060884,-21.614315,4.0535164
expectations,24.258953,-6.978207,-10.96484
capital,14.941819,-14.970268,12.299736
key,8.368651,0.182639,-24.68455
increase,19.986784,-8.1633835,-6.8869414
eurozone,25.133883,-1.1811199,-4.827065
dollar,13.341444,-21.535322,4.0859303
performance,18.194132,-13.832119,13.768295
mar,3.9974082,28.157877,-2.3444233
em,17.742252,-15.239205,7.140473
relative,15.59637,-18.735828,3.8311343
funds,26.924582,-6.7972803,1.6105423
gas,22.534323,1.1382936,-18.124107
negative,23.207798,-15.629295,0.6969964
emerging,12.856982,-23.189877,3.5622318
analysis,18.75181,-8.938198,18.161926
wage,20.19773,-11.946865,-18.339928
japan,14.810765,6.88028,-23.310587
assets,18.756187,-18.155537,3.5554616
target,22.638021,-8.528718,-2.6817768
sep,3.9295955,28.130188,-2.4355357
euro,20.754261,4.650564,-12.518655
monetary,27.38306,-10.35581,-2.4153674
housing,21.590916,-5.1379495,-14.399862
basis,20.87738,-11.503147,5.5559916
european,21.629723,-4.4765058,8.324015
positive,23.760983,-17.127638,0.5435061
asia,12.133007,5.1070676,-24.018831
ukraine,19.356302,0.7905836,-20.943117
yields,24.400757,-12.905241,7.296079
base,20.472889,-9.320111,0.3028635
