,x,y,z
inflation,15.717117,-2.8441837,-0.9719055
growth,16.045935,-3.6166747,-3.0824938
exhibit,11.841198,-10.009381,2.2938855
rate,15.24246,-5.4157805,3.0677674
global,8.303412,-5.3787446,7.7462106
market,10.680738,-9.965187,1.4226547
investment,8.675378,-6.279442,7.2275786
gdp,15.096429,0.6473236,-1.4497366
recession,10.77977,-7.7586894,2.9333954
prices,14.545596,-0.8443862,-4.675226
rates,15.475466,-5.9144835,1.0762306
markets,8.763435,-12.56228,1.7477978
china,10.719719,1.5178049,3.583607
real,11.585733,-10.188951,4.752582
policy,15.61487,-6.361119,1.8904378
jan,15.3874445,4.2920966,-1.6280972
expect,15.693077,-4.0604005,-0.9024716
energy,14.457456,-0.86964786,-4.784838
jun,15.428636,4.1099973,-1.6324756
strategy,8.773757,-6.0227685,7.3794246
economic,10.66966,-3.9775236,5.4434705
yield,8.616302,-10.67329,6.0642056
returns,10.353392,-12.1429825,4.187219
risk,9.9692745,-11.662686,1.9304793
bloomberg,8.806183,-5.8245406,7.4333344
equity,8.995736,-12.626752,4.4530306
asset,7.7735023,-5.6853166,8.184355
average,9.403759,-9.122553,6.0446906
december,8.7638,-6.217022,7.063149
return,8.965544,-9.22971,7.0373054
fed,15.307143,-5.5439053,2.9385777
forecasts,10.513268,-3.6699626,5.6375813
dec,15.425577,4.153851,-1.579107
term,10.368765,-11.714254,1.2714862
economy,15.678865,-4.301136,-3.6142075
time,10.5628605,-7.603572,2.6750398
forecast,14.812107,0.22220571,-0.9635842
total,8.979826,-9.188868,7.053177
usd,13.545773,5.584877,-3.5851681
price,14.330292,-1.9013164,-1.7456241
unicredit,11.507519,3.961886,5.405835
central,15.602964,-6.86187,1.5017724
financial,15.513233,-7.167861,-0.31257993
eur,13.554037,5.5761952,-3.5887249
current,12.396919,4.8330684,-2.5088353
income,11.44765,-10.515982,4.7507358
jul,15.400976,4.2436748,-1.6147714
equities,9.005287,-12.883504,4.279511
june,11.65559,3.9800224,4.5262737
investors,8.848512,-12.957042,3.352926
bonds,8.446502,-11.804166,5.276619
tightening,15.633026,-6.2850604,1.9457096
supply,13.801516,-3.0328705,-5.9590936
services,14.826367,-0.39566186,-3.6712537
credit,8.366628,-11.038922,5.4814444
november,8.731233,-5.686545,7.569106
cpi,15.622246,-0.9786768,-0.70069665
expected,15.126807,-3.3523927,-0.9221207
earnings,11.446837,-10.598348,2.9454112
remain,15.740096,-5.365044,-2.8691328
consumer,15.636818,-0.9152982,-2.8523998
july,14.3973255,-4.5075183,3.3324213
macro,11.64987,4.00834,5.7983146
months,10.090562,-8.477538,4.719026
core,15.61195,-1.3092096,-0.70289683
apr,15.413388,4.2288985,-1.6081562
labor,15.7148485,-3.4396977,-4.154422
europe,10.709072,0.9246015,3.2239168
levels,16.091389,-2.3413837,-3.0348413
risks,11.69293,-0.9174541,3.451701
covid,13.737772,-3.6112087,-5.3035965
yoy,15.604154,-0.59241754,-0.7388887
demand,15.352353,-4.0196276,-3.9584346
change,10.638118,-3.9437757,5.5763345
note,8.701506,-6.579565,7.0858383
cycle,15.749338,-6.0231047,1.7805172
federal,15.418254,-5.7855654,2.9913883
peak,15.48078,-3.3947756,-0.62163395
bond,8.706902,-11.002443,5.8783307
oil,14.013919,-0.94607794,-5.1523895
analytics,8.646557,-5.5705075,7.784877
economics,11.570268,3.9920743,5.503185
sector,14.636485,-4.8814874,-5.2364635
pandemic,16.14872,-2.5713346,-3.2731633
banks,15.605103,-6.8852277,1.4538064
level,14.564441,-4.0849414,-0.9854198
month,9.46721,-8.945381,5.9481716
russia,10.774887,1.8184642,3.8297596
decline,11.431082,-10.642384,3.1223543
bp,15.256196,-5.3967586,3.079482
haver,8.70838,-5.571408,7.7232413
corporate,8.6423,-11.023829,5.84333
allocation,7.8182144,-5.6629405,8.164907
debt,9.45762,-11.6147175,3.9903898
based,8.529318,-7.077576,6.938801
balance,14.527281,-3.3960357,1.5768968
government,8.647222,-8.407273,-2.2460563
continue,14.23181,-6.530115,-3.8654094
production,14.914256,1.8449981,-3.090932
oct,15.405995,4.2340384,-1.6042746
ing,13.539988,6.2785425,-2.7334101
reserve,15.41081,-5.780962,2.9741297
nov,15.407244,4.212657,-1.607966
conditions,15.565657,-7.1883645,-0.28533417
portfolio,8.935703,-12.8249,4.3366423
expectations,15.693428,-2.967121,-0.9787912
capital,7.204791,-6.7901063,6.619369
key,12.646507,-7.8518624,-4.1087503
increase,14.99444,-5.236746,-0.59472257
eurozone,13.228912,-0.45511806,-0.47511402
dollar,8.877216,-11.682542,2.822844
performance,8.351941,-7.4100976,6.943561
mar,15.411904,4.2247224,-1.6064187
em,7.2050266,-11.130433,4.523794
relative,9.423523,-11.44637,3.6741788
funds,15.266155,-5.5277743,3.1886375
gas,14.105054,-0.9176663,-5.1025677
negative,10.94969,-11.490037,3.3916948
emerging,8.743104,-12.528404,1.6305038
analysis,8.057365,-5.589273,7.991616
wage,15.937005,-3.7084005,-2.6249487
japan,10.776329,1.9470949,3.8153481
assets,9.364258,-12.338456,3.8936198
target,15.282508,-4.4340606,2.1227632
sep,15.409992,4.2233,-1.608484
euro,13.775145,1.9151472,-3.635791
monetary,15.644366,-6.435583,1.7983679
housing,15.694694,-3.7707934,-2.5938904
basis,9.294113,-9.233148,5.738834
european,10.844004,1.7180142,0.820463
positive,10.539855,-11.866699,3.6001499
asia,10.755343,0.615684,3.2545354
ukraine,13.607188,-2.7693222,-6.009893
yields,8.747751,-10.852977,5.8243775
base,9.719262,-6.358629,4.983672
ecb,15.196815,-5.4138093,2.8935456
view,8.927916,-12.406479,2.0948393
rise,15.435295,-3.742955,-1.5295212
fixed,11.309194,-10.658786,4.722403
rising,15.630201,-5.2273674,-2.896533
activity,15.571384,-3.9143574,-3.7138898
simple,11.825007,-10.106953,2.2624295
hike,15.280943,-5.5072308,2.9101005
treasury,8.706437,-10.560395,5.966419
remains,15.566185,-4.0594997,-3.4601042
strong,14.578218,-7.0567694,-2.9357743
