,x,y,z
inflation,2.9986322,-0.16304784,-0.024442956
growth,3.0316694,-0.17042767,-0.02481703
exhibit,3.1231651,-0.19167502,-0.025880516
rate,3.0072527,-0.16533771,-0.024546102
global,2.9493482,-0.15451278,-0.023926092
market,3.1114247,-0.18869221,-0.025738651
investment,3.0366209,-0.17341478,-0.024911696
gdp,2.849115,-0.13134378,-0.022763314
recession,3.096733,-0.185493,-0.02557177
prices,2.9311142,-0.14854756,-0.023679584
rates,3.0893197,-0.18307157,-0.025474045
markets,3.181535,-0.20454161,-0.02654474
china,2.6536486,-0.09051485,-0.020580387
real,3.0549345,-0.17608337,-0.025096258
policy,3.0409882,-0.17242779,-0.02492579
jan,2.597394,-0.07789764,-0.019937545
expect,3.066655,-0.17778143,-0.025212113
energy,2.8974826,-0.1412842,-0.02330045
jun,2.644084,-0.08765151,-0.02045759
strategy,3.0140142,-0.1685397,-0.024655433
economic,2.929135,-0.14892232,-0.023671543
yield,3.188841,-0.20637864,-0.026632953
returns,3.2131255,-0.21151222,-0.026905883
risk,3.188954,-0.20602739,-0.026627084
bloomberg,2.9882019,-0.1629524,-0.024365
equity,3.2304316,-0.21523611,-0.027103309
asset,3.108457,-0.18901218,-0.025726292
average,3.0431278,-0.17448899,-0.024977049
december,3.0145624,-0.16866978,-0.024661839
return,3.1459956,-0.19714794,-0.02614956
fed,3.019894,-0.16804498,-0.024689734
forecasts,2.6800432,-0.09638568,-0.020883039
dec,2.6799176,-0.09543085,-0.020863188
term,3.1551557,-0.1985362,-0.026241954
economy,3.0514326,-0.174423,-0.025037045
time,3.0897448,-0.1840834,-0.025495922
forecast,2.8407912,-0.12982345,-0.022674346
total,3.0918713,-0.18538788,-0.025536623
usd,2.4930596,-0.05659875,-0.018781211
price,2.9759088,-0.15868065,-0.024196556
unicredit,2.533929,-0.0664226,-0.019261353
central,3.056509,-0.17587006,-0.025099736
financial,3.0524418,-0.17521699,-0.025056655
eur,2.4932175,-0.05664435,-0.018782105
current,2.6604607,-0.091934904,-0.020658048
income,3.097649,-0.18592781,-0.025587743
jul,2.6087074,-0.080377765,-0.020064536
equities,3.2331042,-0.21594828,-0.027133787
june,2.537201,-0.0673586,-0.019302832
investors,3.2149267,-0.21190317,-0.026924066
bonds,3.2290542,-0.21505341,-0.027088739
tightening,3.052947,-0.17504717,-0.025058927
supply,2.9351802,-0.14943191,-0.02372641
services,2.8882458,-0.13940127,-0.023198154
credit,3.2034066,-0.20965557,-0.026798826
