,x,y,z
inflation,14.392997,-2.9691885,4.416544
growth,14.858668,-1.3499075,4.2935333
exhibit,16.138083,-6.405598,-2.7277155
rate,16.506525,-4.938754,2.7621756
global,8.838101,-8.06095,-3.1085405
market,15.834169,-4.7287254,-1.5562173
investment,9.582711,-8.081285,-2.8226364
gdp,10.739468,-3.378218,5.729351
recession,14.550245,-5.2176113,-0.6854433
prices,11.799921,-0.5560097,4.9971037
rates,16.545738,-3.4345176,2.4203744
markets,14.412635,-6.4909124,-4.7794533
china,7.3932695,-6.120246,2.5809925
real,14.121673,-7.4530525,-0.45983806
policy,16.899334,-3.8932886,2.29676
jan,11.909031,3.5685093,-5.890756
expect,15.338812,-2.6519344,3.611723
energy,11.744682,-0.46163687,4.951059
jun,11.908511,3.5467033,-5.8493342
strategy,9.372744,-8.137029,-2.778044
economic,8.683417,-7.4415607,-0.19243051
yield,12.542349,-8.559675,-2.3809593
returns,14.131409,-8.321877,-2.985459
risk,14.673473,-6.5521708,-2.7870383
bloomberg,9.235927,-8.1359005,-2.733728
equity,13.86682,-8.156408,-3.7264664
asset,9.372771,-8.298947,-3.8651686
average,11.670338,-7.8971634,-0.7457085
december,9.602248,-7.985419,-2.6626031
return,11.602165,-8.632633,-1.4208442
fed,16.5975,-4.7730527,2.6922379
forecasts,8.444286,-7.4181004,-0.07207192
dec,11.91087,3.5534732,-5.8712044
term,14.807729,-6.2392464,-2.1120822
economy,15.036705,-0.68561494,3.4481819
time,14.151479,-5.2582574,-1.157442
forecast,10.977667,-3.5907838,5.321156
total,11.500375,-8.610856,-1.2686552
usd,6.196668,-3.4469023,6.2345076
price,12.6564865,-2.9682312,4.324212
unicredit,5.857922,-7.399905,1.7547712
central,17.16727,-3.4698257,1.7745849
financial,17.06876,-2.3490782,2.1399722
eur,6.213265,-3.4547246,6.234497
current,6.374699,-3.8988833,5.3083434
income,14.220355,-7.6209874,-0.8328493
jul,11.909492,3.563629,-5.8830676
equities,14.064757,-8.081684,-3.9867406
june,5.6195426,-6.9211617,1.8177558
