,x,y,z
inflation,19.101528,-3.556323,5.24653
growth,22.154543,-4.4999475,4.950739
exhibit,10.2333145,-7.098101,11.452993
rate,16.42528,-5.7324295,11.638591
global,8.126928,-4.2209697,13.452564
market,12.807841,-16.252028,4.1111717
investment,6.6319923,-5.885747,12.462933
gdp,17.97129,0.13190866,5.589185
recession,10.685983,-11.849122,3.9858437
prices,22.001701,-0.42909408,2.4755266
rates,18.275766,-7.3430824,8.49372
markets,8.081062,-19.2934,6.717793
china,10.39192,3.3847868,9.752201
real,14.824089,-10.760833,7.396389
policy,19.013224,-7.0266147,10.616344
jan,17.383823,3.8965616,12.927992
expect,17.891836,-5.915821,5.4544797
energy,22.078175,-0.43339676,2.3562608
jun,17.875134,3.0397828,12.3722105
strategy,6.9212375,-5.8676405,13.094494
economic,7.4456944,-1.680808,9.704472
yield,6.8560643,-11.640195,11.785113
returns,11.197821,-13.353145,10.544276
risk,11.283242,-15.997637,7.3023314
bloomberg,6.9801483,-5.463642,13.540823
equity,8.724918,-16.47188,11.569074
asset,9.508614,-4.3869753,13.370306
average,8.776037,-10.553278,10.4383335
december,7.076749,-6.2676325,12.782048
return,10.538073,-12.449664,10.784058
fed,16.61964,-6.0142264,11.3348675
forecasts,7.2653375,-0.51445633,8.569818
dec,17.804157,3.1484928,12.462838
term,12.151586,-15.449045,7.0326657
economy,22.83322,-5.7439585,4.673946
time,10.660095,-11.846903,3.2094193
forecast,17.607141,-0.49123678,5.123115
total,10.496734,-12.325724,10.798723
usd,18.128578,8.719526,9.370398
price,12.467337,-10.720672,6.1740723
unicredit,10.652313,-2.3765645,14.796643
central,20.115934,-7.6223497,10.203382
financial,20.416817,-10.943842,6.2823257
eur,18.132086,8.71825,9.374155
current,19.726246,8.943652,6.796217
income,14.660276,-11.145595,7.910823
jul,17.551273,3.5996737,12.7518835
equities,9.134639,-16.86578,11.747987
june,9.532747,-0.91244596,14.345666
investors,9.388689,-18.164484,10.731483
bonds,7.2479544,-14.361144,10.876327
tightening,18.867773,-7.0408773,10.56451
supply,23.773224,-2.0766478,-0.5471727
services,21.032858,-0.06952647,3.2356608
credit,6.2844243,-13.63269,10.891242
november,7.1112494,-5.2385874,13.658411
cpi,19.4906,-1.5129426,6.0091677
expected,17.384476,-5.6877713,4.918338
earnings,12.322173,-10.956725,6.131395
remain,21.936258,-8.104196,3.4043136
consumer,15.481048,-10.299521,5.8929954
july,14.841479,-3.8600318,10.516023
macro,9.964739,-3.3621795,14.19964
months,10.401459,-10.35438,5.3673363
core,19.417624,-1.9161938,5.9024115
apr,17.59696,3.5187538,12.705084
labor,23.823114,-4.5304704,3.0319412
europe,11.073642,2.9920387,8.342872
levels,16.193575,-8.81111,4.3155684
risks,14.832844,1.4391179,9.396791
covid,22.501482,-3.6430395,-1.5449793
yoy,19.536888,-0.93665904,6.107765
demand,22.773443,-5.227272,2.7524867
change,7.326434,-1.1164744,9.529375
note,7.0071,-6.589934,12.689219
cycle,18.066803,-7.3073096,9.893917
federal,16.393456,-7.1363244,11.249707
peak,18.471666,-4.204194,5.1496406
bond,6.668094,-12.625428,12.139057
oil,22.444832,-0.2822939,1.1985599
analytics,7.2237096,-4.941147,14.083901
economics,10.494775,-2.6568012,14.637861
sector,13.922023,-5.6363387,2.5136366
