,x,y,z
inflation,3.2432258,-0.60286766,-0.042080026
growth,3.2939537,-0.593328,-0.041669827
exhibit,3.511415,-0.496892,-0.037928473
rate,3.3093975,-0.562322,-0.040653765
global,3.2921078,-0.46239027,-0.03722171
market,3.4702523,-0.51352847,-0.038649973
investment,3.421729,-0.47149798,-0.037206054
gdp,3.0331259,-0.57747805,-0.041594677
recession,3.4448607,-0.5024891,-0.038402416
prices,3.1359143,-0.5943844,-0.042026207
rates,3.395611,-0.5746597,-0.04086444
markets,3.6163254,-0.5051285,-0.037930265
china,2.7561195,-0.494524,-0.039368875
real,3.3601246,-0.5447822,-0.03987395
policy,3.3448143,-0.577464,-0.041108742
jan,2.6396034,-0.61849487,-0.043474924
expect,3.3459127,-0.5956899,-0.041648977
energy,3.0965455,-0.58457434,-0.041808855
jun,2.691865,-0.62671125,-0.043650847
strategy,3.3900871,-0.47311822,-0.037363723
economic,3.1957011,-0.503975,-0.03903259
yield,3.6431959,-0.502325,-0.03769717
returns,3.667508,-0.510813,-0.037926435
risk,3.6207926,-0.50679183,-0.037983604
bloomberg,3.3575022,-0.47592467,-0.037459176
equity,3.7006204,-0.5129731,-0.037888505
asset,3.5110214,-0.4912193,-0.037609614
average,3.403774,-0.5047214,-0.038373552
december,3.3942387,-0.46784103,-0.037164923
return,3.571805,-0.497165,-0.03770482
fed,3.3212209,-0.56707263,-0.04079883
forecasts,2.8258462,-0.49689674,-0.039313383
dec,2.7347095,-0.61821294,-0.04329405
term,3.5640836,-0.49949136,-0.037929364
economy,3.3278544,-0.59663135,-0.04173827
time,3.4386525,-0.48423615,-0.037835438
forecast,3.0370355,-0.56211925,-0.041097656
total,3.5072865,-0.49052772,-0.037672434
usd,2.511238,-0.5232428,-0.040750787
price,3.2461507,-0.55369866,-0.040474713
unicredit,2.5854323,-0.5329651,-0.04052063
central,3.363802,-0.56953645,-0.040799104
financial,3.3510087,-0.5566283,-0.040399324
eur,2.5157697,-0.5279059,-0.040892817
current,2.7373908,-0.48017755,-0.03907335
income,3.4518738,-0.5253988,-0.038996894
jul,2.6540887,-0.61943394,-0.043479286
equities,3.7081177,-0.51442504,-0.037913237
june,2.568173,-0.5136747,-0.039948635
investors,3.6812336,-0.5101097,-0.03787948
bonds,3.7014334,-0.51045966,-0.03779666
tightening,3.3546922,-0.58019656,-0.0411739
supply,3.1694038,-0.5607353,-0.04094317
services,3.0741243,-0.6021573,-0.042356968
credit,3.6619666,-0.50185776,-0.037638552
november,3.3367999,-0.4761237,-0.0375194
cpi,2.9788463,-0.603712,-0.042507928
expected,3.2952085,-0.57887936,-0.041212805
earnings,3.5364084,-0.52068347,-0.038682684
remain,3.3652987,-0.60167044,-0.041802984
consumer,3.1708167,-0.59806883,-0.04203843
july,3.091946,-0.5258071,-0.03989389
macro,3.0434265,-0.5051654,-0.038857147
months,3.442623,-0.5013315,-0.038298495
core,3.110454,-0.6003579,-0.04220012
apr,2.663687,-0.62279123,-0.04356636
labor,3.2736537,-0.5737977,-0.04114099
europe,2.9168036,-0.47208035,-0.03854253
levels,3.3298137,-0.57287174,-0.040959947
risks,3.288103,-0.5295593,-0.039698016
covid,3.2114558,-0.5691416,-0.04112581
yoy,2.873152,-0.60023636,-0.042549476
demand,3.2796555,-0.5953824,-0.041807607
change,3.136815,-0.51143056,-0.039263822
note,3.4450102,-0.47511166,-0.037288375
cycle,3.399727,-0.57519585,-0.040874634
federal,3.3336902,-0.56226385,-0.04062817
peak,3.3391078,-0.5723284,-0.04087258
bond,3.6712172,-0.50714433,-0.037771523
oil,2.9853823,-0.5429613,-0.04073279
analytics,3.3565912,-0.48125082,-0.03762948
economics,2.6682158,-0.5226408,-0.040044107
sector,3.2218494,-0.51559395,-0.03941297
pandemic,3.2828958,-0.59421664,-0.041754376
banks,3.3798563,-0.57317233,-0.04089097
level,3.3432052,-0.56082684,-0.04055429
month,3.3219788,-0.51265925,-0.038858764
russia,2.7045777,-0.5112331,-0.039894886
decline,3.4557753,-0.5343615,-0.03933411
bp,3.2998557,-0.5638234,-0.04073927
haver,3.3211248,-0.48017237,-0.037672073
corporate,3.6715024,-0.50549984,-0.037733287
allocation,3.493537,-0.49082875,-0.037645627
debt,3.6735759,-0.50914073,-0.037870716
based,3.490308,-0.47944453,-0.037347734
balance,3.2221394,-0.53433365,-0.04000547
government,3.3121257,-0.43201303,-0.036588926
continue,3.3710222,-0.5752305,-0.040956765
production,2.7654397,-0.58004904,-0.042138506
oct,2.6670382,-0.6189126,-0.043440256
ing,2.5656197,-0.5454827,-0.041313723
reserve,3.3309941,-0.5641039,-0.040678002
nov,2.6743774,-0.6205198,-0.043479644
conditions,3.319516,-0.56002146,-0.040565517
portfolio,3.6975822,-0.5117705,-0.03785869
expectations,3.271976,-0.60229343,-0.041977417
capital,3.4825118,-0.44934264,-0.03646658
