,x,y,z
inflation,3.5570352,-0.5868989,-0.092187606
growth,3.546283,-0.65116036,-0.08666378
exhibit,3.358938,-1.0865282,-0.048479103
rate,3.5260332,-0.7262331,-0.08023105
global,3.2942367,-0.8668613,-0.060460333
market,3.396606,-0.9978067,-0.054364696
investment,3.3118,-1.0200372,-0.052004937
gdp,3.4680502,-0.34842703,-0.10188262
recession,3.3698497,-0.9672938,-0.05307328
prices,3.5189774,-0.44904014,-0.09745688
rates,3.5409048,-0.8059341,-0.07623894
markets,3.3799987,-1.228619,-0.041861594
china,3.2861729,0.011310715,-0.11670905
real,3.4463181,-0.80572563,-0.07121615
policy,3.5599258,-0.7512787,-0.080805786
jan,3.4507263,0.18759516,-0.13895667
expect,3.5630841,-0.7180238,-0.08362067
energy,3.4998395,-0.40931532,-0.09825362
jun,3.4711967,0.130518,-0.13682947
strategy,3.315219,-0.9833041,-0.055162195
economic,3.3704898,-0.6250854,-0.07400255
yield,3.3755832,-1.2741863,-0.04060235
returns,3.393146,-1.2896955,-0.04084868
risk,3.3818176,-1.2229611,-0.04168221
bloomberg,3.3134289,-0.94687384,-0.057585813
equity,3.396959,-1.3407445,-0.03830559
asset,3.3487437,-1.1016264,-0.050815936
average,3.365953,-0.95316637,-0.058045536
december,3.3049915,-0.9873562,-0.05313156
return,3.3631299,-1.1732969,-0.045410916
fed,3.5360415,-0.73378,-0.08042943
forecasts,3.2864573,-0.18540758,-0.09951532
dec,3.464588,0.087850064,-0.13337454
term,3.3665402,-1.1539814,-0.04334307
economy,3.5642316,-0.6940116,-0.08484014
time,3.333579,-0.968796,-0.049045943
forecast,3.4418926,-0.3832738,-0.09745386
total,3.3521295,-1.0996665,-0.0486557
usd,3.289441,0.2991496,-0.1308407
price,3.4537268,-0.6589517,-0.07913015
unicredit,3.308724,0.2327334,-0.14336547
central,3.5460014,-0.7765593,-0.07803161
financial,3.4980843,-0.7743288,-0.07462434
eur,3.2934172,0.29614377,-0.13097413
current,3.2481453,0.033210196,-0.10798443
income,3.416808,-0.9611995,-0.060108595
jul,3.4560487,0.17048079,-0.13811313
equities,3.4003093,-1.3513681,-0.037948884
june,3.2772057,0.2503917,-0.14115754
investors,3.3922713,-1.3192533,-0.038664788
bonds,3.3891737,-1.3413264,-0.037880883
tightening,3.5631154,-0.7589035,-0.080791205
supply,3.4788375,-0.5102313,-0.08926776
services,3.5147977,-0.3741893,-0.10273906
credit,3.3730268,-1.294955,-0.038861033
november,3.3147209,-0.9247418,-0.05937912
