,x,y,z
inflation,16.640123,-2.8074708,3.8902297
growth,19.260021,-3.420278,2.8409615
exhibit,8.776724,-5.445158,8.302705
rate,14.311683,-4.6185746,9.295927
global,6.9501576,-3.6847997,10.948898
market,11.093658,-13.37916,3.406643
investment,5.5786653,-4.910863,10.049115
gdp,15.602858,0.20471439,4.2581367
recession,8.905585,-9.764039,3.5760353
prices,18.757751,0.047327984,1.1383934
rates,15.772129,-5.9356303,6.556746
markets,7.86446,-15.861477,6.0491834
china,9.331938,2.0543387,7.9097905
real,12.673175,-8.649817,5.6881733
policy,16.345875,-6.0033045,8.361153
jan,14.9136715,3.1135209,10.157841
expect,15.626193,-4.592438,3.9968886
energy,18.81327,0.06202506,0.99920446
jun,15.014573,2.9340436,10.036766
strategy,5.7414494,-4.787149,10.563476
economic,6.7578263,-1.5295444,7.6584134
yield,6.067105,-9.553522,10.148764
returns,9.999667,-10.473637,8.965641
risk,9.713854,-12.887471,6.2552643
bloomberg,5.82471,-4.4344587,10.928008
equity,8.102206,-13.107929,10.014532
asset,7.9961834,-4.003924,10.950309
average,7.7995434,-8.46381,8.991615
december,5.788989,-5.0713654,10.232761
return,9.43552,-9.751791,9.38745
fed,14.400185,-4.8290744,9.120757
forecasts,6.232875,-0.8154491,6.9699945
dec,14.989773,2.9681008,10.070394
term,10.540453,-12.4150505,5.9326
economy,19.686722,-4.302441,2.3544796
time,8.880748,-9.83375,2.8678384
forecast,15.274904,-0.38533026,3.9229243
total,9.392652,-9.632124,9.431851
usd,15.108021,7.8028474,7.5805593
price,10.49235,-8.560303,5.6105967
unicredit,9.360596,-2.4802015,12.096779
central,17.107208,-6.5959597,7.9670477
financial,17.32326,-8.920748,4.5346947
eur,15.111489,7.8007426,7.5832725
current,16.52311,7.7798448,5.5253286
income,12.605525,-8.954203,6.1201396
jul,14.948921,3.0469928,10.121408
equities,8.42754,-13.346568,10.149954
june,8.711171,-1.1309476,11.79651
investors,8.704934,-14.502685,9.414099
bonds,6.3563795,-11.684287,9.500742
tightening,16.216461,-5.973182,8.325804
supply,19.787827,-1.1213771,-1.9782783
services,18.01018,0.23851825,1.9722463
credit,5.6645675,-11.045173,9.445228
november,5.975884,-4.2778673,11.044577
cpi,16.958805,-1.1149352,4.60903
expected,15.166181,-4.2729383,3.5182645
earnings,10.41266,-8.746332,5.5803127
remain,18.789347,-6.4746056,2.189704
consumer,13.209786,-8.267192,4.4430084
july,12.977584,-3.0364897,8.46679
macro,8.572249,-3.2219822,11.593875
months,8.609085,-8.743732,4.5128613
core,16.90939,-1.4463147,4.51162
apr,14.958726,3.0282946,10.112458
labor,20.118372,-3.3506289,0.9919568
europe,9.65918,1.8041602,6.7349586
levels,14.014882,-6.8002915,3.0324247
risks,12.682304,0.752235,7.2129045
covid,18.905054,-2.9244242,-2.3019376
yoy,16.971573,-0.64004886,4.698948
demand,19.348722,-4.1384,1.046627
change,6.6019177,-1.3310466,7.5639324
note,5.721372,-5.382111,10.170979
cycle,15.626989,-5.932419,7.8161054
federal,14.242238,-5.695358,9.081609
peak,16.187714,-3.287379,3.8201096
bond,5.9266276,-10.168377,10.46547
oil,18.949896,0.26845062,-0.014126388
analytics,6.1165357,-4.0892916,11.339049
economics,9.187426,-2.6780305,11.976092
sector,11.922617,-4.3513875,2.4693413
pandemic,20.483152,-2.4284072,2.8283114
banks,17.124184,-6.6113434,7.9388843
level,14.433508,-5.9432244,2.7992187
month,7.843549,-8.442804,8.675603
russia,9.256832,2.165406,8.322851
decline,10.403318,-8.622904,5.4952884
bp,14.427093,-4.4847145,9.245763
haver,6.0906615,-4.1059165,11.285519
corporate,5.7915006,-10.3229885,10.481692
allocation,7.955471,-3.9704785,10.972052
debt,9.009193,-12.270938,8.027775
based,5.7091694,-5.907626,9.926229
balance,14.508936,-1.8234031,6.854072
government,7.0105224,-15.293483,-1.3567123
continue,15.473545,-11.911898,0.9215073
production,17.976048,2.2546916,3.9124775
oct,14.957148,3.030721,10.112233
ing,12.993198,7.8383946,7.901267
reserve,14.247767,-5.6844077,9.072582
nov,14.961452,3.023184,10.106253
conditions,17.347433,-8.955637,4.5624576
portfolio,8.320135,-13.356973,10.09242
expectations,16.596323,-2.8941376,3.8490355
capital,4.8254733,-5.1562533,8.162262
key,11.949073,-12.244069,0.7380467
increase,15.6951475,-6.087502,3.898311
eurozone,12.822205,0.3685344,2.2733264
dollar,7.196257,-14.519575,6.305606
performance,5.7811728,-6.266644,9.47162
mar,14.96454,3.0176718,10.104157
em,5.5661163,-11.744822,7.6410613
relative,9.1693735,-12.305678,7.2165976
funds,14.138964,-4.80439,9.496268
gas,18.957159,0.2530506,0.110653535
negative,10.826244,-10.637468,7.9099674
emerging,7.850699,-15.865281,6.000852
analysis,7.738266,-3.8948247,10.983795
wage,18.775915,-3.620231,2.8757038
japan,9.42229,1.8173407,8.761667
assets,8.818948,-12.538889,8.601369
target,14.732317,-4.332065,6.8870277
sep,14.964947,3.0172832,10.103048
euro,16.334648,3.2171612,2.5880053
monetary,16.384808,-6.0332885,8.333379
housing,17.934551,-4.2159686,2.4598281
basis,7.0029993,-8.508442,8.728493
european,7.6994314,-0.92450565,2.9645379
positive,10.541186,-10.77899,8.327167
asia,10.148762,1.111144,7.150497
ukraine,19.188751,-0.53549886,-1.9251198
yields,5.9190087,-10.029178,10.379345
base,8.140113,-5.1507134,6.7739873
ecb,14.438278,-4.6050787,8.974021
view,8.868375,-14.90084,6.978251
rise,16.430035,-4.4655414,2.9496605
fixed,12.540896,-9.1081505,6.3389144
rising,18.700977,-6.306591,2.1295705
activity,19.431644,-3.9759421,2.3853738
simple,8.983271,-5.4172125,8.391644
hike,14.495006,-4.651742,9.043815
treasury,6.0114827,-9.706703,10.149313
remains,19.57392,-3.9513445,1.8431506
strong,14.31384,-10.481915,2.6462784
support,18.629093,-4.673244,0.2743816
annual,9.373033,-8.019003,9.705593
percent,15.3868475,-1.1455559,4.0469456
spending,13.446901,-8.283072,3.7756126
trend,19.59348,-3.2673419,2.6092875
nominal,12.671525,-8.505683,5.4678454
food,18.417799,0.14184262,1.6176058
stocks,6.551345,-11.777962,9.010328
industrial,17.868414,2.205752,3.9444036
trade,16.800127,2.9942238,2.2327576
range,14.579462,-4.4308577,6.9532394
public,4.6940594,-15.859658,2.9431584
october,6.5460773,-4.267033,8.704533
pre,20.503038,-2.403087,2.8360624
aug,14.95926,3.027713,10.111479
volatility,7.340585,-13.688901,7.901024
consumption,17.906384,2.258528,2.4855664
january,8.563329,-12.635475,0.8782182
cash,8.892304,-12.472344,7.9192877
pressure,18.594183,-5.960619,2.1292646
including,15.137968,-11.857666,0.9722744
insights,8.958853,-5.422575,8.376773
commodities,8.410664,-15.519341,7.597833
median,7.5390778,-8.559684,8.854659
headline,16.919552,-1.2925525,4.5527687
bps,14.325298,-4.50115,9.278306
spreads,5.874985,-10.1356535,10.383645
start,8.832838,-9.47314,3.634778
recovery,18.87839,-6.634782,-2.5738876
manufacturing,17.322742,1.9953234,4.524892
period,7.8038797,-8.047812,4.9798474
consensus,13.195081,1.1792598,3.497863
fiscal,17.581232,-6.1711235,6.058529
unemployment,15.374662,-1.1741594,3.940428
ratio,7.196166,-8.686651,8.40426
yr,8.599933,-8.199081,9.408692
major,17.37814,-6.9850826,6.159643
feb,14.959067,3.0281932,10.110505
impact,18.72464,-6.4130616,2.1900196
measures,16.39301,-3.5222738,3.502873
eu,10.227246,-0.25613087,11.917473
sales,17.19173,2.4450839,3.7666178
prior,8.2549095,-5.4500475,6.728142
germany,9.53606,1.8177209,9.505633
companies,14.148202,-11.799585,1.8764197
quarter,10.008956,-7.857755,4.25265
week,9.497817,-3.5476089,6.0786343
sectors,4.7414336,-15.850592,2.5485823
short,10.5893545,-12.285311,5.671555
spread,6.1919765,-9.335713,9.918803
war,19.177597,-0.6032455,-1.8942082
tax,4.6055393,-10.198858,7.265137
valuations,8.323762,-13.407713,9.980334
exports,17.848883,2.265149,3.6840441
potential,8.822547,-14.678129,6.0007744
probability,8.639013,-11.468607,4.934788
household,12.969775,-8.34905,4.9365635
costs,18.943829,-4.4843125,0.7631891
pressures,18.31884,-5.2534056,2.1025424
business,17.869514,2.2522929,2.3832486
sources,8.161769,-1.32012,11.235249
increased,9.840724,-7.317537,2.4430997
