,x,y,z
inflation,22.494602,-10.081777,-3.1167383
growth,24.063519,-8.696823,-1.2484537
exhibit,13.7501745,-17.811302,-1.478312
rate,18.934616,-15.182336,-5.2300496
global,7.445088,-11.084087,-6.422454
market,13.278318,-16.78623,0.5329536
investment,5.933236,-11.558698,-5.606438
gdp,21.711517,-1.844292,-4.3725996
recession,10.914372,-13.042991,-2.4164703
prices,23.421967,-3.613726,-0.32560846
rates,20.613134,-13.94492,-3.4363353
markets,11.909719,-18.783062,0.25272208
china,11.583817,-1.7460712,-7.3263707
real,10.467465,-16.835451,-4.929622
policy,20.115414,-15.488245,-3.482271
jan,23.292505,2.6222973,-4.92066
expect,21.759474,-11.301096,-2.846572
energy,23.411806,-3.6318345,-0.20069425
jun,23.308615,1.9524132,-4.875216
strategy,5.975939,-11.3847475,-5.7933483
economic,9.769516,-8.812964,-4.903243
yield,6.329883,-17.567226,-2.7825735
returns,9.190924,-21.025259,-0.026163086
risk,10.875889,-18.646807,2.4702225
bloomberg,6.070217,-11.113697,-5.981865
equity,8.787152,-19.713469,-1.619081
asset,7.992726,-12.132518,-6.627238
average,6.7166567,-15.757458,-3.876744
december,5.8484015,-11.489957,-5.2743926
return,4.8470345,-15.500994,-3.5367496
fed,19.07225,-15.270619,-4.90424
forecasts,8.898888,-7.833773,-5.3407445
dec,23.307556,2.0884664,-4.9749203
term,11.265523,-18.636324,3.1055064
economy,24.081003,-9.219428,0.041774888
time,10.920086,-12.777345,-1.9294342
forecast,21.27405,-2.288888,-5.0088644
total,4.8518634,-15.47674,-3.5530941
usd,21.696602,5.2468944,-2.1718614
price,20.75265,-6.481462,-2.968439
unicredit,11.513866,1.3792006,-10.686305
central,20.346485,-15.797318,-2.4488037
financial,22.075275,-13.902237,-1.0072021
eur,21.704285,5.243991,-2.1668725
current,20.353224,4.0445004,-0.6242056
income,10.47772,-17.232853,-4.807936
jul,23.304544,2.3921921,-4.937265
equities,9.190951,-20.009483,-1.5574541
june,12.246161,1.568877,-9.465811
investors,10.358827,-19.493301,-1.3008287
bonds,7.1953692,-18.885641,-1.4198834
tightening,20.139463,-15.408826,-3.6017716
supply,23.406158,-6.105337,2.748558
services,23.063396,-3.1472707,-1.5804427
credit,6.927604,-17.885757,-1.690369
november,6.323219,-11.0818405,-6.227467
cpi,22.997408,-2.3130882,-5.2477136
expected,21.135468,-9.191221,-3.2627313
earnings,14.175976,-18.366007,0.4594905
remain,23.129936,-10.995908,0.043184012
consumer,22.873247,-5.6241946,-3.2167656
july,17.56257,-13.846274,-5.774244
macro,11.736409,1.3352289,-11.288652
months,8.804443,-14.642436,-3.349621
core,23.00164,-2.6053283,-5.3303556
apr,23.315063,2.3377242,-4.9413457
labor,23.959297,-7.4498844,-0.14612158
europe,12.111059,-2.331724,-6.513379
levels,23.566309,-7.3479557,-2.6109734
risks,12.800968,-5.298643,-6.4971766
covid,22.530602,-6.9372354,2.323878
yoy,22.92483,-1.8374244,-5.1049237
demand,23.478525,-8.397688,0.52019894
change,9.43956,-8.592934,-5.3538184
note,5.7569833,-11.951451,-5.206484
cycle,20.590889,-14.72532,-3.9404955
federal,18.826363,-15.918895,-4.4552636
peak,21.614202,-10.200415,-3.459428
bond,6.6744943,-18.065493,-2.548615
oil,23.188272,-3.7159069,0.61715984
analytics,6.5003858,-11.108205,-6.600704
economics,11.623165,1.3833598,-10.86577
sector,18.259998,-6.8615294,-3.00327
pandemic,23.831398,-7.460873,-2.3001344
banks,20.362385,-15.797661,-2.4117894
level,20.405825,-9.760953,-2.5927794
month,6.846611,-15.496673,-3.8425593
