,x,y,z
inflation,13.722215,-3.7519844,-9.183644
growth,10.759745,-5.0183206,-13.5018635
exhibit,13.0925,-7.4981956,8.696266
rate,16.2305,-5.9910975,-2.241588
global,10.081077,-5.4786634,12.346568
market,11.325754,-13.224314,-0.24416998
investment,9.638488,-7.5594835,10.179572
gdp,13.930557,0.65670574,-8.1644945
recession,9.589495,-9.120461,1.2080885
prices,11.974784,2.3781016,-12.017835
rates,13.15828,-6.738294,-5.5063195
markets,5.906377,-15.874231,2.9341557
china,17.380503,2.3268986,-1.763452
real,10.752856,-12.440443,-3.777739
policy,16.26702,-6.470214,-5.591961
jan,1.5871395,17.62752,-0.6111125
expect,13.869539,-1.6035765,-8.193752
energy,11.91999,2.3792217,-12.093564
jun,1.588879,17.395908,-0.9454103
strategy,9.863789,-7.498121,11.076291
economic,17.041784,-4.1863513,4.0650144
yield,12.881065,-10.089103,5.8808656
returns,14.520771,-8.888665,0.91185164
risk,7.1633434,-14.246228,4.462882
bloomberg,9.686111,-6.6225524,12.178038
equity,6.698519,-11.776295,8.677329
asset,10.891362,-3.9367278,12.206586
average,13.245084,-8.457147,4.004353
december,9.98657,-7.5393987,10.995421
return,14.815696,-7.770704,1.8175092
fed,15.808635,-6.1903815,-2.4362547
forecasts,16.947548,-2.6914485,4.2573256
dec,1.5876632,17.190313,-1.3211333
term,8.355132,-15.148504,0.6184401
economy,9.597085,-4.851994,-13.301146
time,7.619509,-9.465425,-0.7884774
forecast,13.637508,0.081287324,-8.202837
total,14.8276205,-7.709528,1.8378828
usd,15.228032,10.371101,-2.1815407
price,12.432565,-10.220824,0.09297405
unicredit,10.217933,-1.6430087,13.968679
central,15.958783,-7.550035,-6.1145973
financial,11.267737,-7.3768115,-9.792875
eur,15.228195,10.37319,-2.1788547
current,13.804385,9.340902,-4.1889896
income,10.409533,-12.972699,-2.983913
jul,1.587341,17.561403,-0.7144908
equities,6.465894,-11.707312,8.91144
june,9.866108,0.5882881,14.281862
investors,5.01851,-12.668948,8.9143505
bonds,9.629669,-11.486233,7.236461
tightening,16.216446,-6.4071927,-5.56833
supply,8.266136,1.315968,-15.1148815
services,12.381594,2.608146,-11.025475
credit,9.699955,-10.843672,6.8935437
november,9.693504,-6.473642,12.28711
cpi,16.120295,1.07613,-8.444059
expected,13.66354,-1.4565192,-8.230828
earnings,12.414275,-10.21752,0.11393989
remain,13.066156,-1.3318361,-12.068838
consumer,10.565084,-11.967726,-4.8102927
july,14.414874,-3.963425,-1.9328895
macro,10.415181,-2.2562714,13.612293
months,9.968182,-8.877325,1.4875059
core,16.246918,0.90482724,-8.366591
apr,1.587208,17.670774,-0.5442166
labor,9.568498,-3.1392205,-14.079262
europe,16.845045,0.69065684,-1.332151
levels,12.852802,-4.541662,-10.806302
risks,16.596996,-0.53872573,-5.3792853
covid,5.3039556,0.16224788,-14.964351
yoy,15.748282,1.5267003,-8.667433
demand,10.460207,-2.8121958,-12.863985
change,17.054958,-4.123473,4.062581
note,9.979326,-7.630576,10.975417
cycle,15.65127,-5.8943243,-5.398865
federal,15.5932455,-7.388329,-2.2864277
peak,13.56811,-3.8073926,-9.212656
bond,12.285703,-10.703449,6.5655413
oil,10.660774,2.6574206,-13.070963
analytics,9.490227,-6.3623376,12.781584
economics,10.322755,-1.9208297,13.821056
sector,9.192252,-1.1996481,-10.294957
pandemic,12.863661,-5.1926136,-11.706523
banks,15.948097,-7.5637856,-6.1213846
level,12.761692,-4.1826024,-10.4766
month,13.147576,-8.369641,3.8250208
russia,17.45169,2.4849465,-1.8464372
decline,12.310434,-10.202685,0.121497385
bp,16.076458,-5.9380636,-2.3424802
haver,9.512723,-6.350202,12.74701
corporate,12.176641,-10.779675,6.6450505
allocation,10.877716,-3.938891,12.219123
debt,8.286607,-13.279223,6.5048385
based,10.043868,-7.773807,10.843975
balance,13.9630995,-3.7710974,-4.6690063
government,5.283461,-11.516245,-3.6419718
continue,7.12674,-11.316633,-8.952117
production,15.384347,2.7339296,-9.962606
oct,1.5876209,17.213825,-1.2906252
ing,7.8621693,16.504349,1.1672204
reserve,15.590602,-7.3828692,-2.2887886
nov,1.5876396,17.216766,-1.2838739
conditions,11.282776,-7.4077106,-9.809102
portfolio,6.4073086,-11.843926,8.708421
expectations,13.679752,-3.7566094,-9.187944
capital,8.864182,-7.7110496,8.368517
key,16.435091,-1.7333913,-4.145479
increase,11.848202,-6.3867536,-7.354749
eurozone,12.552804,1.2846438,-5.8635345
dollar,6.217997,-15.093867,3.4181974
performance,10.258825,-7.9057455,9.885992
mar,1.5878373,17.45791,-0.87542677
em,9.7827,-10.708639,4.842794
relative,7.73241,-14.256356,5.3526573
funds,16.308569,-6.0327373,-2.1845565
gas,10.700396,2.648642,-13.047258
negative,13.874269,-9.524001,0.45200193
emerging,5.8971896,-15.891732,2.9231834
analysis,10.832806,-3.9708533,12.236308
wage,10.79114,-5.0181665,-13.475306
japan,17.215584,2.8800068,-1.2649274
assets,8.243227,-12.881633,6.6053767
target,13.369268,-6.398659,-4.449722
sep,1.5879049,17.434933,-0.9108417
euro,10.804578,4.8707366,-9.636072
monetary,16.26246,-6.473362,-5.598449
housing,11.4511175,-2.0375283,-11.343067
basis,12.45445,-8.97728,4.1438046
european,14.005201,-1.2557992,2.7931478
positive,14.375381,-9.109918,0.74136347
asia,17.08963,0.89742357,-2.1755614
ukraine,8.551876,2.5608153,-14.369257
yields,12.360727,-10.6111765,6.4542375
base,12.0951,-8.014472,-2.5943232
ecb,15.508368,-6.0408497,-2.569306
view,5.098678,-14.788477,6.352581
rise,11.4662695,-2.8195589,-9.810242
fixed,10.357555,-13.043924,-2.8736908
rising,12.878738,-1.447141,-12.030024
activity,10.466255,-4.89968,-13.474753
simple,13.331618,-7.5507126,8.679326
hike,15.666586,-6.069259,-2.5309641
treasury,12.713868,-10.202969,5.998669
