,x,y,z
inflation,23.011108,-5.266631,6.3893256
growth,26.555565,-6.8827147,5.9503627
exhibit,12.615241,-12.011699,11.294962
rate,19.24633,-9.0622015,14.263724
global,10.14438,-7.18961,14.195469
market,15.277846,-20.415684,2.1322582
investment,8.919564,-9.704847,13.611186
gdp,21.801188,-1.1989864,6.710797
recession,12.604573,-15.020198,3.1422546
prices,26.772928,-2.0381837,3.5198421
rates,21.324846,-10.086235,10.224903
markets,9.2251425,-24.373339,3.545013
china,12.481827,2.885269,9.846691
real,17.262526,-15.909836,7.9388924
policy,22.316257,-10.440019,12.662294
jan,20.795694,2.8823242,15.64709
expect,20.882362,-7.5795884,6.37843
energy,26.880432,-2.055993,3.387587
jun,21.694834,1.455908,14.88847
strategy,9.735154,-9.669156,14.047869
economic,8.708664,-3.7310739,9.885924
yield,7.8416815,-17.275362,12.359085
returns,12.567757,-19.357576,10.55213
risk,12.871329,-21.268808,5.684612
bloomberg,10.123189,-9.22809,14.521996
equity,9.584163,-22.950891,10.104312
asset,8.962406,-5.9969068,13.914858
average,10.061671,-15.768061,11.410734
december,9.911744,-10.059192,13.5010195
return,11.945385,-18.284716,11.06991
fed,19.541662,-9.395976,13.709462
forecasts,9.138896,-2.3683805,8.136911
dec,21.545912,1.4275002,15.3590975
term,14.130666,-20.59661,5.81392
economy,27.191149,-8.652169,5.6381307
time,12.453137,-14.869819,2.0588086
forecast,21.37871,-1.9214267,6.0692005
total,11.914108,-18.163872,11.127954
usd,22.385508,9.088112,11.86168
price,14.821216,-12.708998,5.5786514
unicredit,11.534054,-4.0557756,15.541008
central,23.551199,-11.221918,11.881914
financial,23.110676,-14.02996,7.080692
eur,22.389067,9.08949,11.865582
current,24.34952,8.325629,8.752596
income,16.81423,-16.43582,8.3815365
jul,21.08835,2.3740494,15.463813
equities,10.075484,-23.697668,10.175158
june,10.625803,-2.0131888,15.920113
investors,10.29216,-24.731276,8.5265875
bonds,8.4644575,-20.095448,10.154495
tightening,22.154726,-10.44116,12.603009
supply,28.693974,-4.3423843,0.13949451
services,25.629293,-1.4915869,4.2310967
credit,7.093873,-19.396639,10.306062
november,10.1024475,-8.922813,14.653418
cpi,23.560183,-3.00555,7.2694335
expected,20.48456,-7.1080813,5.722421
earnings,14.490489,-13.213222,5.5247927
remain,25.566309,-11.17253,4.7133207
consumer,18.513432,-15.210799,6.429428
july,17.822357,-6.5190396,13.268629
macro,10.587259,-5.209062,14.897632
months,12.1039715,-13.987367,4.5529037
core,23.443483,-3.5391288,7.1372538
apr,21.184189,2.2590604,15.336478
