,x,y,z
inflation,33.67292,-8.217739,-9.663306
growth,31.693579,-11.3138895,-19.052788
exhibit,26.94854,-12.355581,15.541756
rate,32.005924,-5.707142,3.9241612
global,21.2308,-10.66316,23.822409
market,19.12393,-27.335318,-5.3466215
investment,22.218864,-14.640865,21.597027
gdp,31.053085,-1.6067907,-6.6688166
recession,21.647362,-16.751434,1.016479
prices,33.556896,2.3227165,-13.493274
rates,31.264809,-10.293423,-1.1964912
markets,15.059779,-30.112543,12.107384
china,22.408625,3.3488486,-28.520111
real,28.842163,-23.699476,-4.8594527
policy,35.095238,-11.781595,2.6639442
jan,10.768255,37.430378,1.4584919
expect,31.363857,-4.6088576,-6.0497904
energy,33.570034,2.3210614,-13.582683
jun,12.630369,38.38259,0.67330873
strategy,22.301949,-14.61622,21.537819
economic,33.74272,-0.7845408,10.448136
yield,29.563938,-16.85037,10.475962
returns,26.610302,-24.543285,4.460852
risk,16.346807,-25.56664,12.660966
bloomberg,21.522137,-13.327889,23.660034
equity,25.015154,-26.542791,7.4513555
asset,21.393156,-7.7546363,22.938528
average,27.842606,-14.377385,8.757856
december,23.112942,-14.506905,20.371689
return,31.626425,-1.0373619,3.5952702
fed,31.078657,-6.7717,3.8065689
forecasts,31.865692,2.3957918,11.51936
dec,13.374376,36.93662,1.0215379
term,20.155136,-22.977291,5.0690293
economy,28.821688,-11.178899,-20.094519
time,21.087933,-17.31715,0.18786079
forecast,30.673801,-2.1599114,-6.93722
total,31.628971,-1.0275655,3.5716655
usd,30.66109,16.99331,1.7047988
price,27.77785,-18.857637,2.9800615
unicredit,24.69363,-4.8941445,22.806517
central,34.79023,-14.067715,1.2221384
financial,29.613499,-15.450685,-8.732272
eur,30.660675,16.99779,1.7095075
current,31.129642,13.913362,-3.492235
income,28.788008,-24.39244,-3.429015
jul,11.099752,37.487995,1.1949371
equities,25.731722,-27.055597,6.444947
june,24.727251,-2.4792502,20.190073
investors,23.464195,-28.472933,4.2598796
bonds,25.4761,-23.151114,11.401057
tightening,35.053608,-11.71141,2.6287906
supply,25.958082,-1.6575671,-25.905157
services,33.084515,2.4076107,-11.534043
credit,25.431091,-21.017807,11.8258095
november,21.44364,-13.137422,23.775309
cpi,36.457424,-1.6905634,-5.2103777
expected,31.149693,-4.3496614,-6.5042276
earnings,27.705015,-19.355139,3.6849627
remain,33.91335,-4.897955,-14.870673
consumer,28.04588,-22.425144,-7.124511
july,26.025429,-4.8140974,2.6042602
macro,23.549662,-6.594786,23.16525
months,21.879162,-16.102238,2.436815
core,36.740513,-2.4016864,-4.9352202
apr,11.321694,37.737713,-0.52146703
labor,29.842012,-7.530755,-20.588963
europe,18.7499,5.6594176,-28.30308
levels,31.481817,-10.9156065,-12.661838
risks,17.776754,-2.3845472,-31.192701
covid,22.684504,-5.7786155,-25.45883
yoy,36.06486,-0.7265445,-5.6283426
demand,29.755247,-7.5414953,-17.816715
change,33.841866,0.49233422,10.719638
note,23.178688,-14.55589,20.165022
cycle,33.92387,-10.049124,1.5218887
federal,31.032457,-8.188997,5.7243176
peak,32.655117,-9.105343,-9.451798
bond,29.322334,-19.058645,11.593449
oil,33.166607,2.3319662,-16.307276
analytics,20.450855,-13.005911,25.393505
economics,24.202118,-5.8143144,23.067642
sector,22.244997,-10.281204,-18.169525
pandemic,31.93977,-11.986356,-14.362298
banks,34.78839,-14.073532,1.2163283
level,31.297104,-10.369405,-12.216987
month,27.049274,-14.140907,7.734616
russia,22.735453,3.265124,-27.62053
decline,27.502151,-19.11091,3.4577236
bp,31.694126,-5.4640317,3.1340039
haver,20.475977,-12.989812,25.350182
corporate,28.702667,-19.494701,11.891626
allocation,21.509634,-7.76716,22.940317
debt,21.183603,-24.4565,10.8091
based,23.31922,-14.628937,19.574192
balance,24.717997,-10.598715,-0.7639428
government,9.285368,-30.040462,-0.15000099
continue,18.846655,-25.20094,-11.127197
production,36.929577,1.331687,-7.554998
oct,12.819708,36.55165,1.4545807
ing,27.68547,25.336994,1.5095465
reserve,31.032738,-8.189254,5.720789
nov,12.916819,36.637157,1.360786
conditions,29.66166,-15.495346,-8.739925
portfolio,25.565533,-26.192877,5.8541512
expectations,33.53255,-8.311099,-9.672176
capital,18.6546,-14.4033575,16.11384
key,14.352712,-4.2495375,-31.25658
increase,28.323301,-13.960287,-4.001544
eurozone,26.22432,-1.442992,-3.606066
dollar,15.262058,-27.526703,11.855563
performance,22.862602,-14.298075,18.000675
mar,12.088255,37.656612,0.44500098
em,22.261284,-19.60387,9.540073
relative,18.999306,-24.253496,8.810104
funds,32.240875,-5.8633785,4.4843674
gas,33.173237,2.3320286,-16.26079
negative,27.370035,-21.883442,3.5132492
emerging,15.057832,-30.123762,12.107971
analysis,21.77335,-7.808082,22.932278
wage,30.945127,-12.057875,-18.765577
japan,22.60756,5.2923193,-28.517021
assets,22.45007,-24.404785,9.734863
target,29.719006,-9.326451,-0.0075558783
sep,12.120173,37.69316,0.580698
euro,24.553576,5.5776067,-11.978724
monetary,35.092476,-11.783687,2.658701
housing,29.762568,-6.3519073,-14.067225
basis,26.026836,-16.01636,8.56582
european,26.96315,-4.430852,9.376639
positive,26.90849,-23.911257,4.11395
