,x,y,z
inflation,10.760527,-10.148553,-1.9213928
growth,10.210012,-9.737764,-3.3353572
exhibit,17.42896,-4.3080173,0.25536603
rate,13.42601,-9.392499,1.5131729
global,15.676855,-2.9710083,4.998793
market,16.453655,-4.106794,-0.38633907
investment,15.885978,-2.1061358,4.7463517
gdp,5.4149513,-9.465504,-1.3977519
recession,15.225382,-5.124803,0.15321814
prices,7.2759423,-8.339255,-3.9289737
rates,13.282881,-9.385782,-0.2860863
markets,17.577944,-2.4606044,-0.90948415
china,5.1103954,-6.6348333,4.1827407
real,18.421139,-4.3908806,1.4681004
policy,13.815121,-9.40185,0.26904508
jan,2.675615,-9.519057,-2.559663
expect,11.349418,-9.840335,-1.6956354
energy,7.2622824,-8.24466,-3.9874225
jun,2.9067857,-9.583507,-2.5226915
strategy,15.813824,-2.2074113,4.913477
economic,10.257013,-6.4254303,4.9270825
yield,17.925753,0.080718435,2.165312
returns,19.211119,-1.5161734,0.41054624
risk,17.189096,-2.6597517,-1.5203369
bloomberg,15.720121,-2.2692318,5.027358
equity,18.711151,-1.293385,0.6702361
asset,16.33002,-3.2905102,4.6131783
average,16.907137,0.23923993,3.3650038
december,15.769138,-1.952512,4.698134
return,17.49058,-0.1808149,3.703094
fed,13.497098,-9.41257,1.3441051
forecasts,1.0356082,-8.388063,-2.9739122
dec,2.8315892,-9.610982,-2.4795887
term,16.907349,-3.0656006,-2.0001445
economy,10.617119,-8.945918,-3.8907356
time,14.963605,-4.5919275,-0.40856606
forecast,5.5958967,-9.514282,-0.9527695
total,17.443253,-0.14224206,3.774832
usd,1.4824089,-7.281278,-2.8154147
price,8.287438,-9.231129,-1.448096
unicredit,3.0750616,-8.390043,4.048434
central,14.208906,-9.2197075,-0.25182799
financial,13.629606,-9.37491,-1.72103
eur,1.486007,-7.2815547,-2.8142385
current,2.4873786,-6.737757,-3.1304102
income,18.5682,-4.106194,1.3549852
jul,2.731521,-9.54952,-2.5361583
equities,18.793442,-1.4886258,0.530328
june,3.0087316,-7.7673507,3.944638
investors,18.30713,-2.0383852,0.2728177
bonds,18.44729,-0.50944,1.2005366
tightening,13.791607,-9.446081,0.32208866
supply,9.373171,-6.8496466,-4.964214
services,6.682423,-8.873993,-3.096144
credit,17.92867,-0.21572222,1.5780388
november,15.71018,-2.4776673,5.080856
cpi,5.742353,-10.139282,-1.4683335
expected,10.616755,-9.655479,-1.4118371
earnings,17.699032,-4.2193546,-0.5301219
remain,11.63589,-9.056193,-3.548214
consumer,7.8333063,-9.60327,-2.5939598
july,12.776553,-8.916749,2.216363
macro,2.9634807,-8.774011,3.9646654
months,16.540321,-4.577667,1.9333943
core,6.0202913,-10.223613,-1.3817395
apr,2.7503881,-9.573065,-2.5325203
labor,10.111006,-9.456829,-3.912068
europe,5.5165553,-6.2990437,4.045138
levels,9.168761,-9.840618,-2.8607688
risks,10.936989,-5.8789353,-5.071151
covid,9.50437,-7.386974,-4.480999
yoy,5.2690415,-9.936856,-1.6029631
demand,10.225987,-8.837306,-3.9703636
change,10.225493,-6.4508595,5.0171967
note,16.045528,-1.8788153,4.4755445
cycle,13.610889,-9.626354,0.18366516
federal,13.7100525,-9.47031,1.3183354
peak,11.027751,-9.948444,-1.300274
bond,18.142748,-0.07391089,1.8584129
oil,7.1996975,-7.779198,-4.182766
analytics,15.776958,-2.682711,5.1618576
economics,3.0297408,-8.476669,4.0096283
sector,8.678881,-8.105267,-0.76033384
pandemic,9.233025,-9.807159,-3.1853232
banks,14.222294,-9.21475,-0.30495194
level,10.96186,-9.073175,-1.3433564
month,16.750324,0.2144546,3.4780264
russia,4.8495975,-6.8829746,4.280854
decline,17.813152,-4.2579045,-0.5458332
bp,13.432923,-9.401612,1.5324535
haver,15.725816,-2.6163468,5.184372
corporate,18.12766,0.003121146,1.780933
