,x,y,z
inflation,2.9597237,-0.17968485,-0.026590457
growth,2.992685,-0.1882936,-0.026939511
exhibit,3.082805,-0.21347126,-0.027918082
rate,2.96828,-0.18247277,-0.026685521
global,2.9106114,-0.16973637,-0.026094897
market,3.0713582,-0.20991242,-0.027789984
investment,2.9973836,-0.19189803,-0.027012823
gdp,2.81148,-0.14230448,-0.025022913
recession,3.0569904,-0.20604949,-0.02763422
prices,2.8928375,-0.16255163,-0.025880428
rates,3.0497754,-0.20309575,-0.027550202
markets,3.1409295,-0.22889571,-0.028536147
china,2.617547,-0.09427703,-0.022978446
real,3.015369,-0.19497313,-0.027192565
policy,3.001686,-0.19095208,-0.02703978
jan,2.5618804,-0.07910804,-0.022381565
expect,3.0271776,-0.19720554,-0.02730869
energy,2.859464,-0.15406902,-0.025526727
jun,2.6081283,-0.09068553,-0.022868833
strategy,2.9749565,-0.18611263,-0.02677518
economic,2.8908453,-0.16309325,-0.02586704
yield,3.148378,-0.23048478,-0.028616969
returns,3.1723723,-0.23723331,-0.02887169
risk,3.1487625,-0.2302963,-0.02861384
bloomberg,2.9493287,-0.17965193,-0.026503159
equity,3.1894333,-0.24102335,-0.029053915
asset,3.068476,-0.2103889,-0.027769871
average,3.0037537,-0.19298282,-0.027076768
december,2.975341,-0.18636599,-0.026780872
return,3.105991,-0.21965571,-0.028164776
fed,2.980791,-0.18548395,-0.026819414
forecasts,2.643796,-0.101182014,-0.023258924
dec,2.6435976,-0.10024381,-0.023246514
term,3.1148448,-0.22166102,-0.02825637
economy,3.0120423,-0.19307059,-0.02714634
time,3.0500736,-0.20454499,-0.02756404
forecast,2.8031197,-0.1404633,-0.024937157
total,3.0520623,-0.2058567,-0.02759455
usd,2.4582448,-0.054341145,-0.0212954
price,2.937531,-0.17481104,-0.02635813
unicredit,2.4986787,-0.06582822,-0.021734942
central,3.0170534,-0.19495314,-0.027202638
financial,3.013006,-0.19396275,-0.02716132
eur,2.4584723,-0.054204218,-0.021296708
current,2.6243105,-0.095995866,-0.023050958
income,3.0579147,-0.20660777,-0.027647283
jul,2.5730958,-0.082322344,-0.022500252
equities,3.1921916,-0.2421371,-0.029082673
june,2.50218,-0.066968426,-0.02177205
investors,3.1739345,-0.23759553,-0.028889466
bonds,3.1878498,-0.24052045,-0.029038109
tightening,3.0136793,-0.19384141,-0.027165005
supply,2.8968744,-0.16370769,-0.025924096
services,2.8505385,-0.15180637,-0.025429998
credit,3.162569,-0.2346766,-0.028769454
november,2.9352324,-0.17611955,-0.026356172
cpi,2.7833889,-0.13525397,-0.024723891
expected,2.9885495,-0.1874876,-0.026899643
