,x,y,z
inflation,8.776216,-1.0408151,2.2674513
growth,9.789212,-1.0979444,1.3620886
exhibit,4.950625,-3.7866638,3.2861545
rate,7.6517835,-2.1150613,3.9909194
global,3.9314847,-1.8569807,5.7519135
market,5.481529,-5.5075603,1.7729881
investment,3.696779,-2.376841,5.1352825
gdp,7.852949,0.658641,3.0020049
recession,4.905162,-4.0852246,1.7818669
prices,9.48658,0.9158567,1.4147445
rates,8.42222,-3.1945577,2.8054767
markets,4.7948985,-6.927752,2.928885
china,5.327735,0.79934126,3.9011984
real,6.3554044,-3.6068995,3.182723
policy,8.388197,-3.0569534,3.506961
jan,9.33549,3.2717888,3.4733574
expect,8.699617,-1.9646981,1.9152378
energy,9.523799,0.98054576,1.3200055
jun,9.313024,3.200811,3.4727595
strategy,3.743342,-2.2254677,5.3415956
economic,4.7100773,-1.399634,3.2376688
yield,3.6658678,-4.4373193,5.1464744
returns,5.5332756,-4.7660213,4.398975
risk,5.201145,-5.9628034,2.939911
bloomberg,3.7871475,-2.089966,5.486848
equity,4.648922,-5.769778,4.7538323
asset,3.9765303,-1.9148201,6.003949
average,4.7477474,-3.3598075,4.1606345
december,3.7248988,-2.3287323,5.0663557
return,5.2311234,-3.8181376,4.707241
fed,7.706848,-2.1796508,3.9569612
forecasts,4.64361,-1.2664249,3.3113365
dec,9.326179,3.2225204,3.4752576
term,5.7908597,-5.848059,2.5471473
economy,9.938372,-1.3909857,1.0626609
time,4.9517736,-4.218743,1.3112621
forecast,7.7382903,0.16349287,2.8553329
total,5.2406507,-3.6960413,4.7263427
usd,7.5655375,4.8439703,3.0214155
price,6.241728,-4.198538,2.7208333
unicredit,4.788828,-0.2650005,6.345938
central,8.553291,-3.3608062,3.2912066
financial,8.779436,-4.085267,1.9731038
eur,7.5659747,4.835819,3.0241382
current,7.503687,4.3364916,2.3399587
income,6.2762456,-3.842168,3.4341168
jul,9.336861,3.2564328,3.4748182
equities,4.748357,-5.889432,4.7598543
june,4.9695587,0.24160804,6.090078
investors,4.7021446,-6.3962946,4.3544264
bonds,3.7479897,-5.1501756,4.9239182
tightening,8.358036,-3.0224037,3.532516
supply,10.076298,0.6748355,0.13991748
services,8.959618,0.92899996,1.890152
credit,3.5495048,-4.9170327,4.8146324
november,3.8165832,-2.026758,5.5985703
cpi,8.515433,0.16103335,3.1167338
expected,8.383855,-1.6214246,1.6739367
earnings,6.0101933,-4.449535,2.7236052
remain,9.979184,-2.2281823,1.143562
consumer,6.792812,-3.2348232,2.3989031
july,7.1208873,-1.55123,3.449654
macro,4.329499,-1.1338702,6.1549187
months,4.7707667,-3.6824875,2.4618783
core,8.577978,-0.08762128,2.9957168
apr,9.339612,3.2510955,3.4754398
labor,9.755902,-0.7212129,0.7904319
europe,5.2498493,0.6194962,3.3634953
levels,7.693334,-2.6947596,1.1423312
risks,5.659316,-0.5008005,2.5869665
covid,9.940591,-0.15411006,-0.63068175
yoy,8.387803,0.5287002,3.242605
demand,9.925833,-1.0503429,0.67340684
change,4.732045,-1.3463377,3.3094337
note,3.6842406,-2.4706516,5.032895
cycle,8.334085,-3.0256293,3.392329
federal,7.7543163,-2.2631843,4.023946
peak,8.541947,-1.4730781,2.1261203
bond,3.6841166,-4.60462,5.1831236
oil,9.552675,1.2688551,0.863188
analytics,3.8485546,-1.9563317,5.765511
economics,4.700624,-0.42614794,6.3171544
sector,7.2536254,-1.3727065,0.04899183
pandemic,9.810064,-0.9161203,1.1514772
banks,8.563313,-3.3777506,3.2645144
level,7.9184656,-2.434199,1.0603713
month,4.7365184,-3.3506827,4.0098844
russia,5.408999,0.83409786,4.151573
decline,6.0506597,-4.2971883,2.7477481
bp,7.6662245,-2.113724,4.0032754
haver,3.8419836,-1.963991,5.73037
corporate,3.6167152,-4.6553197,5.1629105
