,x,y,z
inflation,30.563013,-10.054249,-16.335508
growth,24.640099,-13.864074,-24.565027
exhibit,27.595901,-15.354807,13.520936
rate,32.87924,-9.226145,-0.8817739
global,22.147408,-15.860734,20.659071
market,15.157771,-28.00745,-8.792411
investment,21.338314,-18.247871,15.276469
gdp,29.484957,-3.9053044,-14.303693
recession,21.638067,-16.703588,-1.0556294
prices,29.074633,0.511122,-21.470098
rates,27.453432,-12.471885,-6.9456935
markets,17.179392,-33.339523,6.1043806
china,16.89383,3.4690015,-30.740622
real,22.530823,-24.279306,-3.5553107
policy,34.33872,-13.726212,-5.238216
jan,3.529272,36.616245,-4.120848
expect,29.155033,-6.4802785,-12.67749
energy,29.046534,0.5048203,-21.575142
jun,5.6535788,37.284718,-4.3013372
strategy,22.153616,-18.592718,16.965067
economic,33.888935,-3.149539,9.835343
yield,31.130728,-15.447231,5.0004826
returns,30.116007,-23.238167,-2.5671017
risk,19.008799,-28.451775,4.171701
bloomberg,21.55603,-18.075335,19.194134
equity,26.899075,-26.72396,2.185133
asset,23.187721,-13.016991,21.0217
average,28.17563,-14.518712,4.0246887
december,22.599216,-18.637917,16.82258
return,34.02029,-5.1545844,2.6980305
fed,31.609955,-9.909631,-1.342976
forecasts,32.064087,-0.80520475,12.120735
dec,5.679896,36.410557,-5.757868
term,20.078499,-29.591837,-0.9909618
economy,25.269855,-12.120108,-26.428696
time,21.023193,-16.956715,-2.0454576
forecast,28.858723,-4.399888,-14.141588
total,34.03031,-5.1371255,2.6808617
usd,31.524181,17.56425,-8.188319
price,28.03221,-18.332905,-0.5244907
unicredit,25.876493,-9.55212,22.139202
central,33.535526,-16.008072,-6.298583
financial,25.717056,-17.93355,-14.0836735
eur,31.523188,17.567156,-8.185891
current,30.287033,14.786157,-12.716448
income,22.993967,-24.713886,-1.2614456
jul,3.9528282,36.568893,-4.149978
equities,27.937075,-27.581177,2.0136735
june,26.309055,-6.6593184,19.982334
investors,26.351896,-30.416922,1.5620056
bonds,28.960709,-22.767357,5.071054
tightening,34.28865,-13.650785,-5.240884
supply,20.545807,-2.0122423,-28.7442
services,29.293959,0.6435267,-19.449905
credit,29.488605,-21.126186,6.390384
november,21.549969,-17.951237,19.398735
cpi,34.029842,-4.664459,-16.01397
expected,28.867426,-6.26413,-13.127492
earnings,27.87426,-19.09916,-0.08486945
remain,29.671053,-7.40434,-22.069376
consumer,21.707346,-23.534245,-6.183279
july,28.473597,-5.0778856,-1.0698104
macro,24.916704,-11.438697,21.835749
months,21.568336,-16.118725,0.3719102
core,34.14713,-5.4335194,-15.903777
apr,5.221462,35.794193,-3.1995425
labor,22.103151,-10.642517,-25.946276
europe,13.703868,6.3117948,-29.818281
levels,21.90722,-24.080917,-8.887646
risks,11.796912,-1.0306726,-33.200428
covid,16.131826,-4.806328,-27.283897
yoy,33.83101,-3.5160203,-16.197695
demand,24.226818,-9.056748,-23.994272
change,34.07017,-1.9522004,10.314556
note,22.756323,-18.72968,16.687937
cycle,32.88404,-11.9186735,-5.435901
federal,31.035126,-11.892544,-0.6292726
peak,29.516176,-10.620881,-15.730512
bond,32.449825,-17.3313,5.8194213
oil,26.870882,0.39785054,-23.900253
analytics,20.856934,-18.360703,21.082884
economics,25.45452,-10.584584,22.066063
sector,20.50869,-8.086904,-19.257124
pandemic,22.994677,-25.351461,-9.556837
banks,33.5296,-16.016443,-6.3038135
level,27.455343,-8.544865,-15.864077
month,26.969769,-14.221306,3.5657017
russia,17.555626,3.4983933,-30.007334
decline,27.70569,-18.752596,-0.22666837
bp,32.55045,-8.579748,-1.4819487
haver,20.88428,-18.32632,21.04231
corporate,32.271263,-18.08431,6.157255
allocation,23.282038,-12.988723,21.019733
debt,21.824043,-25.356367,2.2788372
based,23.250837,-18.888218,16.253096
balance,27.047026,-6.8313003,-6.8927507
government,7.3678493,-26.363007,-3.1523097
continue,14.439458,-23.29315,-13.645176
production,35.02433,-1.2883574,-17.765774
oct,4.888418,36.265896,-5.863607
ing,19.817978,30.525871,-7.0447106
reserve,31.032486,-11.888493,-0.63226366
nov,5.042257,36.295723,-5.8204074
conditions,25.76586,-18.028408,-14.087029
portfolio,27.459736,-27.872467,3.1377084
expectations,30.390322,-10.106281,-16.276783
capital,19.91834,-18.747307,11.272465
key,9.816685,-2.07252,-30.175573
increase,25.42747,-12.82419,-10.263172
eurozone,33.180244,-3.7044487,-8.117929
dollar,17.917175,-31.122728,5.58838
performance,23.419735,-18.300707,14.381267
mar,5.2034245,36.460903,-4.2586226
em,24.860575,-21.25195,5.6824284
relative,19.852928,-27.82855,2.6436138
funds,32.987144,-9.703329,-0.49645793
gas,26.899088,0.39860338,-23.871704
negative,28.986082,-20.838087,-1.8438942
emerging,17.172625,-33.361244,6.1110053
analysis,23.477451,-12.935676,21.001228
wage,24.689898,-13.295519,-23.629036
japan,17.187874,5.3344226,-31.353378
assets,23.19632,-25.09265,1.0311421
target,27.516214,-11.480035,-5.148865
sep,5.1613364,36.573082,-4.3376207
euro,24.740587,4.8028226,-18.304808
monetary,34.333595,-13.726833,-5.242101
housing,25.986326,-9.670607,-20.908062
basis,26.524883,-16.208725,3.4987812
european,26.066523,-8.443556,9.487484
positive,29.884672,-22.64856,-2.4841013
asia,13.815263,4.1075892,-30.229002
ukraine,20.26407,0.55719304,-27.672985
yields,31.939861,-17.282919,5.821624
base,25.373001,-9.133118,3.5303388
ecb,30.937687,-9.309126,-1.9052534
view,22.411175,-31.054962,2.7367992
rise,25.011723,-10.427811,-18.055494
fixed,23.036198,-24.771996,-0.93165916
rising,28.643047,-7.8001065,-21.962715
activity,25.616148,-12.681251,-24.61491
simple,28.141466,-15.290125,13.560902
hike,31.189583,-9.353082,-1.8668941
treasury,30.973267,-16.267717,5.3838196
remains,23.652628,-11.38646,-25.494513
strong,18.20742,-23.472195,-10.135513
support,24.748123,-7.747702,-22.821575
annual,35.1661,-3.2699711,0.7152765
