,x,y,z
inflation,18.29809,-6.769157,-2.308105
growth,19.063417,-5.7388344,-0.6225674
exhibit,11.444675,-14.14827,-2.000135
rate,15.645822,-11.049373,-4.9324656
global,6.358119,-10.317,-6.448439
market,11.017658,-13.627215,-0.3471669
investment,5.3354225,-10.812537,-5.627876
gdp,16.928701,-0.37813595,-3.268332
recession,9.171113,-11.198442,-2.4772234
prices,17.814125,-1.675077,0.3945164
rates,16.80647,-10.211947,-3.122316
markets,10.21681,-15.293247,-0.25716865
china,9.275814,-1.1288432,-7.084776
real,9.135146,-14.549964,-4.3751445
policy,16.531803,-11.350545,-3.3745852
jan,17.805975,3.4759226,-3.168644
expect,17.79099,-7.5795302,-2.3399832
energy,17.775915,-1.6948544,0.5267166
jun,17.852371,3.2217982,-3.1592422
strategy,5.379641,-10.608612,-5.9151
economic,8.682033,-8.268966,-5.4373326
yield,5.6563926,-15.439937,-2.809601
returns,8.048263,-17.692331,-0.1952871
risk,8.986113,-15.634492,1.4915808
bloomberg,5.435038,-10.4098625,-6.069875
equity,7.872657,-16.813507,-1.6192651
asset,6.87183,-11.082432,-6.5877686
average,5.7308483,-13.936715,-3.8076756
december,5.3015804,-10.665272,-5.4905524
return,4.2910447,-13.92198,-3.6884942
fed,15.767527,-11.12207,-4.728554
forecasts,8.223611,-7.7388916,-5.772464
dec,17.855476,3.2921205,-3.2082412
term,9.327551,-15.519489,2.1912477
economy,18.861046,-6.1529045,0.41957313
time,9.074626,-11.013742,-2.1636393
forecast,16.735674,-0.81031674,-3.7984536
total,4.2828164,-13.893088,-3.708415
usd,15.659784,5.230275,-1.302063
price,16.633078,-4.0839043,-2.2038636
unicredit,8.645431,1.2135743,-9.912855
central,16.625433,-11.5861225,-2.640029
financial,17.767746,-10.256303,-1.2129241
eur,15.665952,5.2270064,-1.2952561
current,14.664504,4.0843697,-0.31037742
income,9.147548,-14.8676195,-4.230588
jul,17.825788,3.404351,-3.1795695
equities,8.178077,-16.966915,-1.5598894
june,9.128824,1.6040715,-8.987782
investors,9.069019,-16.411417,-1.3033472
bonds,6.5101542,-16.284641,-1.7527187
tightening,16.54531,-11.293718,-3.4878151
supply,17.809061,-3.7571356,2.6430206
services,17.660473,-1.3299979,-0.7513396
credit,6.038321,-15.576049,-1.988126
november,5.6165104,-10.372999,-6.2605605
cpi,18.060541,-0.7177295,-3.6847105
expected,17.247702,-6.4775996,-2.5141895
earnings,12.07407,-14.46605,0.1043186
remain,18.561409,-7.7413206,0.18918195
consumer,18.309767,-2.9472876,-1.6702348
july,14.647133,-10.054685,-5.475326
macro,8.689074,1.2207371,-10.378916
months,7.5313854,-12.809141,-3.4160302
core,18.106846,-0.9700717,-3.7437236
apr,17.83989,3.3838742,-3.18334
labor,19.264233,-5.5849633,0.3964227
europe,9.504866,-1.7335281,-6.5611897
levels,18.844263,-4.328196,-1.120652
risks,10.915622,-3.9639995,-6.5537796
covid,17.44306,-4.5454617,2.1001887
yoy,17.922472,-0.2973673,-3.5829382
demand,18.595055,-5.698102,0.7102998
change,8.520889,-8.210022,-5.622927
note,5.2650166,-11.083001,-5.3844233
cycle,16.844522,-10.832091,-3.6701314
federal,15.842108,-11.522729,-4.5754933
peak,17.6988,-7.0282326,-2.7093692
bond,5.894027,-15.770333,-2.6129248
oil,17.490356,-1.774047,1.0749317
analytics,5.765106,-10.39007,-6.5251946
economics,8.680049,1.2443902,-10.049477
sector,14.189312,-4.921979,-1.5985898
pandemic,19.009132,-4.4778275,-0.8365184
banks,16.640404,-11.579172,-2.5909698
level,16.614918,-7.0039816,-2.0884905
month,5.8059263,-13.751894,-3.8306
russia,9.192095,-0.85923237,-7.413639
decline,12.132677,-14.474473,0.11826794
bp,15.666229,-11.013841,-4.960836
haver,5.704515,-10.344179,-6.4732184
corporate,5.82374,-15.800935,-2.4912615
allocation,6.830272,-11.03464,-6.5902977
debt,7.404874,-16.41961,-0.11667759
based,5.399849,-11.688864,-5.0010066
balance,15.434866,-7.920776,-4.5250835
government,11.605119,-10.265442,3.0620267
continue,17.356546,-8.1907215,2.0613258
production,17.197561,0.95190716,-1.657118
oct,17.832754,3.391831,-3.1877992
ing,15.699385,5.5822124,-2.6927586
reserve,15.8422165,-11.503217,-4.560518
nov,17.833158,3.367033,-3.1852343
conditions,17.816778,-10.286008,-1.2385436
portfolio,8.102127,-16.895346,-1.6422292
expectations,18.250435,-6.795986,-2.2887695
capital,4.661571,-10.941705,-4.287615
key,15.864785,-9.279296,3.431273
increase,16.88646,-8.4673195,-1.8705186
eurozone,14.6265955,-2.1637254,-3.7768044
dollar,8.266718,-15.706977,0.42435998
performance,5.509061,-12.0178,-4.8470325
mar,17.838522,3.3772397,-3.1852374
em,5.8313274,-15.103679,-0.41318992
relative,7.5613575,-16.1568,0.22805138
funds,15.613368,-11.265954,-5.019699
gas,17.552067,-1.7447362,0.98789513
negative,8.525263,-17.50652,0.77373624
emerging,10.262869,-15.335739,-0.107005805
analysis,6.5772614,-10.78629,-6.528096
wage,18.789688,-6.139925,-0.9582245
japan,9.122943,-0.661389,-7.3978744
assets,8.1702,-16.663298,-0.85389674
target,16.085085,-9.653766,-4.7389035
sep,17.836477,3.3756921,-3.18372
euro,15.680076,1.2174199,-1.266653
monetary,16.589966,-11.3680725,-3.2741811
housing,18.482536,-6.3238463,-0.86329716
basis,6.1163955,-13.902043,-3.4743824
european,7.6348724,-1.7059048,-4.5693836
positive,8.314279,-17.411627,0.4201915
asia,9.6699915,-2.1650763,-6.5422907
ukraine,17.579504,-3.3408468,2.5722854
yields,5.8383527,-15.606759,-2.6326299
base,7.860404,-10.532839,-3.7251852
ecb,15.685865,-10.918529,-4.7361226
view,9.7782,-15.365756,-0.24367376
rise,17.787968,-6.6405654,-1.7297131
fixed,9.11649,-14.981973,-4.1116915
rising,18.46112,-7.5760913,0.17968471
activity,18.708025,-5.6152267,0.33029416
simple,11.44193,-14.217017,-1.938742
hike,15.757047,-11.027426,-4.728075
treasury,5.727891,-15.314993,-2.8058672
remains,18.681791,-6.01779,0.15719569
strong,17.373075,-9.207484,1.2638556
support,17.467005,-5.6529226,1.5694604
annual,16.172163,0.48345757,-5.2163258
percent,17.1076,-1.1157176,-4.07814
spending,18.321472,-3.6223865,-1.4137816
trend,19.01671,-5.468607,-0.50737983
nominal,9.046887,-14.24228,-4.4097104
food,17.789955,-1.405066,-0.26685667
stocks,6.7835426,-16.17394,-1.2405539
industrial,17.199955,0.9361702,-1.7618316
trade,16.151747,0.8277453,-1.40253
range,15.8774805,-9.720677,-4.5209217
public,7.526889,-14.139894,2.9204252
october,5.746164,-9.889494,-5.0721645
pre,19.00804,-4.435998,-0.8522073
aug,17.837978,3.3895843,-3.1809783
volatility,8.162737,-15.338105,-0.9526172
consumption,17.258419,-0.121903546,-1.9520079
january,9.847544,-11.249422,0.5837835
cash,7.75597,-16.276579,-0.2022775
pressure,18.473486,-7.275011,0.024500048
including,16.92372,-8.834303,2.361843
insights,11.467769,-14.205176,-1.9333417
commodities,9.774229,-15.599401,-0.8015994
median,5.689627,-13.9554825,-3.574613
headline,18.0589,-0.8589466,-3.7233822
bps,15.587077,-11.020298,-4.9926596
spreads,5.816087,-15.611206,-2.5571012
start,8.950552,-11.165144,-2.4594755
recovery,16.532833,-7.0104346,2.9049811
manufacturing,17.14531,1.2828865,-2.1504447
period,7.31129,-11.451303,-2.7071385
consensus,15.242637,-0.464257,-4.407436
fiscal,17.210857,-10.259051,-2.2527115
unemployment,17.058205,-1.2700729,-3.9688714
ratio,5.5859475,-13.680606,-3.1943269
yr,5.2863355,-14.049469,-3.9441466
major,16.456316,-10.695355,-1.6849947
feb,17.835068,3.386314,-3.1812854
impact,18.474596,-7.6514764,0.08723141
measures,17.681053,-7.0317574,-1.8991959
eu,8.664725,0.77667737,-8.857888
sales,16.842773,0.9397221,-2.0386894
prior,7.601496,-10.881976,-3.7522388
germany,9.040264,-0.3937663,-7.8646064
companies,16.993656,-9.495505,2.2221553
quarter,8.461197,-13.266877,-4.006418
week,12.339653,-9.993019,-4.6130786
sectors,7.713391,-13.755138,3.1997783
short,9.538806,-15.350685,2.129031
spread,5.5711365,-14.905959,-3.0368717
war,17.534182,-3.4684167,2.508583
tax,5.1124315,-13.807313,-1.0503956
valuations,8.25417,-16.723066,-1.4782734
exports,17.04713,0.87390184,-1.7118636
potential,9.601759,-14.796202,0.4017174
probability,9.080532,-13.704297,-1.6834332
household,18.250753,-2.5734663,-1.9492048
costs,18.041533,-5.803882,0.982895
pressures,18.355343,-6.820403,-0.2545401
business,17.195744,-0.27014157,-1.9794706
sources,9.879469,2.0115855,-9.010542
increased,12.711478,-6.683278,-2.2444437
hikes,15.840945,-11.069269,-4.490243
estate,9.116731,-15.0699005,-3.976637
premium,7.254693,-16.417233,-1.8228296
spot,14.739234,4.18391,-0.8157028
attractive,8.215595,-16.818287,-1.4885113
countries,15.810917,-4.157577,2.3920472
korea,9.290858,-1.2309319,-6.806602
commodity,18.173273,-7.0913014,1.8927958
cost,17.70794,-7.1973677,1.4967062
united,9.393834,-1.5848331,-6.3243666
economist,8.573655,1.2954983,-9.556548
sentiment,16.686508,0.93726957,-2.0540707
mid,8.464989,-17.390572,0.67572564
fwd,15.743515,5.51679,-2.7114983
hiking,16.69336,-10.991166,-3.7201543
natural,17.497753,-1.7738936,1.0584193
geopolitical,10.865387,-3.9035988,-6.5189505
adjusted,16.103697,0.46971524,-5.076978
march,15.0592,-10.618704,-4.636318
economies,15.877098,-8.965215,3.7345216
uncertainty,17.117182,-7.3178024,2.4412935
gold,8.28817,-16.301285,-0.3094581
fall,17.716805,-6.6151013,-1.6070219
annualized,4.731444,-13.721851,-3.83051
budget,14.718326,1.8875616,-3.792376
elevated,18.541126,-7.6556106,0.17024313
compared,8.135265,-13.191393,-3.8014808
households,18.2175,-3.9829185,-1.3875812
driven,17.368702,-9.37611,1.4310262
savings,18.392643,-3.8953533,-1.3803397
cap,7.8604894,-16.630474,-0.7413954
pace,16.525517,-10.351184,-2.3522885
environment,11.068339,-11.662072,-0.08777772
france,9.011336,-0.29533547,-8.002336
chartbook,8.673245,1.2347566,-9.992686
weaker,18.720583,-6.023056,0.15977325
september,15.232067,-10.830136,-4.7002916
gfc,10.621869,-14.290239,1.305497
chart,14.446569,2.233653,-3.594405
disclaimer,8.675992,1.235981,-10.047081
factors,16.810478,-8.922146,2.0958354
management,6.3472567,-10.734052,-6.037561
worst,5.5188513,-15.000854,-2.2879539
meeting,14.62299,-9.784822,-5.309297
record,16.343891,-6.5653267,-2.4055686
future,5.73455,-11.067478,-3.880049
result,17.640491,-7.043249,1.4516602
russian,17.307848,-2.8368099,2.026821
canada,9.031865,0.8627853,-8.290898
job,15.515589,-4.627165,-3.374678
msci,5.768231,-14.963641,-0.74078065
employment,17.067509,-0.63667786,-1.5604562
chinese,10.203699,-3.3264182,-5.0297313
currency,8.406111,-15.239892,0.5565191
municipal,6.3695498,-16.275751,-2.3215992
survey,15.158195,-0.26019633,-3.7758512
grade,6.223806,-16.177883,-2.4633129
crisis,16.867424,-7.283097,2.815931
developed,9.188578,-15.0914,0.35781524
terms,9.709572,-13.597135,-1.0796087
pmi,17.16399,1.5776632,-2.5250876
infrastructure,7.6296673,-14.078527,3.0077698
additional,13.537456,-10.643468,-3.377513
set,17.45583,-7.2166166,-1.119858
output,17.149757,1.0040369,-1.9082435
country,9.208022,-6.2380004,-1.2043014
inflationary,17.983892,-7.087608,-0.1983209
late,16.36803,-8.915953,-1.4352773
left,6.7722836,-11.802574,-2.3537385
downside,11.777264,-11.658604,-0.119789585
portfolios,8.30841,-16.167162,-1.2655009
recessions,6.2511134,-11.683022,-4.242197
percentage,8.263853,-13.190486,-3.8769035
effects,18.270584,-6.564138,-0.21780095
reopening,16.955673,-4.4520364,2.0669913
italy,9.00257,-0.2704364,-8.041224
share,5.322954,-10.69307,-0.79076374
april,15.957853,-0.9580985,-1.6729639
brazil,9.197413,-0.9266733,-7.0367155
focus,16.55414,-9.068639,2.38572
slow,18.842762,-5.884983,-0.17343086
confidence,17.153797,0.08640454,-1.609136
international,5.7550426,-7.2517557,-4.328595
refinitiv,15.436098,5.4957457,-2.6231325
trough,6.9039435,-13.158496,-3.6269517
curve,5.6998935,-15.007738,-2.7859437
stay,10.414036,-15.264586,1.4760549
continued,17.013409,-6.3548713,0.71908355
moderate,8.422033,-17.355396,0.6304895
middle,15.870945,-8.922083,3.769827
stronger,9.305384,-12.892844,2.8316488
indicator,15.020592,-0.53316605,-3.977044
stock,7.0763707,-15.535027,0.8527159
bear,5.7476854,-11.399223,-5.0501027
tactical,8.999002,-15.59519,-1.5388288
backdrop,16.685602,-9.195985,1.9963013
history,7.341842,-15.947157,0.35819572
india,9.153295,-0.757501,-7.341609
cuts,16.716492,-9.864658,-2.7261884
post,16.919743,-9.332924,1.6178699
tech,6.9649777,-13.700009,1.6037658
