,x,y,z
inflation,3.8311806,-0.6612958,-1.6096699
growth,3.7467036,-0.73630637,-1.7554003
exhibit,3.2008064,-1.8384217,0.6385301
rate,4.256573,-1.1386657,-1.389989
global,3.096859,-1.3190676,1.5717772
market,3.063123,-1.9890962,-0.12968315
investment,3.148619,-1.5433886,1.3650054
gdp,3.8686533,-0.14621177,-1.3606611
recession,3.1138997,-1.7788738,-0.09767412
prices,3.7973988,0.031870674,-1.7408428
rates,3.8981087,-1.136956,-1.5240791
markets,2.9399316,-2.3945107,0.3442572
china,4.427886,0.6210174,-0.7868508
real,3.3824952,-1.9854759,-0.5061476
policy,4.1460295,-1.2192028,-1.6526536
jan,1.5455418,4.048976,0.34000963
expect,3.7881205,-0.88391155,-1.5256567
energy,3.7970798,0.040044233,-1.7526671
jun,1.547353,4.045168,0.33813208
strategy,3.1467817,-1.5290034,1.3935555
economic,3.8980222,-0.73128647,0.5495095
yield,3.2432244,-2.0772536,0.86354876
returns,3.2470043,-2.2123308,0.53055847
risk,2.957706,-2.358097,0.37246385
bloomberg,3.1259015,-1.4332687,1.5215255
equity,3.0205846,-2.4359574,0.7303652
asset,3.0394948,-1.3821161,1.5600042
average,3.4756806,-1.6169115,0.5303974
december,3.1552172,-1.5475727,1.3337876
return,3.4919705,-1.7289251,0.5535407
fed,4.2417,-1.1331528,-1.4018761
forecasts,3.8973355,-0.64734787,0.66697305
dec,1.545406,4.0481176,0.3394324
term,3.008448,-2.2611942,0.15814765
economy,3.7432344,-0.90205973,-1.7621007
time,3.075124,-1.7509228,-0.23839588
forecast,3.824613,-0.30652785,-1.3009846
total,3.5212564,-1.6718259,0.53443134
usd,3.975698,2.1005275,-0.4903121
price,3.3555472,-1.6746155,-0.22613366
unicredit,2.7852123,0.10793133,2.3230631
central,4.0747094,-1.2338203,-1.6894315
financial,3.7618814,-1.193286,-1.4928979
eur,3.9761944,2.100557,-0.4902169
current,3.9163823,1.7037365,-0.6261374
income,3.2630231,-2.160461,-0.20020583
jul,1.5454117,4.047614,0.3397149
equities,3.0213041,-2.4522502,0.7134461
june,2.706832,0.613131,2.3081396
investors,2.9781976,-2.4518566,0.6594317
bonds,3.086216,-2.2941332,0.8500861
tightening,4.1461864,-1.216758,-1.6463827
supply,3.632176,-0.32177854,-1.7060361
services,3.8511238,0.28054872,-1.585393
credit,3.0881758,-2.2840228,0.8172708
november,3.1178708,-1.4076341,1.5517406
cpi,4.094725,0.31223938,-1.56259
expected,3.7497895,-0.7815554,-1.4592783
earnings,3.278473,-1.8527325,-0.056867264
remain,3.7453752,-0.8482148,-1.9379215
consumer,3.4613786,-1.6144998,-0.95586056
july,4.0134706,-0.74261415,-1.0946006
macro,2.8918576,-0.4036789,2.095867
months,3.1892803,-1.7346969,0.073208004
core,4.094399,0.20992467,-1.5924109
apr,1.5451677,4.048498,0.33964285
labor,3.5801296,-0.6106832,-1.667897
europe,4.267181,0.5062991,-0.77553886
levels,3.52961,-1.1689386,-1.4038922
risks,3.620254,-0.6536368,-1.4394232
covid,3.544542,-0.38882548,-1.7279731
yoy,4.071556,0.45321986,-1.4901483
demand,3.6173925,-0.77658564,-1.7222908
change,3.9087846,-0.7187909,0.59796095
note,3.155244,-1.5673486,1.3239604
cycle,4.0822287,-1.1865278,-1.5958035
federal,4.2524786,-1.1527282,-1.4180747
peak,3.772407,-0.8331344,-1.508659
bond,3.1837063,-2.1828535,0.90803826
oil,3.768649,0.14027007,-1.7855042
analytics,3.105601,-1.3823234,1.6062535
economics,2.8272285,-0.08332345,2.246644
sector,3.2867084,-0.78206307,-1.2201613
pandemic,3.5960214,-1.0705853,-1.5846925
banks,4.0704975,-1.233368,-1.688581
level,3.5583942,-1.0529475,-1.4037957
month,3.429979,-1.6527023,0.48010764
russia,4.3866005,0.56810457,-0.8736688
decline,3.310151,-1.7896843,-0.10836543
bp,4.2620115,-1.1357285,-1.3996638
haver,3.1069255,-1.3836052,1.6031244
corporate,3.172671,-2.2042074,0.9077546
allocation,3.0380886,-1.3516217,1.5802976
debt,3.0102673,-2.4234605,0.57787395
based,3.1596265,-1.6000667,1.2852905
balance,3.7776175,-0.73996454,-1.312858
government,2.7965722,-1.8725593,-0.2995127
continue,3.3016765,-1.3667358,-1.2847927
production,3.9833837,0.7502665,-1.3784244
oct,1.5452318,4.047065,0.33959275
ing,2.5504005,3.4192355,0.9780758
reserve,4.252445,-1.1523397,-1.4183161
nov,1.5452695,4.0482,0.3395514
conditions,3.7677534,-1.1947395,-1.4789627
portfolio,3.060241,-2.4061806,0.6809149
expectations,3.821104,-0.6858128,-1.597814
capital,3.0802138,-1.7950577,0.7947957
key,3.437096,-1.0379378,-1.2177238
increase,3.726776,-1.0753292,-1.5164276
eurozone,3.7084231,0.20536894,-1.0526673
dollar,2.9586904,-2.402578,0.45083007
performance,3.163223,-1.6605463,1.1763664
mar,1.5455457,4.046082,0.3394985
em,3.046204,-2.2728307,0.69288266
relative,2.9989314,-2.3783097,0.47232705
funds,4.2478175,-1.1466665,-1.3694065
gas,3.7738993,0.1341953,-1.78713
negative,3.2763166,-2.1009922,0.24093083
emerging,2.9387403,-2.3990057,0.34387147
analysis,3.0396876,-1.2606599,1.627537
wage,3.7347236,-0.7788991,-1.7856511
japan,4.504426,0.70025253,-0.7401325
assets,3.0540009,-2.376848,0.43091133
target,3.9725575,-0.89980227,-1.3326083
sep,1.5457184,4.045515,0.33938774
euro,3.7571661,0.6767266,-1.2097806
monetary,4.139077,-1.2175056,-1.6571335
housing,3.7197561,-0.67028844,-1.7298743
basis,3.332664,-1.8017039,0.5785065
european,3.5280395,-0.13651131,0.21603441
positive,3.245864,-2.2311072,0.45352107
asia,4.3030553,0.45461705,-0.8212111
ukraine,3.756241,-0.084257856,-1.6304063
yields,3.1882572,-2.1687474,0.88964087
base,3.2338505,-1.4980788,0.13398947
ecb,4.197963,-1.0965546,-1.3716981
view,2.9692547,-2.3404427,0.35478798
rise,3.6997597,-0.81482536,-1.6204346
fixed,3.2068794,-2.2190678,-0.068418525
rising,3.7347057,-0.8355552,-1.9066799
activity,3.717821,-0.81049836,-1.7949574
simple,3.1895044,-1.9015296,0.5719463
hike,4.228456,-1.1205121,-1.3981763
treasury,3.2283874,-2.0903795,0.86116534
remains,3.6558669,-0.8001596,-1.7396771
strong,3.2278395,-1.6598537,-0.92222416
support,3.551368,-0.70800364,-1.7016208
annual,3.7986581,-0.9853189,0.17962869
percent,3.872663,-0.47457454,-1.2196505
spending,3.4359653,-1.4040085,-1.1889392
trend,3.701515,-0.8256469,-1.7606412
nominal,3.4087684,-1.9236158,-0.58536404
food,3.844355,0.19594838,-1.6634268
stocks,3.0624127,-2.338036,0.75397635
industrial,3.9866664,0.7442274,-1.3766263
trade,3.7640748,0.67945284,-1.2455909
range,3.9624915,-0.98632157,-1.332726
public,2.9423566,-2.1683996,0.026263082
october,3.1952205,-1.426425,1.1637833
pre,3.595243,-1.0725263,-1.5830293
aug,1.5452439,4.048187,0.3396017
volatility,2.971681,-2.3980117,0.58907455
consumption,3.8766518,0.5904349,-1.3455489
january,2.843988,-1.8264056,-0.2260079
cash,3.006937,-2.41822,0.5676614
pressure,3.7255552,-0.82259345,-1.875624
including,3.2773304,-1.4468797,-1.2054324
insights,3.1941738,-1.8877574,0.5687363
commodities,2.9502082,-2.3080978,0.2858908
median,3.4183614,-1.695761,0.56472874
headline,4.0961957,0.26065823,-1.5792326
bps,4.2607675,-1.1362182,-1.3914846
spreads,3.1793435,-2.1836567,0.8971627
start,3.1416132,-1.7283462,-0.07303967
recovery,3.3719227,-0.79775584,-1.5744643
manufacturing,3.9841974,0.7731999,-1.332609
period,3.1587906,-1.5928329,0.050378334
consensus,3.8841789,0.20035918,-0.6809847
fiscal,3.810651,-0.9984289,-1.7309929
unemployment,3.8421926,-0.4468551,-1.2787704
ratio,3.3370361,-1.7774334,0.60118043
yr,3.697158,-1.2148463,0.33339217
major,3.840762,-1.1747059,-1.5963995
feb,1.5454527,4.0457706,0.33958644
impact,3.7385986,-0.848026,-1.9156804
measures,3.6906319,-0.8508305,-1.5824914
eu,2.5411596,1.0347215,2.573869
sales,3.9588306,0.72282815,-1.339089
prior,3.3902957,-1.44555,0.027590308
germany,4.5985413,0.79225147,-0.70611256
companies,3.1026993,-1.7026516,-0.85801464
quarter,3.2810633,-1.6398697,-0.26573253
week,3.4995048,-0.75516015,0.13185252
sectors,2.9210815,-2.0746608,-0.08118292
short,3.0178008,-2.2135253,0.09153749
spread,3.2841766,-1.9909552,0.7992751
war,3.6941295,-0.14778389,-1.675793
tax,3.0700595,-2.0930324,0.6644038
valuations,3.0157661,-2.4433978,0.7113404
exports,3.9482174,0.73363715,-1.3598723
potential,2.954678,-2.3217597,0.25155938
probability,3.061243,-1.9039311,0.66932887
household,3.4468398,-1.7425948,-0.7803687
costs,3.582772,-0.8170068,-1.6812352
pressures,3.710829,-0.79707927,-1.8166949
business,3.8686953,0.5857157,-1.3416411
sources,2.9767158,0.1694487,1.7882872
increased,3.1030984,-1.3496189,-0.5179342
hikes,4.2189946,-1.1291125,-1.4118117
estate,3.1429043,-2.2682574,0.07051704
premium,3.0378554,-2.3737082,0.74477583
spot,3.9298935,1.7746426,-0.62086934
attractive,3.0222993,-2.439994,0.7070184
countries,3.3878706,-0.19918261,-1.5576249
korea,4.380028,0.5851851,-0.77019095
commodity,3.4222472,-0.6901554,-1.5350626
cost,3.4123907,-0.8459132,-1.5524125
united,4.2447863,0.52264524,-0.7496809
economist,2.6661472,0.5587978,2.4244146
sentiment,3.9153936,0.735557,-1.3059362
mid,3.2529373,-2.1980329,0.33928207
fwd,2.5498657,3.4216845,0.9777318
hiking,4.1093183,-1.1929473,-1.6002276
natural,3.7700727,0.13813768,-1.7846801
geopolitical,3.6347775,-0.613563,-1.4448544
adjusted,3.8031497,-0.92685884,0.12694716
march,4.0151386,-1.0584111,-1.1399331
economies,3.5025675,-0.88054013,-1.2765108
uncertainty,3.4532428,-0.8117601,-1.6482759
gold,2.9903789,-2.4054375,0.5625638
fall,3.6850703,-0.7978081,-1.6002442
annualized,3.7582967,-1.0936517,0.23851696
budget,3.7862206,0.5654222,-1.0304304
elevated,3.7387862,-0.8420382,-1.9222755
compared,3.3034315,-1.7021058,-0.12717721
households,3.3475502,-1.3863437,-1.1697626
driven,3.1958683,-1.711362,-0.8314384
savings,3.4065082,-1.3798802,-1.2071035
cap,3.0321474,-2.3925517,0.602516
pace,3.9032307,-1.1649299,-1.6136707
environment,3.0156515,-1.5293396,-0.38551417
france,4.622135,0.8120957,-0.69857156
chartbook,2.8083887,0.007899351,2.2870371
weaker,3.694806,-0.8393556,-1.7633971
september,4.067499,-1.0603498,-1.1936357
gfc,3.1042573,-1.9477283,-0.341216
chart,3.7895913,0.52134657,-1.028123
disclaimer,2.816276,-0.026312903,2.2739193
factors,3.2530177,-1.4894996,-1.1529785
management,3.1076882,-1.4134009,1.4315461
worst,3.1329064,-2.2002492,0.8518499
meeting,3.9914103,-0.6934323,-1.1173922
record,3.5268202,-1.0134579,-1.1873016
future,3.1800144,-1.5237186,0.9637865
result,3.410818,-0.9563495,-1.5494336
russian,3.687085,0.009807484,-1.6834623
