,x,y,z
inflation,3.3304248,-0.51313883,-0.08265233
growth,3.3241713,-0.5745323,-0.078983895
exhibit,3.2090616,-0.99809664,-0.032628115
rate,3.3125129,-0.65176207,-0.07271933
global,3.133433,-0.7840856,-0.03371667
market,3.2273345,-0.91399366,-0.04449734
investment,3.1653225,-0.9245066,-0.02787081
gdp,3.2339296,-0.29366985,-0.08484535
recession,3.1969657,-0.8905951,-0.044608347
prices,3.2813134,-0.38159,-0.08696536
rates,3.3335478,-0.72777355,-0.070204526
markets,3.2444203,-1.1309148,-0.02659372
china,3.0338056,0.0505002,-0.076612085
real,3.256784,-0.7303692,-0.058340393
policy,3.3432746,-0.67408353,-0.07520107
jan,3.177137,0.23929164,-0.10742284
expect,3.3453078,-0.6410631,-0.076925114
energy,3.2617683,-0.3474052,-0.087465286
jun,3.2008023,0.18545604,-0.10619369
strategy,3.1658216,-0.89259624,-0.029253708
economic,3.1634235,-0.5633508,-0.063754134
yield,3.2518027,-1.1714993,-0.02136195
returns,3.2678797,-1.1856898,-0.022379963
risk,3.2441587,-1.1249619,-0.02816323
bloomberg,3.1609766,-0.8578177,-0.030618455
equity,3.2772717,-1.2340186,-0.019530443
asset,3.2090883,-1.0021199,-0.025758764
average,3.2055178,-0.86413014,-0.040359575
december,3.1560342,-0.8997948,-0.02927075
return,3.2285845,-1.0758202,-0.026335167
fed,3.3226943,-0.65834725,-0.07353592
forecasts,3.055537,-0.13525763,-0.075151436
dec,3.198968,0.14268495,-0.103363246
term,3.2206686,-1.0659873,-0.031846844
economy,3.343865,-0.62017936,-0.07882036
time,3.1621335,-0.8988604,-0.042007618
forecast,3.2110548,-0.32493958,-0.0809336
total,3.2092535,-1.0057561,-0.029788172
usd,3.0152953,0.33218336,-0.10285292
price,3.2442222,-0.59458065,-0.06903553
unicredit,3.0452125,0.27589628,-0.07763396
central,3.3295295,-0.701399,-0.07223752
financial,3.2899063,-0.69856393,-0.06789525
eur,3.0196085,0.32926917,-0.10300946
current,2.9954126,0.06658232,-0.08698217
income,3.248731,-0.87295437,-0.046557352
jul,3.1835582,0.22327131,-0.10697234
equities,3.2816277,-1.2440434,-0.01923966
june,3.01237,0.29215875,-0.07725446
investors,3.2694676,-1.2151474,-0.021100951
bonds,3.27254,-1.2351818,-0.018729394
tightening,3.3481872,-0.68101764,-0.07503058
supply,3.2451584,-0.44221574,-0.08072567
services,3.273879,-0.30958652,-0.089637406
credit,3.2511034,-1.1923517,-0.020375319
november,3.160117,-0.8355307,-0.03157075
cpi,3.2611423,-0.22126684,-0.09114492
expected,3.3026366,-0.59802246,-0.07530594
earnings,3.251217,-0.9854831,-0.040184814
remain,3.3577523,-0.6586484,-0.07707248
consumer,3.2923498,-0.44122082,-0.08321349
july,3.2080004,-0.46284434,-0.07432584
